f Pxx 
1.383464e+02 2.601259e-20 
1.390862e+02 4.934325e-20 
1.398260e+02 2.157919e-20 
1.405658e+02 5.319031e-20 
1.413056e+02 6.626394e-20 
1.420455e+02 4.638947e-20 
1.427853e+02 3.598654e-20 
1.435251e+02 3.951454e-20 
1.442649e+02 3.620047e-20 
1.450047e+02 3.772295e-20 
1.457446e+02 2.479863e-20 
1.464844e+02 8.140098e-20 
1.472242e+02 3.956263e-20 
1.479640e+02 4.486696e-20 
1.487038e+02 3.324549e-20 
1.494437e+02 2.994094e-20 
1.501835e+02 3.293247e-20 
1.509233e+02 4.087532e-20 
1.516631e+02 5.102984e-20 
1.524029e+02 3.471585e-20 
1.531428e+02 3.810837e-20 
1.538826e+02 2.476860e-20 
1.546224e+02 1.738164e-20 
1.553622e+02 6.332038e-20 
1.561020e+02 5.191270e-20 
1.568419e+02 4.842946e-20 
1.575817e+02 5.503023e-20 
1.583215e+02 4.042264e-20 
1.590613e+02 2.487314e-20 
1.598011e+02 5.438630e-20 
1.605410e+02 4.676895e-20 
1.612808e+02 5.137017e-20 
1.620206e+02 2.403134e-20 
1.627604e+02 2.973028e-20 
1.635002e+02 3.986095e-20 
1.642401e+02 2.780526e-20 
1.649799e+02 3.923010e-20 
1.657197e+02 2.377911e-20 
1.664595e+02 3.911566e-20 
1.671993e+02 1.632092e-20 
1.679392e+02 1.182135e-20 
1.686790e+02 3.529205e-20 
1.694188e+02 6.011846e-20 
1.701586e+02 4.986143e-20 
1.708984e+02 2.995165e-20 
1.716383e+02 2.066025e-20 
1.723781e+02 2.371534e-20 
1.731179e+02 4.184790e-20 
1.738577e+02 2.168067e-20 
1.745975e+02 5.297056e-20 
1.753374e+02 3.908784e-20 
1.760772e+02 2.018313e-20 
1.768170e+02 5.040041e-20 
1.775568e+02 1.574048e-20 
1.782966e+02 3.168965e-20 
1.790365e+02 2.200409e-20 
1.797763e+02 1.813676e-20 
1.805161e+02 3.930065e-20 
1.812559e+02 4.328626e-20 
1.819957e+02 4.308352e-20 
1.827356e+02 1.796867e-20 
1.834754e+02 2.910455e-20 
1.842152e+02 1.827016e-20 
1.849550e+02 2.122126e-20 
1.856948e+02 2.454608e-20 
1.864347e+02 3.454075e-20 
1.871745e+02 3.605632e-20 
1.879143e+02 1.909352e-20 
1.886541e+02 4.913384e-20 
1.893939e+02 2.496263e-20 
1.901338e+02 3.847207e-20 
1.908736e+02 2.930664e-20 
1.916134e+02 3.223896e-20 
1.923532e+02 3.224611e-20 
1.930930e+02 1.884673e-20 
1.938329e+02 1.289990e-20 
1.945727e+02 2.805692e-20 
1.953125e+02 2.456430e-20 
1.960523e+02 1.860021e-20 
1.967921e+02 2.715125e-20 
1.975320e+02 2.961927e-20 
1.982718e+02 2.413290e-20 
1.990116e+02 2.343387e-20 
1.997514e+02 4.073907e-20 
2.004912e+02 3.552907e-20 
2.012311e+02 1.407792e-20 
2.019709e+02 2.813308e-20 
2.027107e+02 2.769160e-20 
2.034505e+02 2.636292e-20 
2.041903e+02 2.759770e-20 
2.049302e+02 1.650647e-20 
2.056700e+02 2.656705e-20 
2.064098e+02 3.018075e-20 
2.071496e+02 2.945418e-20 
2.078894e+02 2.692393e-20 
2.086293e+02 1.068898e-20 
2.093691e+02 3.359855e-20 
2.101089e+02 1.653146e-20 
2.108487e+02 3.336028e-20 
2.115885e+02 4.463363e-20 
2.123284e+02 3.130414e-20 
2.130682e+02 1.836758e-20 
2.138080e+02 3.224523e-20 
2.145478e+02 3.068998e-20 
2.152876e+02 1.651943e-20 
2.160275e+02 1.419450e-20 
2.167673e+02 2.574199e-20 
2.175071e+02 3.635447e-20 
2.182469e+02 2.769085e-20 
2.189867e+02 2.755436e-20 
2.197266e+02 2.740097e-20 
2.204664e+02 2.562072e-20 
2.212062e+02 3.042588e-20 
2.219460e+02 1.544347e-20 
2.226858e+02 2.055547e-20 
2.234257e+02 3.835036e-20 
2.241655e+02 3.583805e-20 
2.249053e+02 2.427586e-20 
2.256451e+02 4.453990e-20 
2.263849e+02 2.996359e-20 
2.271248e+02 1.579289e-20 
2.278646e+02 3.291567e-20 
2.286044e+02 5.321731e-20 
2.293442e+02 1.996403e-20 
2.300840e+02 9.615817e-21 
2.308239e+02 2.383530e-20 
2.315637e+02 2.275536e-20 
2.323035e+02 1.490394e-20 
2.330433e+02 1.329873e-20 
2.337831e+02 4.933075e-20 
2.345230e+02 2.344320e-20 
2.352628e+02 2.956482e-20 
2.360026e+02 2.848468e-20 
2.367424e+02 2.697072e-20 
2.374822e+02 2.404598e-20 
2.382221e+02 1.650040e-20 
2.389619e+02 2.007859e-20 
2.397017e+02 1.772505e-20 
2.404415e+02 1.679834e-20 
2.411813e+02 1.958509e-20 
2.419212e+02 3.146435e-20 
2.426610e+02 1.556992e-20 
2.434008e+02 2.169309e-20 
2.441406e+02 3.519420e-20 
2.448804e+02 1.666816e-20 
2.456203e+02 1.476217e-20 
2.463601e+02 1.867060e-20 
2.470999e+02 2.076317e-20 
2.478397e+02 1.117247e-20 
2.485795e+02 3.324116e-20 
2.493194e+02 2.710440e-20 
2.500592e+02 2.642260e-20 
2.507990e+02 1.913347e-20 
2.515388e+02 3.677671e-20 
