Vtes01       Ites01       Rtes01       Ptes01       Ptot01       Vtes02       Ites02       Rtes02       Ptes02       Ptot02       Vtes03       Ites03       Rtes03       Ptes03       Ptot03       Vtes04       Ites04       Rtes04       Ptes04       Ptot04       Vtes05       Ites05       Rtes05       Ptes05       Ptot05       Vtes06       Ites06       Rtes06       Ptes06       Ptot06       Vtes07       Ites07       Rtes07       Ptes07       Ptot07       Vtes08       Ites08       Rtes08       Ptes08       Ptot08       Vtes09       Ites09       Rtes09       Ptes09       Ptot09       Vtes10       Ites10       Rtes10       Ptes10       Ptot10       Vtes11       Ites11       Rtes11       Ptes11       Ptot11       Vtes12       Ites12       Rtes12       Ptes12       Ptot12       Vtes13       Ites13       Rtes13       Ptes13       Ptot13       Vtes14       Ites14       Rtes14       Ptes14       Ptot14       Vtes15       Ites15       Rtes15       Ptes15       Ptot15       
1.359076e+00 3.147934e+02 4.317360e+00 4.278281e+02 6.377421e+02 1.359100e+00 3.146359e+02 4.319594e+00 4.276216e+02 6.590518e+02 1.359103e+00 3.146168e+02 4.319866e+00 4.275965e+02 6.815924e+02 1.359105e+00 3.146031e+02 4.320061e+00 4.275785e+02 7.051898e+02 1.359104e+00 3.146051e+02 4.320032e+00 4.275812e+02 7.298573e+02 1.359106e+00 3.145971e+02 4.320147e+00 4.275706e+02 7.555612e+02 1.359106e+00 3.145928e+02 4.320207e+00 4.275650e+02 7.823197e+02 1.359105e+00 3.145997e+02 4.320110e+00 4.275740e+02 8.101423e+02 1.359106e+00 3.145964e+02 4.320156e+00 4.275698e+02 8.390012e+02 1.359106e+00 3.145946e+02 4.320181e+00 4.275674e+02 8.689116e+02 1.359107e+00 3.145902e+02 4.320244e+00 4.275616e+02 8.998681e+02 1.359108e+00 3.145817e+02 4.320365e+00 4.275505e+02 9.318689e+02 1.359107e+00 3.145898e+02 4.320250e+00 4.275611e+02 9.649409e+02 1.359106e+00 3.145956e+02 4.320167e+00 4.275687e+02 9.990596e+02 1.359107e+00 3.145872e+02 4.320287e+00 4.275576e+02 1.034209e+03 
1.354681e+00 3.138537e+02 4.316280e+00 4.251716e+02 6.350856e+02 1.354711e+00 3.136514e+02 4.319161e+00 4.249070e+02 6.563372e+02 1.354715e+00 3.136234e+02 4.319560e+00 4.248703e+02 6.788663e+02 1.354717e+00 3.136113e+02 4.319733e+00 4.248545e+02 7.024658e+02 1.354717e+00 3.136091e+02 4.319764e+00 4.248516e+02 7.271278e+02 1.354719e+00 3.135996e+02 4.319899e+00 4.248392e+02 7.528298e+02 1.354719e+00 3.136002e+02 4.319891e+00 4.248400e+02 7.795947e+02 1.354719e+00 3.135992e+02 4.319905e+00 4.248387e+02 8.074070e+02 1.354719e+00 3.135968e+02 4.319940e+00 4.248355e+02 8.362670e+02 1.354719e+00 3.135990e+02 4.319908e+00 4.248384e+02 8.661826e+02 1.354719e+00 3.135998e+02 4.319897e+00 4.248395e+02 8.971460e+02 1.354721e+00 3.135873e+02 4.320075e+00 4.248232e+02 9.291415e+02 1.354719e+00 3.135952e+02 4.319963e+00 4.248334e+02 9.622133e+02 1.354719e+00 3.135980e+02 4.319922e+00 4.248371e+02 9.963280e+02 1.354721e+00 3.135843e+02 4.320118e+00 4.248192e+02 1.031471e+03 
1.350284e+00 3.129234e+02 4.315062e+00 4.225354e+02 6.324494e+02 1.350323e+00 3.126628e+02 4.318783e+00 4.221957e+02 6.536259e+02 1.350327e+00 3.126320e+02 4.319224e+00 4.221555e+02 6.761515e+02 1.350330e+00 3.126124e+02 4.319503e+00 4.221300e+02 6.997413e+02 1.350329e+00 3.126185e+02 4.319417e+00 4.221379e+02 7.244141e+02 1.350332e+00 3.126038e+02 4.319627e+00 4.221187e+02 7.501094e+02 1.350332e+00 3.126021e+02 4.319650e+00 4.221166e+02 7.768713e+02 1.350332e+00 3.126044e+02 4.319618e+00 4.221195e+02 8.046878e+02 1.350331e+00 3.126074e+02 4.319575e+00 4.221235e+02 8.335549e+02 1.350332e+00 3.126029e+02 4.319639e+00 4.221177e+02 8.634619e+02 1.350333e+00 3.125961e+02 4.319737e+00 4.221088e+02 8.944152e+02 1.350334e+00 3.125888e+02 4.319840e+00 4.220993e+02 9.264177e+02 1.350333e+00 3.125923e+02 4.319791e+00 4.221038e+02 9.594836e+02 1.350331e+00 3.126056e+02 4.319601e+00 4.221211e+02 9.936119e+02 1.350333e+00 3.125965e+02 4.319731e+00 4.221093e+02 1.028761e+03 
1.345886e+00 3.120009e+02 4.313724e+00 4.199176e+02 6.298316e+02 1.345934e+00 3.116813e+02 4.318301e+00 4.195023e+02 6.509325e+02 1.345940e+00 3.116412e+02 4.318876e+00 4.194502e+02 6.734461e+02 1.345943e+00 3.116194e+02 4.319188e+00 4.194219e+02 6.970332e+02 1.345944e+00 3.116136e+02 4.319272e+00 4.194143e+02 7.216905e+02 1.345944e+00 3.116097e+02 4.319327e+00 4.194093e+02 7.474000e+02 1.345945e+00 3.116031e+02 4.319422e+00 4.194007e+02 7.741553e+02 1.345944e+00 3.116152e+02 4.319249e+00 4.194164e+02 8.019847e+02 1.345945e+00 3.116069e+02 4.319368e+00 4.194057e+02 8.308371e+02 1.345945e+00 3.116063e+02 4.319376e+00 4.194049e+02 8.607491e+02 1.345947e+00 3.115948e+02 4.319541e+00 4.193900e+02 8.916964e+02 1.345947e+00 3.115946e+02 4.319544e+00 4.193897e+02 9.237081e+02 1.345946e+00 3.115992e+02 4.319477e+00 4.193957e+02 9.567755e+02 1.345945e+00 3.116049e+02 4.319396e+00 4.194031e+02 9.908939e+02 1.345947e+00 3.115900e+02 4.319610e+00 4.193837e+02 1.026035e+03 
1.341489e+00 3.110722e+02 4.312467e+00 4.172998e+02 6.272138e+02 1.341545e+00 3.106961e+02 4.317869e+00 4.168128e+02 6.482430e+02 1.341553e+00 3.106457e+02 4.318593e+00 4.167476e+02 6.707435e+02 1.341556e+00 3.106227e+02 4.318924e+00 4.167178e+02 6.943290e+02 1.341556e+00 3.106193e+02 4.318973e+00 4.167134e+02 7.189895e+02 1.341558e+00 3.106113e+02 4.319089e+00 4.167029e+02 7.446935e+02 1.341558e+00 3.106107e+02 4.319098e+00 4.167021e+02 7.714568e+02 1.341558e+00 3.106066e+02 4.319156e+00 4.166969e+02 7.992652e+02 1.341559e+00 3.106022e+02 4.319219e+00 4.166912e+02 8.281226e+02 1.341558e+00 3.106070e+02 4.319150e+00 4.166974e+02 8.580416e+02 1.341560e+00 3.105941e+02 4.319335e+00 4.166807e+02 8.889872e+02 1.341561e+00 3.105919e+02 4.319367e+00 4.166779e+02 9.209962e+02 1.341561e+00 3.105913e+02 4.319376e+00 4.166771e+02 9.540569e+02 1.341559e+00 3.106038e+02 4.319196e+00 4.166933e+02 9.881841e+02 1.341561e+00 3.105899e+02 4.319396e+00 4.166753e+02 1.023327e+03 
1.337091e+00 3.101467e+02 4.311157e+00 4.146944e+02 6.246084e+02 1.337156e+00 3.097148e+02 4.317378e+00 4.141369e+02 6.455671e+02 1.337166e+00 3.096481e+02 4.318340e+00 4.140508e+02 6.680467e+02 1.337170e+00 3.096174e+02 4.318782e+00 4.140112e+02 6.916225e+02 1.337170e+00 3.096217e+02 4.318721e+00 4.140167e+02 7.162928e+02 1.337171e+00 3.096122e+02 4.318858e+00 4.140045e+02 7.419951e+02 1.337172e+00 3.096074e+02 4.318928e+00 4.139982e+02 7.687529e+02 1.337171e+00 3.096108e+02 4.318878e+00 4.140027e+02 7.965709e+02 1.337172e+00 3.096061e+02 4.318945e+00 4.139967e+02 8.254281e+02 1.337173e+00 3.096013e+02 4.319015e+00 4.139904e+02 8.553346e+02 1.337173e+00 3.095969e+02 4.319079e+00 4.139847e+02 8.862912e+02 1.337175e+00 3.095862e+02 4.319233e+00 4.139709e+02 9.182893e+02 1.337173e+00 3.095991e+02 4.319047e+00 4.139876e+02 9.513674e+02 1.337173e+00 3.095995e+02 4.319041e+00 4.139881e+02 9.854789e+02 1.337175e+00 3.095872e+02 4.319219e+00 4.139722e+02 1.020624e+03 
1.332693e+00 3.092272e+02 4.309752e+00 4.121048e+02 6.220188e+02 1.332765e+00 3.087441e+02 4.316730e+00 4.114833e+02 6.429135e+02 1.332778e+00 3.086536e+02 4.318039e+00 4.113669e+02 6.653628e+02 1.332781e+00 3.086399e+02 4.318237e+00 4.113493e+02 6.889605e+02 1.332782e+00 3.086284e+02 4.318404e+00 4.113345e+02 7.136107e+02 1.332782e+00 3.086288e+02 4.318398e+00 4.113350e+02 7.393256e+02 1.332784e+00 3.086147e+02 4.318602e+00 4.113169e+02 7.660715e+02 1.332784e+00 3.086176e+02 4.318561e+00 4.113205e+02 7.938888e+02 1.332785e+00 3.086099e+02 4.318672e+00 4.113106e+02 8.227421e+02 1.332785e+00 3.086117e+02 4.318646e+00 4.113130e+02 8.526571e+02 1.332786e+00 3.086037e+02 4.318763e+00 4.113026e+02 8.836091e+02 1.332786e+00 3.086006e+02 4.318806e+00 4.112987e+02 9.156171e+02 1.332787e+00 3.085964e+02 4.318868e+00 4.112933e+02 9.486731e+02 1.332785e+00 3.086103e+02 4.318666e+00 4.113112e+02 9.828020e+02 1.332787e+00 3.085980e+02 4.318844e+00 4.112953e+02 1.017947e+03 
1.328293e+00 3.083162e+02 4.308215e+00 4.095343e+02 6.194483e+02 1.328374e+00 3.077735e+02 4.316077e+00 4.088383e+02 6.402685e+02 1.328390e+00 3.076659e+02 4.317639e+00 4.087003e+02 6.626962e+02 1.328394e+00 3.076382e+02 4.318040e+00 4.086649e+02 6.862762e+02 1.328395e+00 3.076336e+02 4.318108e+00 4.086590e+02 7.109351e+02 1.328397e+00 3.076237e+02 4.318251e+00 4.086463e+02 7.366369e+02 1.328399e+00 3.076062e+02 4.318506e+00 4.086238e+02 7.633785e+02 1.328398e+00 3.076104e+02 4.318444e+00 4.086292e+02 7.911975e+02 1.328399e+00 3.076044e+02 4.318532e+00 4.086215e+02 8.200529e+02 1.328399e+00 3.076086e+02 4.318471e+00 4.086269e+02 8.499711e+02 1.328399e+00 3.076072e+02 4.318491e+00 4.086251e+02 8.809316e+02 1.328401e+00 3.075933e+02 4.318693e+00 4.086073e+02 9.129256e+02 1.328401e+00 3.075911e+02 4.318725e+00 4.086044e+02 9.459842e+02 1.328400e+00 3.076028e+02 4.318555e+00 4.086194e+02 9.801103e+02 1.328401e+00 3.075937e+02 4.318687e+00 4.086078e+02 1.015259e+03 
1.323896e+00 3.073835e+02 4.306986e+00 4.069439e+02 6.168579e+02 1.323980e+00 3.068252e+02 4.315095e+00 4.062304e+02 6.376606e+02 1.324004e+00 3.066676e+02 4.317390e+00 4.060290e+02 6.600249e+02 1.324007e+00 3.066418e+02 4.317765e+00 4.059960e+02 6.836073e+02 1.324008e+00 3.066384e+02 4.317815e+00 4.059916e+02 7.082678e+02 1.324009e+00 3.066279e+02 4.317968e+00 4.059782e+02 7.339688e+02 1.324011e+00 3.066160e+02 4.318141e+00 4.059630e+02 7.607177e+02 1.324011e+00 3.066196e+02 4.318088e+00 4.059677e+02 7.885359e+02 1.324011e+00 3.066198e+02 4.318086e+00 4.059679e+02 8.173993e+02 1.324013e+00 3.066073e+02 4.318268e+00 4.059519e+02 8.472961e+02 1.324013e+00 3.066019e+02 4.318347e+00 4.059450e+02 8.782515e+02 1.324015e+00 3.065922e+02 4.318488e+00 4.059326e+02 9.102510e+02 1.324015e+00 3.065940e+02 4.318462e+00 4.059349e+02 9.433148e+02 1.324011e+00 3.066152e+02 4.318153e+00 4.059620e+02 9.774528e+02 1.324015e+00 3.065930e+02 4.318476e+00 4.059337e+02 1.012585e+03 
1.319498e+00 3.064642e+02 4.305552e+00 4.043789e+02 6.142929e+02 1.319585e+00 3.058814e+02 4.314042e+00 4.036365e+02 6.350667e+02 1.319616e+00 3.056766e+02 4.317032e+00 4.033756e+02 6.573716e+02 1.319621e+00 3.056443e+02 4.317504e+00 4.033346e+02 6.809458e+02 1.319621e+00 3.056425e+02 4.317530e+00 4.033322e+02 7.056084e+02 1.319624e+00 3.056238e+02 4.317804e+00 4.033084e+02 7.312990e+02 1.319623e+00 3.056272e+02 4.317754e+00 4.033127e+02 7.580674e+02 1.319623e+00 3.056256e+02 4.317778e+00 4.033107e+02 7.858789e+02 1.319624e+00 3.056187e+02 4.317878e+00 4.033019e+02 8.147334e+02 1.319625e+00 3.056153e+02 4.317928e+00 4.032976e+02 8.446418e+02 1.319626e+00 3.056083e+02 4.318031e+00 4.032886e+02 8.755951e+02 1.319627e+00 3.056014e+02 4.318131e+00 4.032799e+02 9.075982e+02 1.319626e+00 3.056105e+02 4.317999e+00 4.032914e+02 9.406712e+02 1.319625e+00 3.056127e+02 4.317966e+00 4.032942e+02 9.747851e+02 1.319627e+00 3.056004e+02 4.318146e+00 4.032786e+02 1.009930e+03 
1.315098e+00 3.055514e+02 4.304016e+00 4.018302e+02 6.117442e+02 1.315188e+00 3.049504e+02 4.312794e+00 4.010672e+02 6.324974e+02 1.315228e+00 3.046868e+02 4.316655e+00 4.007325e+02 6.547285e+02 1.315233e+00 3.046485e+02 4.317216e+00 4.006839e+02 6.782952e+02 1.315234e+00 3.046457e+02 4.317258e+00 4.006803e+02 7.029565e+02 1.315237e+00 3.046231e+02 4.317589e+00 4.006517e+02 7.286423e+02 1.315238e+00 3.046185e+02 4.317657e+00 4.006458e+02 7.554004e+02 1.315237e+00 3.046259e+02 4.317547e+00 4.006553e+02 7.832235e+02 1.315238e+00 3.046207e+02 4.317624e+00 4.006486e+02 8.120800e+02 1.315238e+00 3.046154e+02 4.317701e+00 4.006419e+02 8.419861e+02 1.315240e+00 3.046078e+02 4.317813e+00 4.006322e+02 8.729387e+02 1.315240e+00 3.046025e+02 4.317890e+00 4.006256e+02 9.049439e+02 1.315240e+00 3.046034e+02 4.317878e+00 4.006266e+02 9.380064e+02 1.315238e+00 3.046154e+02 4.317701e+00 4.006419e+02 9.721328e+02 1.315241e+00 3.045959e+02 4.317988e+00 4.006171e+02 1.007269e+03 
