x            y            z            
-3.172008e+01 -2.869090e+00 -3.000000e+00 
-3.172008e+01 -1.869090e+00 -3.000000e+00 
-3.172008e+01 -8.690896e-01 -3.000000e+00 
-3.172008e+01 1.309104e-01 -3.000000e+00 
-3.172008e+01 1.130910e+00 -3.000000e+00 
-3.172008e+01 2.130910e+00 -3.000000e+00 
-3.172008e+01 3.130910e+00 -3.000000e+00 
-3.172008e+01 4.130910e+00 -2.944652e+00 
-3.172008e+01 5.130910e+00 -3.000000e+00 
-3.172008e+01 6.130910e+00 -2.558338e+00 
-3.172008e+01 7.130910e+00 -3.000000e+00 
-3.172008e+01 8.130910e+00 -3.000000e+00 
-3.172008e+01 9.130910e+00 -3.000000e+00 
-3.172008e+01 1.013091e+01 -3.109792e-01 
-3.172008e+01 1.113091e+01 -3.000000e+00 
-3.172008e+01 1.213091e+01 -3.000000e+00 
-3.172008e+01 1.313091e+01 -3.000000e+00 
-3.172008e+01 1.413091e+01 -3.000000e+00 
-3.172008e+01 1.513091e+01 -3.000000e+00 
-3.172008e+01 1.613091e+01 -3.000000e+00 
-3.172008e+01 1.713091e+01 -3.000000e+00 
-3.172008e+01 1.813091e+01 -3.000000e+00 
-3.172008e+01 1.913091e+01 -3.000000e+00 
-3.172008e+01 2.013091e+01 -3.000000e+00 
-3.172008e+01 2.113091e+01 -3.000000e+00 
-3.172008e+01 2.213091e+01 -3.000000e+00 
-3.072008e+01 -2.386909e+01 -3.000000e+00 
-3.072008e+01 -2.286909e+01 -3.000000e+00 
-3.072008e+01 -2.186909e+01 -3.000000e+00 
-3.072008e+01 -2.086909e+01 -3.000000e+00 
-3.072008e+01 -1.986909e+01 -3.000000e+00 
-3.072008e+01 -1.886909e+01 -3.000000e+00 
-3.072008e+01 -1.786909e+01 -3.000000e+00 
-3.072008e+01 -1.686909e+01 -3.000000e+00 
-3.072008e+01 -1.586909e+01 -3.000000e+00 
-3.072008e+01 -1.486909e+01 -3.000000e+00 
-3.072008e+01 -1.386909e+01 -1.364079e+00 
-3.072008e+01 -1.286909e+01 -1.678034e+00 
-3.072008e+01 -1.186909e+01 -1.318701e+00 
-3.072008e+01 -1.086909e+01 -1.031207e+00 
-3.072008e+01 -9.869090e+00 -6.692784e-01 
-3.072008e+01 -8.869090e+00 -1.145780e+00 
-3.072008e+01 -7.869090e+00 -1.256925e+00 
-3.072008e+01 -6.869090e+00 -1.645278e+00 
-3.072008e+01 -5.869090e+00 -1.867642e+00 
-3.072008e+01 -4.869090e+00 -2.673722e+00 
-3.072008e+01 -3.869090e+00 -2.342021e+00 
-3.072008e+01 -2.869090e+00 -2.680558e+00 
-3.072008e+01 -1.869090e+00 -2.706977e+00 
-3.072008e+01 -8.690896e-01 -2.929719e+00 
-3.072008e+01 1.309104e-01 -2.324723e+00 
-3.072008e+01 1.130910e+00 -2.785250e+00 
-3.072008e+01 2.130910e+00 -3.000000e+00 
-3.072008e+01 3.130910e+00 -3.000000e+00 
-3.072008e+01 4.130910e+00 -3.000000e+00 
-3.072008e+01 5.130910e+00 -3.000000e+00 
-3.072008e+01 6.130910e+00 -2.250881e+00 
-3.072008e+01 7.130910e+00 -2.203683e+00 
-3.072008e+01 8.130910e+00 -2.641544e+00 
-3.072008e+01 9.130910e+00 -3.000000e+00 
-3.072008e+01 1.013091e+01 -2.454741e+00 
-3.072008e+01 1.113091e+01 -2.708889e+00 
-3.072008e+01 1.213091e+01 -2.719431e+00 
-3.072008e+01 1.313091e+01 -3.000000e+00 
-3.072008e+01 1.413091e+01 -2.300826e+00 
-3.072008e+01 1.513091e+01 -2.108626e+00 
-3.072008e+01 1.613091e+01 -2.458014e+00 
-3.072008e+01 1.713091e+01 -2.419169e+00 
-3.072008e+01 1.813091e+01 -2.481637e+00 
-3.072008e+01 1.913091e+01 -2.779433e+00 
-3.072008e+01 2.013091e+01 -2.758807e+00 
-3.072008e+01 2.113091e+01 -3.000000e+00 
-3.072008e+01 2.213091e+01 -3.000000e+00 
-2.972008e+01 -2.386909e+01 -3.000000e+00 
-2.972008e+01 -2.286909e+01 -3.000000e+00 
-2.972008e+01 -2.186909e+01 -3.000000e+00 
-2.972008e+01 -2.086909e+01 -3.000000e+00 
-2.972008e+01 -1.986909e+01 -3.000000e+00 
-2.972008e+01 -1.886909e+01 -3.000000e+00 
-2.972008e+01 -1.786909e+01 -3.000000e+00 
-2.972008e+01 -1.686909e+01 -3.000000e+00 
-2.972008e+01 -1.586909e+01 -3.000000e+00 
-2.972008e+01 -1.486909e+01 -3.000000e+00 
-2.972008e+01 -1.386909e+01 -1.903752e+00 
-2.972008e+01 -1.286909e+01 -1.847988e+00 
-2.972008e+01 -1.186909e+01 -1.240060e+00 
-2.972008e+01 -1.086909e+01 -8.541893e-01 
-2.972008e+01 -9.869090e+00 -7.505521e-01 
-2.972008e+01 -8.869090e+00 -7.802492e-01 
-2.972008e+01 -7.869090e+00 -9.294786e-01 
-2.972008e+01 -6.869090e+00 -1.296474e+00 
-2.972008e+01 -5.869090e+00 -1.584953e+00 
-2.972008e+01 -4.869090e+00 -2.080680e+00 
-2.972008e+01 -3.869090e+00 -2.460515e+00 
-2.972008e+01 -2.869090e+00 -2.525712e+00 
-2.972008e+01 -1.869090e+00 -2.734253e+00 
-2.972008e+01 -8.690896e-01 -2.552387e+00 
-2.972008e+01 1.309104e-01 -2.892387e+00 
-2.972008e+01 1.130910e+00 -3.000000e+00 
-2.972008e+01 2.130910e+00 -3.000000e+00 
-2.972008e+01 3.130910e+00 -2.798311e+00 
-2.972008e+01 4.130910e+00 -2.482759e+00 
-2.972008e+01 5.130910e+00 -2.527320e+00 
-2.972008e+01 6.130910e+00 -2.660256e+00 
-2.972008e+01 7.130910e+00 -2.156064e+00 
-2.972008e+01 8.130910e+00 -2.177934e+00 
-2.972008e+01 9.130910e+00 -2.817525e+00 
-2.972008e+01 1.013091e+01 -3.000000e+00 
-2.972008e+01 1.113091e+01 -3.000000e+00 
-2.972008e+01 1.213091e+01 -2.817953e+00 
-2.972008e+01 1.313091e+01 -2.416737e+00 
-2.972008e+01 1.413091e+01 -2.356757e+00 
-2.972008e+01 1.513091e+01 -2.259201e+00 
-2.972008e+01 1.613091e+01 -2.370929e+00 
-2.972008e+01 1.713091e+01 -2.801017e+00 
-2.972008e+01 1.813091e+01 -2.757882e+00 
-2.972008e+01 1.913091e+01 -2.753650e+00 
-2.972008e+01 2.013091e+01 -2.888192e+00 
-2.972008e+01 2.113091e+01 -3.000000e+00 
-2.972008e+01 2.213091e+01 -3.000000e+00 
-2.872008e+01 -2.386909e+01 -3.000000e+00 
-2.872008e+01 -2.286909e+01 -3.000000e+00 
-2.872008e+01 -2.186909e+01 -3.000000e+00 
-2.872008e+01 -2.086909e+01 -3.000000e+00 
-2.872008e+01 -1.986909e+01 -3.000000e+00 
-2.872008e+01 -1.886909e+01 -3.000000e+00 
-2.872008e+01 -1.786909e+01 -3.000000e+00 
-2.872008e+01 -1.686909e+01 -3.000000e+00 
-2.872008e+01 -1.586909e+01 -2.162974e+00 
-2.872008e+01 -1.486909e+01 -2.071573e+00 
-2.872008e+01 -1.386909e+01 -1.809258e+00 
-2.872008e+01 -1.286909e+01 -1.329097e+00 
-2.872008e+01 -1.186909e+01 -2.950437e-01 
-2.872008e+01 -1.086909e+01 -1.644770e-01 
-2.872008e+01 -9.869090e+00 -3.704038e-01 
-2.872008e+01 -8.869090e+00 -5.973917e-01 
-2.872008e+01 -7.869090e+00 -7.325570e-01 
-2.872008e+01 -6.869090e+00 -1.096318e+00 
-2.872008e+01 -5.869090e+00 -1.380469e+00 
-2.872008e+01 -4.869090e+00 -1.879549e+00 
-2.872008e+01 -3.869090e+00 -2.199264e+00 
-2.872008e+01 -2.869090e+00 -2.536124e+00 
-2.872008e+01 -1.869090e+00 -2.647638e+00 
-2.872008e+01 -8.690896e-01 -3.000000e+00 
-2.872008e+01 1.309104e-01 -3.000000e+00 
-2.872008e+01 1.130910e+00 -3.000000e+00 
-2.872008e+01 2.130910e+00 -2.832027e+00 
-2.872008e+01 3.130910e+00 -3.000000e+00 
-2.872008e+01 4.130910e+00 -2.911581e+00 
-2.872008e+01 5.130910e+00 -2.596895e+00 
-2.872008e+01 6.130910e+00 -2.891804e+00 
-2.872008e+01 7.130910e+00 -2.721389e+00 
-2.872008e+01 8.130910e+00 -2.978502e+00 
-2.872008e+01 9.130910e+00 -3.000000e+00 
-2.872008e+01 1.013091e+01 -3.000000e+00 
-2.872008e+01 1.113091e+01 -2.746665e+00 
-2.872008e+01 1.213091e+01 -2.783776e+00 
-2.872008e+01 1.313091e+01 -2.741207e+00 
-2.872008e+01 1.413091e+01 -2.481124e+00 
-2.872008e+01 1.513091e+01 -2.684406e+00 
-2.872008e+01 1.613091e+01 -3.000000e+00 
-2.872008e+01 1.713091e+01 -2.857219e+00 
-2.872008e+01 1.813091e+01 -3.000000e+00 
-2.872008e+01 1.913091e+01 -2.372511e+00 
-2.872008e+01 2.013091e+01 -2.666289e+00 
-2.872008e+01 2.113091e+01 -2.702083e+00 
-2.872008e+01 2.213091e+01 -3.000000e+00 
-2.772008e+01 -2.386909e+01 -3.000000e+00 
-2.772008e+01 -2.286909e+01 -3.000000e+00 
-2.772008e+01 -2.186909e+01 -3.000000e+00 
-2.772008e+01 -2.086909e+01 -3.000000e+00 
-2.772008e+01 -1.986909e+01 -3.000000e+00 
-2.772008e+01 -1.886909e+01 -3.000000e+00 
-2.772008e+01 -1.786909e+01 -3.000000e+00 
-2.772008e+01 -1.686909e+01 -3.000000e+00 
-2.772008e+01 -1.586909e+01 -2.411058e+00 
-2.772008e+01 -1.486909e+01 -2.127182e+00 
-2.772008e+01 -1.386909e+01 -1.299603e+00 
-2.772008e+01 -1.286909e+01 -9.927480e-01 
-2.772008e+01 -1.186909e+01 -2.313051e-01 
-2.772008e+01 -1.086909e+01 1.184666e-01 
-2.772008e+01 -9.869090e+00 2.166103e-01 
-2.772008e+01 -8.869090e+00 -1.372590e-01 
-2.772008e+01 -7.869090e+00 -2.689817e-01 
-2.772008e+01 -6.869090e+00 -9.082607e-01 
-2.772008e+01 -5.869090e+00 -1.032149e+00 
-2.772008e+01 -4.869090e+00 -1.717426e+00 
-2.772008e+01 -3.869090e+00 -1.840108e+00 
-2.772008e+01 -2.869090e+00 -2.484006e+00 
-2.772008e+01 -1.869090e+00 -2.387482e+00 
-2.772008e+01 -8.690896e-01 -2.601045e+00 
-2.772008e+01 1.309104e-01 -2.839314e+00 
-2.772008e+01 1.130910e+00 -3.000000e+00 
-2.772008e+01 2.130910e+00 -2.483518e+00 
-2.772008e+01 3.130910e+00 -2.892305e+00 
-2.772008e+01 4.130910e+00 -2.805661e+00 
-2.772008e+01 5.130910e+00 -2.799601e+00 
