A1a          A1b          A2a          A2b          
1.871495e-04 -1.017069e-04 -1.040119e-03 6.297177e-04 
-1.329619e-03 1.572442e-03 8.970229e-04 -9.431622e-04 
1.774683e-03 -4.945635e-04 -7.371782e-04 6.387889e-04 
-2.886807e-05 -1.467743e-04 6.457905e-04 9.732966e-05 
2.032821e-04 -6.651124e-04 3.281819e-04 5.415414e-04 
5.773801e-04 -3.969856e-04 1.549232e-04 7.487807e-04 
-3.890817e-04 2.429733e-04 -1.292139e-04 3.820854e-04 
NaN NaN NaN NaN 
7.791445e-04 -8.003871e-04 -3.306146e-04 -7.206475e-04 
NaN NaN NaN NaN 
-9.224939e-04 6.817847e-04 1.933301e-03 5.605517e-04 
4.935459e-04 7.639415e-04 -3.697538e-04 -1.124198e-03 
-5.292554e-04 -3.491981e-04 -1.875720e-04 1.371314e-03 
NaN NaN NaN NaN 
9.604772e-04 -6.415471e-04 1.152690e-05 7.574047e-04 
NaN NaN NaN NaN 
3.769407e-04 9.183892e-04 -1.418845e-04 -1.604944e-03 
NaN NaN NaN NaN 
-2.688875e-05 1.225980e-04 -4.225292e-04 -1.953824e-04 
2.180969e-04 1.237966e-03 -3.913764e-04 -1.314551e-03 
7.553279e-04 4.204491e-04 -3.890611e-04 1.220384e-03 
7.238738e-04 -4.083105e-04 -1.104313e-03 4.033040e-04 
4.001088e-05 -1.205628e-03 -8.497448e-04 7.149020e-04 
-6.600744e-04 7.174286e-05 4.576850e-04 -1.998169e-04 
-6.315392e-04 1.542994e-04 3.723049e-04 -2.529276e-04 
1.252757e-03 8.080757e-04 -1.884208e-03 -2.033466e-04 
1.774768e-03 -6.194403e-04 -1.211495e-03 6.772562e-04 
1.050318e-03 -2.036233e-04 -5.828976e-04 -1.983415e-04 
-1.341845e-04 2.996253e-04 1.329703e-03 -4.495929e-04 
NaN NaN NaN NaN 
1.175761e-03 4.296665e-04 -4.383409e-04 -1.320532e-03 
-1.961713e-04 -2.688773e-04 -6.360177e-04 6.207738e-04 
3.869132e-04 4.346186e-04 -7.888356e-04 -9.956986e-05 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
2.025879e-03 -2.938756e-04 -1.479058e-03 1.601473e-04 
NaN NaN NaN NaN 
NaN NaN NaN NaN 
5.745794e-04 9.725968e-05 -7.812627e-04 1.755792e-04 
6.181791e-04 -7.911158e-04 -5.782815e-04 1.957564e-03 
5.708922e-04 -1.006887e-03 -5.199985e-04 7.034869e-04 
4.008946e-04 -1.013812e-03 -3.083904e-04 8.564065e-04 
NaN NaN NaN NaN 
-1.242311e-05 1.462323e-03 1.324682e-04 -1.455959e-03 
4.659134e-04 -6.000169e-04 -2.789144e-04 7.992330e-04 
-7.050018e-04 6.100376e-04 1.427116e-03 -5.392133e-04 
7.227090e-04 2.647097e-04 9.015782e-05 -1.779885e-03 
-1.014479e-04 -1.775613e-04 -3.382919e-04 3.591560e-04 
-9.601543e-05 2.326730e-04 -2.407120e-04 6.102271e-04 
-7.981872e-04 5.351216e-04 3.435886e-04 -1.189757e-03 
5.613804e-04 -1.157310e-04 -1.304887e-03 -4.983035e-04 
NaN NaN NaN NaN 
6.018496e-04 3.496558e-04 -1.331672e-04 -1.263998e-04 
-4.727789e-04 -1.234729e-03 2.366328e-05 8.428125e-04 
