f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
4.768372e-01 5.271934e-10 5.552428e-10 5.973324e-10 6.140933e-10 6.597363e-10 7.377498e-10 7.548969e-10 8.064519e-10 1.096567e-15 1.095654e-15 1.094611e-15 1.094204e-15 1.093577e-15 1.092799e-15 1.092768e-15 1.092545e-15 
7.152557e-01 5.271529e-10 5.552030e-10 5.972954e-10 6.140531e-10 6.596986e-10 7.377215e-10 7.548638e-10 8.064211e-10 1.096482e-15 1.095576e-15 1.094543e-15 1.094132e-15 1.093514e-15 1.092757e-15 1.092720e-15 1.092503e-15 
9.536743e-01 5.270962e-10 5.551473e-10 5.972436e-10 6.139967e-10 6.596458e-10 7.376820e-10 7.548176e-10 8.063780e-10 1.096365e-15 1.095466e-15 1.094449e-15 1.094031e-15 1.093427e-15 1.092699e-15 1.092653e-15 1.092445e-15 
1.192093e+00 5.270234e-10 5.550757e-10 5.971771e-10 6.139242e-10 6.595779e-10 7.376311e-10 7.547582e-10 8.063225e-10 1.096213e-15 1.095325e-15 1.094327e-15 1.093902e-15 1.093314e-15 1.092623e-15 1.092567e-15 1.092370e-15 
1.430511e+00 5.269344e-10 5.549883e-10 5.970957e-10 6.138357e-10 6.594950e-10 7.375689e-10 7.546855e-10 8.062547e-10 1.096028e-15 1.095152e-15 1.094178e-15 1.093745e-15 1.093177e-15 1.092531e-15 1.092462e-15 1.092278e-15 
1.668930e+00 5.268293e-10 5.548850e-10 5.969996e-10 6.137311e-10 6.593971e-10 7.374955e-10 7.545997e-10 8.061747e-10 1.095809e-15 1.094948e-15 1.094001e-15 1.093558e-15 1.093015e-15 1.092422e-15 1.092338e-15 1.092170e-15 
1.907349e+00 5.267082e-10 5.547659e-10 5.968888e-10 6.136105e-10 6.592842e-10 7.374107e-10 7.545008e-10 8.060823e-10 1.095557e-15 1.094713e-15 1.093798e-15 1.093343e-15 1.092827e-15 1.092297e-15 1.092195e-15 1.092044e-15 
2.145767e+00 5.265709e-10 5.546311e-10 5.967633e-10 6.134739e-10 6.591562e-10 7.373147e-10 7.543886e-10 8.059777e-10 1.095272e-15 1.094447e-15 1.093568e-15 1.093100e-15 1.092615e-15 1.092155e-15 1.092032e-15 1.091903e-15 
2.384186e+00 5.264177e-10 5.544804e-10 5.966232e-10 6.133214e-10 6.590134e-10 7.372075e-10 7.542634e-10 8.058608e-10 1.094953e-15 1.094150e-15 1.093312e-15 1.092828e-15 1.092378e-15 1.091996e-15 1.091851e-15 1.091744e-15 
2.622604e+00 5.262485e-10 5.543141e-10 5.964684e-10 6.131529e-10 6.588555e-10 7.370890e-10 7.541250e-10 8.057317e-10 1.094601e-15 1.093822e-15 1.093028e-15 1.092528e-15 1.092117e-15 1.091820e-15 1.091651e-15 1.091569e-15 
2.861023e+00 5.260634e-10 5.541321e-10 5.962990e-10 6.129686e-10 6.586828e-10 7.369594e-10 7.539736e-10 8.055904e-10 1.094216e-15 1.093463e-15 1.092717e-15 1.092199e-15 1.091831e-15 1.091628e-15 1.091431e-15 1.091378e-15 
3.099442e+00 5.258624e-10 5.539345e-10 5.961150e-10 6.127684e-10 6.584953e-10 7.368185e-10 7.538091e-10 8.054368e-10 1.093798e-15 1.093073e-15 1.092380e-15 1.091843e-15 1.091520e-15 1.091420e-15 1.091193e-15 1.091170e-15 
3.337860e+00 5.256457e-10 5.537214e-10 5.959165e-10 6.125524e-10 6.582929e-10 7.366664e-10 7.536315e-10 8.052710e-10 1.093347e-15 1.092652e-15 1.092017e-15 1.091458e-15 1.091184e-15 1.091194e-15 1.090936e-15 1.090945e-15 
3.576279e+00 5.254131e-10 5.534927e-10 5.957036e-10 6.123207e-10 6.580757e-10 7.365032e-10 7.534409e-10 8.050931e-10 1.092864e-15 1.092201e-15 1.091626e-15 1.091045e-15 1.090824e-15 1.090953e-15 1.090660e-15 1.090704e-15 
3.814697e+00 5.251650e-10 5.532486e-10 5.954762e-10 6.120733e-10 6.578438e-10 7.363288e-10 7.532374e-10 8.049031e-10 1.092348e-15 1.091719e-15 1.091210e-15 1.090604e-15 1.090440e-15 1.090694e-15 1.090366e-15 1.090447e-15 
4.053116e+00 5.249011e-10 5.529892e-10 5.952344e-10 6.118103e-10 6.575972e-10 7.361434e-10 7.530209e-10 8.047009e-10 1.091799e-15 1.091207e-15 1.090767e-15 1.090136e-15 1.090031e-15 1.090420e-15 1.090052e-15 1.090173e-15 
4.291534e+00 5.246218e-10 5.527144e-10 5.949783e-10 6.115317e-10 6.573359e-10 7.359468e-10 7.527915e-10 8.044867e-10 1.091218e-15 1.090665e-15 1.090297e-15 1.089639e-15 1.089598e-15 1.090128e-15 1.089720e-15 1.089883e-15 
4.529953e+00 5.243270e-10 5.524243e-10 5.947080e-10 6.112377e-10 6.570601e-10 7.357392e-10 7.525492e-10 8.042604e-10 1.090605e-15 1.090093e-15 1.089802e-15 1.089115e-15 1.089141e-15 1.089821e-15 1.089370e-15 1.089576e-15 
4.768372e+00 5.240169e-10 5.521192e-10 5.944235e-10 6.109282e-10 6.567698e-10 7.355206e-10 7.522941e-10 8.040221e-10 1.089960e-15 1.089490e-15 1.089281e-15 1.088564e-15 1.088659e-15 1.089497e-15 1.089000e-15 1.089253e-15 
5.006790e+00 5.236915e-10 5.517989e-10 5.941248e-10 6.106033e-10 6.564650e-10 7.352909e-10 7.520261e-10 8.037717e-10 1.089283e-15 1.088858e-15 1.088733e-15 1.087985e-15 1.088154e-15 1.089157e-15 1.088612e-15 1.088914e-15 
5.245209e+00 5.233508e-10 5.514636e-10 5.938120e-10 6.102632e-10 6.561457e-10 7.350503e-10 7.517454e-10 8.035095e-10 1.088574e-15 1.088197e-15 1.088160e-15 1.087379e-15 1.087625e-15 1.088800e-15 1.088206e-15 1.088559e-15 
5.483627e+00 5.229951e-10 5.511135e-10 5.934853e-10 6.099079e-10 6.558122e-10 7.347988e-10 7.514520e-10 8.032353e-10 1.087834e-15 1.087506e-15 1.087561e-15 1.086746e-15 1.087072e-15 1.088428e-15 1.087781e-15 1.088187e-15 
5.722046e+00 5.226244e-10 5.507485e-10 5.931446e-10 6.095374e-10 6.554643e-10 7.345363e-10 7.511459e-10 8.029492e-10 1.087063e-15 1.086786e-15 1.086937e-15 1.086086e-15 1.086496e-15 1.088039e-15 1.087338e-15 1.087800e-15 
5.960464e+00 5.222388e-10 5.503688e-10 5.927901e-10 6.091520e-10 6.551023e-10 7.342630e-10 7.508272e-10 8.026513e-10 1.086261e-15 1.086036e-15 1.086287e-15 1.085399e-15 1.085896e-15 1.087634e-15 1.086877e-15 1.087396e-15 
6.437302e+00 5.214234e-10 5.495656e-10 5.920398e-10 6.083363e-10 6.543359e-10 7.336840e-10 7.501522e-10 8.020200e-10 1.084565e-15 1.084451e-15 1.084913e-15 1.083946e-15 1.084625e-15 1.086777e-15 1.085900e-15 1.086541e-15 
6.675720e+00 5.209938e-10 5.491423e-10 5.916442e-10 6.079063e-10 6.539317e-10 7.333783e-10 7.497959e-10 8.016868e-10 1.083671e-15 1.083616e-15 1.084188e-15 1.083179e-15 1.083955e-15 1.086324e-15 1.085384e-15 1.086090e-15 
6.914139e+00 5.205497e-10 5.487047e-10 5.912351e-10 6.074617e-10 6.535137e-10 7.330619e-10 7.494272e-10 8.013419e-10 1.082748e-15 1.082753e-15 1.083438e-15 1.082387e-15 1.083262e-15 1.085855e-15 1.084850e-15 1.085622e-15 
