x0           y0           sigmax       sigmay       theta        rel_amp      sigma_rat    x0_sd        y0_sd        sigmax_sd    sigmay_sd    theta_sd     rel_amp_sd   sigma_rat_sd fwhm         
-7.884841e+00 -1.395466e+01 9.737252e-01 5.473351e-01 7.076605e+01 7.900475e-01 1.768688e+00 5.783795e-03 8.898597e-03 8.516677e-03 7.565432e-03 7.537297e-01 1.553627e-02 1.836200e-02 1.460074e+00 
-3.899499e+00 -1.401017e+01 9.948026e-01 5.749565e-01 6.990944e+01 6.890575e-01 1.746103e+00 6.091966e-03 9.130566e-03 9.766665e-03 7.588377e-03 7.660104e-01 1.542633e-02 1.788195e-02 1.512572e+00 
8.481835e-02 -1.404592e+01 1.001195e+00 5.869241e-01 6.790930e+01 5.944901e-01 1.692396e+00 5.892853e-03 8.484815e-03 8.349265e-03 7.850206e-03 7.359229e-01 1.458925e-02 1.759847e-02 1.533135e+00 
4.017423e+00 -1.406004e+01 9.282269e-01 5.683648e-01 6.934187e+01 7.141671e-01 1.609920e+00 1.017864e-02 1.450788e-02 1.448206e-02 1.374218e-02 1.510506e+00 2.466291e-02 3.159516e-02 1.452682e+00 
8.034456e+00 -1.409960e+01 1.016315e+00 5.980780e-01 6.503436e+01 5.649853e-01 1.677793e+00 9.351459e-03 1.303456e-02 1.030749e-02 1.750310e-02 1.139674e+00 2.175364e-02 3.126761e-02 1.559276e+00 
1.201387e+01 -1.416341e+01 1.004352e+00 5.869250e-01 6.521409e+01 6.015802e-01 1.701838e+00 9.544345e-03 1.339310e-02 1.045048e-02 1.787296e-02 1.194612e+00 2.177513e-02 3.225714e-02 1.535551e+00 
3.955085e+00 -5.941325e+00 7.833338e-01 5.452831e-01 6.385310e+01 9.788100e-01 1.441134e+00 5.482512e-03 6.668166e-03 6.767919e-03 7.349599e-03 1.130242e+00 1.448599e-02 1.686666e-02 1.307117e+00 
7.918728e+00 -5.972592e+00 8.181878e-01 5.430962e-01 6.685822e+01 1.011217e+00 1.491405e+00 5.169084e-03 6.732266e-03 6.225596e-03 7.572837e-03 9.562111e-01 1.435519e-02 1.699489e-02 1.333199e+00 
1.188341e+01 -6.058913e+00 7.948677e-01 5.601390e-01 6.451103e+01 9.600405e-01 1.404169e+00 5.834781e-03 7.108487e-03 6.982289e-03 8.471403e-03 1.253052e+00 1.505036e-02 1.826164e-02 1.334521e+00 
-9.955736e+00 -7.797548e+00 8.788479e-01 5.634194e-01 6.598190e+01 8.650086e-01 1.569870e+00 5.752870e-03 7.739818e-03 9.610133e-03 6.623494e-03 9.340999e-01 1.468259e-02 1.641689e-02 1.407352e+00 
-5.975611e+00 -7.843115e+00 8.332919e-01 5.514481e-01 6.729317e+01 9.191753e-01 1.527999e+00 5.247836e-03 6.982940e-03 6.372359e-03 7.942514e-03 9.480732e-01 1.429791e-02 1.705950e-02 1.355754e+00 
-1.988495e+00 -7.898032e+00 8.364202e-01 5.519729e-01 6.665452e+01 9.499958e-01 1.526431e+00 5.025553e-03 6.587582e-03 7.584061e-03 6.074533e-03 8.831188e-01 1.371370e-02 1.489356e-02 1.358943e+00 
1.992275e+00 -7.942456e+00 8.257354e-01 5.460482e-01 6.421442e+01 9.406401e-01 1.496648e+00 4.790229e-03 6.108760e-03 5.972966e-03 6.537922e-03 8.795294e-01 1.349130e-02 1.506534e-02 1.342969e+00 
5.948428e+00 -7.962367e+00 8.140952e-01 5.380895e-01 6.174039e+01 1.011558e+00 1.505493e+00 5.351668e-03 6.658961e-03 6.560771e-03 7.272868e-03 9.855917e-01 1.443900e-02 1.674834e-02 1.323716e+00 
1.387876e+01 -8.122058e+00 8.147027e-01 5.624237e-01 5.852702e+01 8.432898e-01 1.492640e+00 9.289564e-03 1.090604e-02 1.166383e-02 1.153961e-02 1.584140e+00 2.258674e-02 2.658500e-02 1.353821e+00 
-7.946367e+00 -9.842643e+00 8.772071e-01 5.654403e-01 6.609974e+01 8.366335e-01 1.548072e+00 5.634242e-03 7.473500e-03 6.820768e-03 8.439319e-03 9.493496e-01 1.439918e-02 1.786087e-02 1.408557e+00 
-3.955066e+00 -9.908632e+00 8.688631e-01 5.621863e-01 6.690248e+01 8.870180e-01 1.548256e+00 5.363569e-03 7.190826e-03 6.475523e-03 8.243988e-03 9.004723e-01 1.416383e-02 1.750869e-02 1.397802e+00 
9.922839e-03 -9.907115e+00 8.452562e-01 5.365757e-01 6.631101e+01 9.580109e-01 1.575663e+00 4.851433e-03 6.529883e-03 5.860098e-03 7.377741e-03 8.209823e-01 1.395702e-02 1.633276e-02 1.346913e+00 
3.978921e+00 -9.973851e+00 8.329300e-01 5.441079e-01 6.765335e+01 9.220989e-01 1.523303e+00 5.003442e-03 6.707189e-03 6.443754e-03 7.074889e-03 9.162246e-01 1.408698e-02 1.619480e-02 1.346408e+00 
7.938988e+00 -1.001420e+01 7.865851e-01 5.242475e-01 6.811114e+01 1.075168e+00 1.493892e+00 4.834617e-03 6.419624e-03 5.903166e-03 7.230257e-03 9.740478e-01 1.411725e-02 1.640595e-02 1.284314e+00 
1.191254e+01 -1.007015e+01 8.542624e-01 5.345364e-01 6.020791e+01 8.450596e-01 1.600577e+00 8.777341e-03 1.113127e-02 1.095087e-02 1.130564e-02 1.314658e+00 2.196380e-02 2.697016e-02 1.351495e+00 
-7.903023e+00 -1.190528e+01 9.348125e-01 5.506176e-01 6.847892e+01 8.730701e-01 1.684491e+00 5.575230e-03 8.078541e-03 7.331658e-03 7.845877e-03 7.839017e-01 1.471882e-02 1.806659e-02 1.434886e+00 
4.152722e-02 -1.195629e+01 9.230528e-01 5.384518e-01 6.665531e+01 8.655360e-01 1.703609e+00 4.914099e-03 6.982466e-03 6.223970e-03 6.849257e-03 6.682851e-01 1.365706e-02 1.612698e-02 1.409992e+00 
4.003879e+00 -1.199843e+01 8.770424e-01 5.490740e-01 6.767008e+01 8.450597e-01 1.592964e+00 5.144230e-03 7.084434e-03 6.345153e-03 7.740919e-03 8.357256e-01 1.408837e-02 1.697080e-02 1.387892e+00 
7.941029e+00 -1.201827e+01 8.639512e-01 5.584365e-01 6.895394e+01 8.459533e-01 1.539901e+00 5.807233e-03 7.955268e-03 7.153489e-03 8.637177e-03 1.004491e+00 1.527177e-02 1.895782e-02 1.389190e+00 
1.197116e+01 -1.213074e+01 9.518513e-01 5.666610e-01 6.283746e+01 8.034150e-01 1.619986e+00 9.314636e-03 1.206592e-02 1.368992e-02 1.115318e-02 1.253065e+00 2.307083e-02 2.718583e-02 1.468846e+00 
-1.383634e+01 -1.392514e+01 1.117837e+00 6.650164e-01 6.637353e+01 3.775340e-01 1.669923e+00 9.079388e-03 1.404310e-02 1.113871e-02 1.557470e-02 1.025972e+00 1.601992e-02 2.640437e-02 1.724389e+00 
-9.860576e+00 -1.395960e+01 1.094096e+00 6.278220e-01 6.520644e+01 3.933174e-01 1.637703e+00 8.323702e-03 1.157069e-02 1.001033e-02 1.336544e-02 9.362117e-01 1.754900e-02 2.527858e-02 1.657586e+00 
-5.885781e+00 -1.401204e+01 1.017162e+00 5.738250e-01 6.602196e+01 6.203739e-01 1.828471e+00 8.862641e-03 1.293965e-02 1.059202e-02 1.365700e-02 9.904897e-01 2.105288e-02 2.854055e-02 1.527970e+00 
-1.912928e+00 -1.402007e+01 9.880771e-01 5.755600e-01 6.976462e+01 6.256799e-01 1.702508e+00 5.594813e-03 8.271624e-03 7.832255e-03 7.738403e-03 7.359591e-01 1.432297e-02 1.736192e-02 1.508241e+00 
2.061617e+00 -1.404924e+01 9.355003e-01 5.782016e-01 7.169118e+01 6.277572e-01 1.607205e+00 8.910431e-03 1.308062e-02 1.029193e-02 1.679564e-02 1.361899e+00 2.204710e-02 3.119822e-02 1.470929e+00 
1.000484e+01 -1.412498e+01 9.890459e-01 5.626297e-01 6.796691e+01 6.600741e-01 1.775826e+00 8.854012e-03 1.313892e-02 1.052137e-02 1.382411e-02 1.060310e+00 2.145971e-02 2.947932e-02 1.491934e+00 
1.409329e+01 -1.434242e+01 1.107375e+00 6.138164e-01 6.032696e+01 5.179722e-01 1.835365e+00 1.128803e-02 1.518192e-02 1.517598e-02 1.409991e-02 1.111001e+00 2.255501e-02 2.940260e-02 1.648908e+00 
