f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
2.384186e-01 2.283557e-17 1.251144e-17 1.068106e-17 1.378283e-17 3.413865e-17 1.627254e-17 2.543244e-17 3.917046e-17 9.892864e-29 4.878488e-29 3.592037e-29 4.382504e-29 9.396169e-29 3.577040e-29 5.339825e-29 7.204845e-29 
4.768372e-01 2.435719e-18 2.056486e-18 3.318779e-18 3.378083e-18 3.046982e-18 5.065532e-18 4.452386e-18 5.983978e-18 1.055206e-29 8.018696e-30 1.116105e-29 1.074123e-29 8.386376e-30 1.113509e-29 9.348285e-30 1.100667e-29 
7.152557e-01 9.520470e-19 1.183206e-18 1.208320e-18 9.986178e-19 1.794888e-18 1.963527e-18 2.136079e-18 1.898528e-18 4.124474e-30 4.613581e-30 4.063579e-30 3.175289e-30 4.940169e-30 4.316239e-30 4.484937e-30 3.492071e-30 
9.536743e-01 9.222687e-19 9.629539e-19 8.803778e-19 9.757319e-19 1.246252e-18 1.383170e-18 1.333047e-18 1.874243e-18 3.995468e-30 3.754771e-30 2.960709e-30 3.102519e-30 3.430129e-30 3.040495e-30 2.798881e-30 3.447401e-30 
1.192093e+00 6.048351e-19 7.563958e-19 8.474670e-19 1.098820e-18 9.919917e-19 1.059300e-18 1.483616e-18 1.571110e-18 2.620276e-30 2.949355e-30 2.850030e-30 3.493899e-30 2.730313e-30 2.328559e-30 3.115018e-30 2.889831e-30 
1.430511e+00 6.914568e-19 1.060295e-18 1.208141e-18 1.529459e-18 1.651331e-18 1.463393e-18 2.501075e-18 2.522975e-18 2.995540e-30 4.134327e-30 4.062975e-30 4.863196e-30 4.545050e-30 3.216840e-30 5.251287e-30 4.640650e-30 
1.668930e+00 6.172117e-19 9.494620e-19 1.122558e-18 9.326707e-19 1.082524e-18 1.351612e-18 1.990345e-18 1.535411e-18 2.673894e-30 3.702163e-30 3.775160e-30 2.965598e-30 2.979492e-30 2.971122e-30 4.178952e-30 2.824168e-30 
1.907349e+00 5.929573e-19 6.329426e-19 7.491852e-19 1.136109e-18 1.037967e-18 1.135681e-18 1.676294e-18 1.266116e-18 2.568819e-30 2.467984e-30 2.519508e-30 3.612468e-30 2.856853e-30 2.496463e-30 3.519567e-30 2.328839e-30 
2.145767e+00 6.878612e-19 6.248860e-19 8.353678e-19 1.005548e-18 1.100473e-18 1.188172e-18 1.449897e-18 1.440305e-18 2.979963e-30 2.436569e-30 2.809340e-30 3.197326e-30 3.028892e-30 2.611847e-30 3.044222e-30 2.649235e-30 
2.384186e+00 6.120278e-19 7.254149e-19 1.225646e-18 9.388623e-19 1.279877e-18 1.422944e-18 1.620987e-18 1.920191e-18 2.651437e-30 2.828554e-30 4.121844e-30 2.985285e-30 3.522677e-30 3.127925e-30 3.403444e-30 3.531916e-30 
2.622604e+00 6.058365e-19 9.166137e-19 9.100204e-19 8.284386e-19 1.192485e-18 1.422651e-18 1.246262e-18 1.904572e-18 2.624615e-30 3.574080e-30 3.060397e-30 2.634173e-30 3.282141e-30 3.127281e-30 2.616667e-30 3.503188e-30 
2.861023e+00 5.948380e-19 8.608281e-19 9.348714e-19 8.920503e-19 1.328651e-18 1.386042e-18 1.452561e-18 1.541123e-18 2.576967e-30 3.356560e-30 3.143971e-30 2.836438e-30 3.656919e-30 3.046807e-30 3.049815e-30 2.834674e-30 
3.099442e+00 6.634021e-19 9.351444e-19 9.702795e-19 9.141155e-19 1.134246e-18 1.179223e-18 1.458223e-18 1.490715e-18 2.874001e-30 3.646335e-30 3.263048e-30 2.906598e-30 3.121848e-30 2.592176e-30 3.061703e-30 2.741956e-30 
3.337860e+00 4.778265e-19 1.005922e-18 1.067994e-18 7.835675e-19 9.988097e-19 1.496463e-18 1.463935e-18 1.669053e-18 2.070047e-30 3.922314e-30 3.591660e-30 2.491497e-30 2.749079e-30 3.289536e-30 3.073695e-30 3.069984e-30 
3.576279e+00 6.019449e-19 9.911941e-19 8.176104e-19 8.244512e-19 8.864648e-19 1.659111e-18 1.483606e-18 1.563432e-18 2.607755e-30 3.864886e-30 2.749622e-30 2.621494e-30 2.439866e-30 3.647068e-30 3.114997e-30 2.875709e-30 
3.814697e+00 5.204086e-19 8.162062e-19 7.128229e-19 9.829356e-19 1.107114e-18 1.577619e-18 1.397045e-18 1.583233e-18 2.254523e-30 3.182569e-30 2.397222e-30 3.125424e-30 3.047170e-30 3.467932e-30 2.933253e-30 2.912131e-30 
4.053116e+00 7.369161e-19 7.002921e-19 8.808995e-19 9.759554e-19 1.366473e-18 1.095965e-18 1.203498e-18 1.671724e-18 3.192480e-30 2.730594e-30 2.962463e-30 3.103229e-30 3.761020e-30 2.409157e-30 2.526880e-30 3.074897e-30 
4.291534e+00 1.048360e-18 1.062571e-18 9.403618e-19 1.128497e-18 1.431171e-18 1.306315e-18 1.481972e-18 1.757516e-18 4.541723e-30 4.143200e-30 3.162435e-30 3.588262e-30 3.939090e-30 2.871550e-30 3.111566e-30 3.232700e-30 
4.529953e+00 6.506488e-19 9.802643e-19 9.911100e-19 1.096574e-18 1.009697e-18 1.561232e-18 1.656393e-18 1.626236e-18 2.818751e-30 3.822268e-30 3.333101e-30 3.486757e-30 2.779045e-30 3.431910e-30 3.477782e-30 2.991228e-30 
4.768372e+00 5.809257e-19 7.959579e-19 9.979545e-19 8.198572e-19 1.243330e-18 1.438411e-18 1.611681e-18 1.933595e-18 2.516696e-30 3.103616e-30 3.356119e-30 2.606887e-30 3.422085e-30 3.161924e-30 3.383904e-30 3.556571e-30 
5.006790e+00 6.768147e-19 7.538295e-19 8.661670e-19 7.005266e-19 1.123325e-18 1.525557e-18 9.229086e-19 1.821174e-18 2.932107e-30 2.939349e-30 2.912918e-30 2.227453e-30 3.091788e-30 3.353490e-30 1.937750e-30 3.349790e-30 
5.245209e+00 7.647752e-19 8.999887e-19 7.581489e-19 7.809463e-19 1.050660e-18 1.423532e-18 1.198468e-18 1.516092e-18 3.313171e-30 3.509256e-30 2.549653e-30 2.483162e-30 2.891789e-30 3.129218e-30 2.516317e-30 2.788634e-30 
5.483627e+00 7.741870e-19 8.803026e-19 6.360494e-19 9.042227e-19 9.902144e-19 1.458439e-18 1.409247e-18 1.432778e-18 3.353945e-30 3.432495e-30 2.139033e-30 2.875142e-30 2.725422e-30 3.205951e-30 2.958872e-30 2.635390e-30 
5.722046e+00 6.066838e-19 8.176339e-19 7.327056e-19 1.295064e-18 7.646319e-19 1.200731e-18 1.477282e-18 1.458382e-18 2.628285e-30 3.188136e-30 2.464087e-30 4.117895e-30 2.104539e-30 2.639455e-30 3.101719e-30 2.682485e-30 
5.960464e+00 7.956893e-19 5.662091e-19 8.334895e-19 1.042140e-18 9.393857e-19 1.287981e-18 1.411464e-18 1.346265e-18 3.447098e-30 2.207775e-30 2.803023e-30 3.313675e-30 2.585523e-30 2.831249e-30 2.963527e-30 2.476262e-30 
6.198883e+00 6.839517e-19 6.241694e-19 9.210284e-19 8.954976e-19 1.049018e-18 1.122343e-18 1.351221e-18 1.626228e-18 2.963026e-30 2.433775e-30 3.097417e-30 2.847399e-30 2.887271e-30 2.467142e-30 2.837040e-30 2.991213e-30 
