time         dI           resid
0.000000e+00 4.359385e-03 4.359385e+00
3.200000e-01 8.106568e-03 8.106568e+00
6.400000e-01 4.847670e-02 2.195227e+01
9.600000e-01 1.546233e-01 1.075150e+01
1.280000e+00 2.532028e-01 6.519077e+00
1.600000e+00 3.199737e-01 -1.678716e+01
1.920000e+00 3.850696e-01 -3.061078e+01
2.240000e+00 4.547368e-01 -3.008764e+01
2.560000e+00 5.238929e-01 -2.151105e+01
2.880000e+00 5.995952e-01 1.115532e+00
3.200000e+00 6.609155e-01 1.593438e+01
3.520000e+00 6.959016e-01 1.017892e+01
3.840000e+00 7.312698e-01 9.852118e+00
4.160000e+00 7.525140e-01 -1.773052e-01
4.480000e+00 7.772650e-01 -2.826093e+00
4.800000e+00 8.064782e-01 2.381177e+00
5.120000e+00 8.256138e-01 4.843025e-01
5.440000e+00 8.570270e-01 1.347029e+01
5.760000e+00 8.705435e-01 1.084208e+01
6.080000e+00 8.892535e-01 1.540715e+01
6.400000e+00 8.924464e-01 6.207185e+00
6.720000e+00 8.914485e-01 -5.648501e+00
7.040000e+00 9.091516e-01 2.541704e+00
7.360000e+00 9.177105e-01 2.766080e+00
7.680000e+00 9.203750e-01 -1.871615e+00
8.000000e+00 9.332515e-01 4.607184e+00
8.320000e+00 9.382275e-01 3.977963e+00
8.640000e+00 9.509111e-01 1.175063e+01
8.960000e+00 9.484427e-01 4.979587e+00
9.280000e+00 9.458431e-01 -1.389722e+00
9.600000e+00 9.496098e-01 -9.256884e-01
9.920000e+00 9.635390e-01 1.010983e+01
1.024000e+01 9.627511e-01 6.786654e+00
1.056000e+01 9.636489e-01 5.463298e+00
1.088000e+01 9.673078e-01 7.176090e+00
1.120000e+01 9.632603e-01 1.423574e+00
1.152000e+01 9.609304e-01 -2.400057e+00
1.184000e+01 9.673324e-01 2.693154e+00
1.216000e+01 9.733947e-01 7.608713e+00
1.248000e+01 9.674632e-01 6.725663e-01
1.280000e+01 9.699751e-01 2.304323e+00
1.312000e+01 9.631491e-01 -5.292836e+00
1.344000e+01 9.657364e-01 -3.381246e+00
1.376000e+01 9.690141e-01 -6.954451e-01
1.408000e+01 9.693829e-01 -8.452833e-01
1.440000e+01 9.701673e-01 -5.153374e-01
1.472000e+01 9.649810e-01 -6.099735e+00
1.504000e+01 9.709315e-01 -4.979975e-01
1.536000e+01 9.741169e-01 2.381826e+00
1.568000e+01 9.708420e-01 -1.160886e+00
1.600000e+01 9.682458e-01 -3.991641e+00
1.632000e+01 9.673058e-01 -5.137155e+00
1.664000e+01 9.731084e-01 4.853704e-01
1.696000e+01 9.693955e-01 -3.385292e+00
1.728000e+01 9.759262e-01 3.007242e+00
1.760000e+01 9.769527e-01 3.912658e+00
1.792000e+01 9.719169e-01 -1.229240e+00
1.824000e+01 9.776315e-01 4.392397e+00
1.856000e+01 9.751966e-01 1.876008e+00
1.888000e+01 9.690431e-01 -4.348854e+00
1.920000e+01 9.773018e-01 3.847325e+00
1.952000e+01 9.776136e-01 4.104353e+00
1.984000e+01 9.815996e-01 8.042360e+00
2.016000e+01 9.700566e-01 -3.542617e+00
2.048000e+01 9.710962e-01 -2.539899e+00
2.080000e+01 9.721084e-01 -1.559928e+00
2.112000e+01 9.654275e-01 -8.269116e+00
2.144000e+01 9.659246e-01 -7.796829e+00
2.176000e+01 9.716308e-01 -2.112305e+00
2.208000e+01 9.789921e-01 5.229942e+00
2.240000e+01 9.743576e-01 5.788370e-01
2.272000e+01 9.731024e-01 -6.909990e-01
2.304000e+01 9.678594e-01 -5.946826e+00
2.336000e+01 9.729179e-01 -8.995144e-01
2.368000e+01 9.780151e-01 4.187893e+00
2.400000e+01 9.843503e-01 1.051453e+01
2.432000e+01 9.757213e-01 1.877948e+00
2.464000e+01 9.679578e-01 -5.892175e+00
2.496000e+01 9.744435e-01 5.877702e-01
2.528000e+01 9.732733e-01 -5.874927e-01
2.560000e+01 9.749009e-01 1.035630e+00
2.592000e+01 9.644481e-01 -9.421040e+00
2.624000e+01 9.669103e-01 -6.962274e+00
2.656000e+01 9.716171e-01 -2.258401e+00
2.688000e+01 9.742224e-01 3.442633e-01
2.720000e+01 9.776775e-01 3.797118e+00
2.752000e+01 9.795896e-01 5.707163e+00
2.784000e+01 9.676843e-01 -6.199848e+00
2.816000e+01 9.704243e-01 -3.461449e+00
2.848000e+01 9.740371e-01 1.500515e-01
2.880000e+01 9.740421e-01 1.537887e-01
2.912000e+01 9.671440e-01 -6.745322e+00
2.944000e+01 9.670637e-01 -6.826517e+00
2.976000e+01 9.689070e-01 -4.983983e+00
