Vtes01       Ites01       Rtes01       Ptes01       Ptot01       Vtes02       Ites02       Rtes02       Ptes02       Ptot02       Vtes03       Ites03       Rtes03       Ptes03       Ptot03       Vtes04       Ites04       Rtes04       Ptes04       Ptot04       Vtes05       Ites05       Rtes05       Ptes05       Ptot05       Vtes06       Ites06       Rtes06       Ptes06       Ptot06       Vtes07       Ites07       Rtes07       Ptes07       Ptot07       Vtes08       Ites08       Rtes08       Ptes08       Ptot08       Vtes09       Ites09       Rtes09       Ptes09       Ptot09       Vtes10       Ites10       Rtes10       Ptes10       Ptot10       Vtes11       Ites11       Rtes11       Ptes11       Ptot11       Vtes12       Ites12       Rtes12       Ptes12       Ptot12       Vtes13       Ites13       Rtes13       Ptes13       Ptot13       Vtes14       Ites14       Rtes14       Ptes14       Ptot14       Vtes15       Ites15       Rtes15       Ptes15       Ptot15       
1.382143e+00 3.147934e+02 4.390637e+00 4.350895e+02 6.485663e+02 1.382167e+00 3.146359e+02 4.392909e+00 4.348795e+02 6.702377e+02 1.382170e+00 3.146168e+02 4.393186e+00 4.348540e+02 6.931609e+02 1.382172e+00 3.146031e+02 4.393384e+00 4.348357e+02 7.171587e+02 1.382172e+00 3.146051e+02 4.393355e+00 4.348384e+02 7.422449e+02 1.382173e+00 3.145971e+02 4.393471e+00 4.348276e+02 7.683851e+02 1.382174e+00 3.145928e+02 4.393533e+00 4.348220e+02 7.955977e+02 1.382173e+00 3.145997e+02 4.393434e+00 4.348311e+02 8.238926e+02 1.382173e+00 3.145964e+02 4.393480e+00 4.348268e+02 8.532413e+02 1.382174e+00 3.145946e+02 4.393506e+00 4.348244e+02 8.836593e+02 1.382174e+00 3.145902e+02 4.393570e+00 4.348185e+02 9.151412e+02 1.382175e+00 3.145817e+02 4.393693e+00 4.348072e+02 9.476852e+02 1.382174e+00 3.145898e+02 4.393576e+00 4.348179e+02 9.813185e+02 1.382173e+00 3.145956e+02 4.393492e+00 4.348257e+02 1.016016e+03 1.382175e+00 3.145872e+02 4.393614e+00 4.348144e+02 1.051762e+03 
1.377673e+00 3.138537e+02 4.389539e+00 4.323879e+02 6.458647e+02 1.377704e+00 3.136514e+02 4.392469e+00 4.321188e+02 6.674769e+02 1.377708e+00 3.136234e+02 4.392875e+00 4.320815e+02 6.903884e+02 1.377710e+00 3.136113e+02 4.393050e+00 4.320654e+02 7.143885e+02 1.377710e+00 3.136091e+02 4.393082e+00 4.320625e+02 7.394691e+02 1.377712e+00 3.135996e+02 4.393220e+00 4.320499e+02 7.656074e+02 1.377712e+00 3.136002e+02 4.393211e+00 4.320507e+02 7.928265e+02 1.377712e+00 3.135992e+02 4.393225e+00 4.320494e+02 8.211108e+02 1.377712e+00 3.135968e+02 4.393261e+00 4.320461e+02 8.504607e+02 1.377712e+00 3.135990e+02 4.393228e+00 4.320491e+02 8.808840e+02 1.377712e+00 3.135998e+02 4.393217e+00 4.320502e+02 9.123729e+02 1.377714e+00 3.135873e+02 4.393398e+00 4.320335e+02 9.449115e+02 1.377713e+00 3.135952e+02 4.393284e+00 4.320440e+02 9.785446e+02 1.377712e+00 3.135980e+02 4.393243e+00 4.320477e+02 1.013238e+03 1.377714e+00 3.135843e+02 4.393442e+00 4.320295e+02 1.048977e+03 
1.373202e+00 3.129234e+02 4.388300e+00 4.297070e+02 6.431838e+02 1.373241e+00 3.126628e+02 4.392084e+00 4.293615e+02 6.647197e+02 1.373246e+00 3.126320e+02 4.392533e+00 4.293206e+02 6.876275e+02 1.373249e+00 3.126124e+02 4.392817e+00 4.292947e+02 7.116178e+02 1.373248e+00 3.126185e+02 4.392729e+00 4.293027e+02 7.367093e+02 1.373250e+00 3.126038e+02 4.392943e+00 4.292832e+02 7.628407e+02 1.373251e+00 3.126021e+02 4.392966e+00 4.292811e+02 7.900569e+02 1.373250e+00 3.126044e+02 4.392934e+00 4.292840e+02 8.183455e+02 1.373250e+00 3.126074e+02 4.392890e+00 4.292880e+02 8.477025e+02 1.373251e+00 3.126029e+02 4.392954e+00 4.292822e+02 8.781171e+02 1.373252e+00 3.125961e+02 4.393054e+00 4.292731e+02 9.095959e+02 1.373253e+00 3.125888e+02 4.393160e+00 4.292635e+02 9.421414e+02 1.373252e+00 3.125923e+02 4.393110e+00 4.292680e+02 9.757686e+02 1.373250e+00 3.126056e+02 4.392916e+00 4.292856e+02 1.010476e+03 1.373251e+00 3.125965e+02 4.393048e+00 4.292736e+02 1.046222e+03 
1.368729e+00 3.120009e+02 4.386939e+00 4.270447e+02 6.405215e+02 1.368778e+00 3.116813e+02 4.391594e+00 4.266224e+02 6.619805e+02 1.368784e+00 3.116412e+02 4.392179e+00 4.265694e+02 6.848763e+02 1.368787e+00 3.116194e+02 4.392497e+00 4.265406e+02 7.088637e+02 1.368788e+00 3.116136e+02 4.392582e+00 4.265329e+02 7.339395e+02 1.368789e+00 3.116097e+02 4.392638e+00 4.265278e+02 7.600853e+02 1.368790e+00 3.116031e+02 4.392735e+00 4.265190e+02 7.872948e+02 1.368788e+00 3.116152e+02 4.392558e+00 4.265350e+02 8.155965e+02 1.368789e+00 3.116069e+02 4.392679e+00 4.265241e+02 8.449386e+02 1.368789e+00 3.116063e+02 4.392688e+00 4.265233e+02 8.753583e+02 1.368791e+00 3.115948e+02 4.392855e+00 4.265081e+02 9.068309e+02 1.368791e+00 3.115946e+02 4.392858e+00 4.265079e+02 9.393859e+02 1.368790e+00 3.115992e+02 4.392790e+00 4.265140e+02 9.730146e+02 1.368789e+00 3.116049e+02 4.392708e+00 4.265214e+02 1.007712e+03 1.368792e+00 3.115900e+02 4.392926e+00 4.265017e+02 1.043450e+03 
1.364257e+00 3.110722e+02 4.385661e+00 4.243825e+02 6.378593e+02 1.364315e+00 3.106961e+02 4.391154e+00 4.238872e+02 6.592454e+02 1.364322e+00 3.106457e+02 4.391891e+00 4.238209e+02 6.821278e+02 1.364326e+00 3.106227e+02 4.392227e+00 4.237906e+02 7.061137e+02 1.364326e+00 3.106193e+02 4.392277e+00 4.237861e+02 7.311927e+02 1.364327e+00 3.106113e+02 4.392395e+00 4.237755e+02 7.573330e+02 1.364328e+00 3.106107e+02 4.392404e+00 4.237747e+02 7.845505e+02 1.364328e+00 3.106066e+02 4.392463e+00 4.237694e+02 8.128308e+02 1.364329e+00 3.106022e+02 4.392528e+00 4.237635e+02 8.421780e+02 1.364328e+00 3.106070e+02 4.392457e+00 4.237699e+02 8.726049e+02 1.364330e+00 3.105941e+02 4.392646e+00 4.237529e+02 9.040757e+02 1.364330e+00 3.105919e+02 4.392679e+00 4.237500e+02 9.366280e+02 1.364331e+00 3.105913e+02 4.392687e+00 4.237492e+02 9.702498e+02 1.364329e+00 3.106038e+02 4.392505e+00 4.237657e+02 1.004956e+03 1.364331e+00 3.105899e+02 4.392708e+00 4.237473e+02 1.040695e+03 
1.359785e+00 3.101467e+02 4.384329e+00 4.217328e+02 6.352096e+02 1.359851e+00 3.097148e+02 4.390655e+00 4.211659e+02 6.565241e+02 1.359861e+00 3.096481e+02 4.391634e+00 4.210783e+02 6.793853e+02 1.359866e+00 3.096174e+02 4.392084e+00 4.210381e+02 7.033612e+02 1.359865e+00 3.096217e+02 4.392021e+00 4.210437e+02 7.284503e+02 1.359866e+00 3.096122e+02 4.392161e+00 4.210312e+02 7.545887e+02 1.359867e+00 3.096074e+02 4.392232e+00 4.210249e+02 7.818007e+02 1.359867e+00 3.096108e+02 4.392181e+00 4.210294e+02 8.100908e+02 1.359867e+00 3.096061e+02 4.392249e+00 4.210233e+02 8.394378e+02 1.359868e+00 3.096013e+02 4.392320e+00 4.210169e+02 8.698519e+02 1.359869e+00 3.095969e+02 4.392385e+00 4.210111e+02 9.013339e+02 1.359870e+00 3.095862e+02 4.392542e+00 4.209971e+02 9.338751e+02 1.359868e+00 3.095991e+02 4.392353e+00 4.210140e+02 9.675146e+02 1.359868e+00 3.095995e+02 4.392347e+00 4.210146e+02 1.002205e+03 1.359870e+00 3.095872e+02 4.392527e+00 4.209984e+02 1.037946e+03 
1.355312e+00 3.092272e+02 4.382900e+00 4.190994e+02 6.325762e+02 1.355385e+00 3.087441e+02 4.389996e+00 4.184673e+02 6.538255e+02 1.355399e+00 3.086536e+02 4.391328e+00 4.183489e+02 6.766558e+02 1.355401e+00 3.086399e+02 4.391529e+00 4.183310e+02 7.006540e+02 1.355403e+00 3.086284e+02 4.391699e+00 4.183160e+02 7.257225e+02 1.355403e+00 3.086288e+02 4.391693e+00 4.183165e+02 7.518740e+02 1.355405e+00 3.086147e+02 4.391900e+00 4.182980e+02 7.790738e+02 1.355405e+00 3.086176e+02 4.391859e+00 4.183017e+02 8.073632e+02 1.355406e+00 3.086099e+02 4.391972e+00 4.182917e+02 8.367062e+02 1.355406e+00 3.086117e+02 4.391945e+00 4.182941e+02 8.671290e+02 1.355407e+00 3.086037e+02 4.392064e+00 4.182835e+02 8.986063e+02 1.355407e+00 3.086006e+02 4.392108e+00 4.182796e+02 9.311576e+02 1.355408e+00 3.085964e+02 4.392170e+00 4.182740e+02 9.647746e+02 1.355406e+00 3.086103e+02 4.391966e+00 4.182922e+02 9.994828e+02 1.355408e+00 3.085980e+02 4.392147e+00 4.182761e+02 1.035224e+03 
1.350838e+00 3.083162e+02 4.381337e+00 4.164852e+02 6.299619e+02 1.350920e+00 3.077735e+02 4.389332e+00 4.157774e+02 6.511356e+02 1.350937e+00 3.076659e+02 4.390921e+00 4.156370e+02 6.739440e+02 1.350941e+00 3.076382e+02 4.391329e+00 4.156010e+02 6.979241e+02 1.350941e+00 3.076336e+02 4.391397e+00 4.155950e+02 7.230016e+02 1.350943e+00 3.076237e+02 4.391543e+00 4.155821e+02 7.491396e+02 1.350946e+00 3.076062e+02 4.391802e+00 4.155592e+02 7.763350e+02 1.350945e+00 3.076104e+02 4.391740e+00 4.155648e+02 8.046262e+02 1.350946e+00 3.076044e+02 4.391829e+00 4.155569e+02 8.339714e+02 1.350945e+00 3.076086e+02 4.391767e+00 4.155624e+02 8.643974e+02 1.350945e+00 3.076072e+02 4.391787e+00 4.155606e+02 8.958833e+02 1.350948e+00 3.075933e+02 4.391993e+00 4.155424e+02 9.284204e+02 1.350948e+00 3.075911e+02 4.392026e+00 4.155395e+02 9.620401e+02 1.350946e+00 3.076028e+02 4.391853e+00 4.155548e+02 9.967453e+02 1.350948e+00 3.075937e+02 4.391987e+00 4.155429e+02 1.032491e+03 
1.346366e+00 3.073835e+02 4.380087e+00 4.138508e+02 6.273276e+02 1.346451e+00 3.068252e+02 4.388334e+00 4.131252e+02 6.484834e+02 1.346475e+00 3.066676e+02 4.390667e+00 4.129204e+02 6.712273e+02 1.346479e+00 3.066418e+02 4.391049e+00 4.128868e+02 6.952099e+02 1.346480e+00 3.066384e+02 4.391100e+00 4.128824e+02 7.202890e+02 1.346481e+00 3.066279e+02 4.391256e+00 4.128688e+02 7.464262e+02 1.346483e+00 3.066160e+02 4.391432e+00 4.128533e+02 7.736291e+02 1.346483e+00 3.066196e+02 4.391378e+00 4.128580e+02 8.019195e+02 1.346483e+00 3.066198e+02 4.391375e+00 4.128583e+02 8.312728e+02 1.346485e+00 3.066073e+02 4.391560e+00 4.128420e+02 8.616770e+02 1.346485e+00 3.066019e+02 4.391641e+00 4.128350e+02 8.931577e+02 1.346487e+00 3.065922e+02 4.391784e+00 4.128224e+02 9.257004e+02 1.346487e+00 3.065940e+02 4.391757e+00 4.128247e+02 9.593253e+02 1.346483e+00 3.066152e+02 4.391444e+00 4.128523e+02 9.940428e+02 1.346487e+00 3.065930e+02 4.391772e+00 4.128234e+02 1.029771e+03 
1.341893e+00 3.064642e+02 4.378629e+00 4.112423e+02 6.247191e+02 1.341982e+00 3.058814e+02 4.387263e+00 4.104873e+02 6.458454e+02 1.342013e+00 3.056766e+02 4.390304e+00 4.102220e+02 6.685289e+02 1.342018e+00 3.056443e+02 4.390783e+00 4.101802e+02 6.925033e+02 1.342018e+00 3.056425e+02 4.390810e+00 4.101779e+02 7.175845e+02 1.342021e+00 3.056238e+02 4.391089e+00 4.101536e+02 7.437111e+02 1.342021e+00 3.056272e+02 4.391038e+00 4.101580e+02 7.709338e+02 1.342021e+00 3.056256e+02 4.391062e+00 4.101559e+02 7.992174e+02 1.342022e+00 3.056187e+02 4.391164e+00 4.101471e+02 8.285616e+02 1.342022e+00 3.056153e+02 4.391215e+00 4.101426e+02 8.589776e+02 1.342024e+00 3.056083e+02 4.391319e+00 4.101335e+02 8.904563e+02 1.342025e+00 3.056014e+02 4.391421e+00 4.101246e+02 9.230026e+02 1.342023e+00 3.056105e+02 4.391287e+00 4.101364e+02 9.566369e+02 1.342023e+00 3.056127e+02 4.391254e+00 4.101392e+02 9.913298e+02 1.342025e+00 3.056004e+02 4.391436e+00 4.101233e+02 1.027071e+03 
1.337419e+00 3.055514e+02 4.377067e+00 4.086503e+02 6.221271e+02 1.337511e+00 3.049504e+02 4.385994e+00 4.078744e+02 6.432326e+02 1.337551e+00 3.046868e+02 4.389920e+00 4.075340e+02 6.658410e+02 1.337557e+00 3.046485e+02 4.390491e+00 4.074846e+02 6.898076e+02 1.337557e+00 3.046457e+02 4.390533e+00 4.074809e+02 7.148875e+02 1.337560e+00 3.046231e+02 4.390870e+00 4.074518e+02 7.410093e+02 1.337561e+00 3.046185e+02 4.390939e+00 4.074458e+02 7.682216e+02 1.337560e+00 3.046259e+02 4.390828e+00 4.074554e+02 7.965169e+02 1.337561e+00 3.046207e+02 4.390906e+00 4.074487e+02 8.258632e+02 1.337562e+00 3.046154e+02 4.390984e+00 4.074419e+02 8.562769e+02 1.337563e+00 3.046078e+02 4.391098e+00 4.074320e+02 8.877548e+02 1.337564e+00 3.046025e+02 4.391176e+00 4.074253e+02 9.203032e+02 1.337563e+00 3.046034e+02 4.391164e+00 4.074263e+02 9.539269e+02 1.337562e+00 3.046154e+02 4.390984e+00 4.074419e+02 9.886325e+02 1.337565e+00 3.045959e+02 4.391276e+00 4.074167e+02 1.024365e+03 
