freq           unkown         trans
1.43000E+01    4.80372E-03    9.95208E-01
1.44000E+01    4.82484E-03    9.95187E-01
1.45000E+01    4.84665E-03    9.95165E-01
1.46000E+01    4.86954E-03    9.95142E-01
1.47000E+01    4.89506E-03    9.95117E-01
1.48000E+01    4.93408E-03    9.95078E-01
1.49000E+01    4.97037E-03    9.95042E-01
1.50000E+01    4.96417E-03    9.95048E-01
1.51000E+01    4.98181E-03    9.95031E-01
1.52000E+01    5.00305E-03    9.95009E-01
1.53000E+01    5.02583E-03    9.94987E-01
1.54000E+01    5.04935E-03    9.94963E-01
1.55000E+01    5.07363E-03    9.94939E-01
1.56000E+01    5.09833E-03    9.94915E-01
1.57000E+01    5.12384E-03    9.94889E-01
1.58000E+01    5.14991E-03    9.94863E-01
1.59000E+01    5.17720E-03    9.94836E-01
1.60000E+01    5.20686E-03    9.94807E-01
1.61000E+01    5.24625E-03    9.94767E-01
1.62000E+01    5.28423E-03    9.94730E-01
1.63000E+01    5.29086E-03    9.94723E-01
1.64000E+01    5.31545E-03    9.94699E-01
1.65000E+01    5.34297E-03    9.94671E-01
1.66000E+01    5.37202E-03    9.94642E-01
1.67000E+01    5.40205E-03    9.94613E-01
1.68000E+01    5.43277E-03    9.94582E-01
1.69000E+01    5.46433E-03    9.94551E-01
1.70000E+01    5.49668E-03    9.94518E-01
1.71000E+01    5.52985E-03    9.94485E-01
1.72000E+01    5.56380E-03    9.94452E-01
1.73000E+01    5.59861E-03    9.94417E-01
1.74000E+01    5.63435E-03    9.94381E-01
1.75000E+01    5.67103E-03    9.94345E-01
1.76000E+01    5.70885E-03    9.94307E-01
1.77000E+01    5.74763E-03    9.94269E-01
1.78000E+01    5.78766E-03    9.94229E-01
1.79000E+01    5.82873E-03    9.94188E-01
1.80000E+01    5.87123E-03    9.94146E-01
1.81000E+01    5.91519E-03    9.94102E-01
1.82000E+01    5.96054E-03    9.94057E-01
1.83000E+01    6.00757E-03    9.94010E-01
1.84000E+01    6.05621E-03    9.93962E-01
1.85000E+01    6.10688E-03    9.93912E-01
1.86000E+01    6.15942E-03    9.93860E-01
1.87000E+01    6.21427E-03    9.93805E-01
1.88000E+01    6.27155E-03    9.93748E-01
1.89000E+01    6.33097E-03    9.93689E-01
1.90000E+01    6.39329E-03    9.93627E-01
1.91000E+01    6.45874E-03    9.93562E-01
1.92000E+01    6.52727E-03    9.93494E-01
1.93000E+01    6.59924E-03    9.93422E-01
1.94000E+01    6.67507E-03    9.93347E-01
1.95000E+01    6.75499E-03    9.93268E-01
1.96000E+01    6.83955E-03    9.93184E-01
1.97000E+01    6.92917E-03    9.93095E-01
1.98000E+01    7.02406E-03    9.93001E-01
1.99000E+01    7.12497E-03    9.92900E-01
2.00000E+01    7.23235E-03    9.92794E-01
2.01000E+01    7.34689E-03    9.92680E-01
2.02000E+01    7.46851E-03    9.92559E-01
2.03000E+01    7.59865E-03    9.92430E-01
2.04000E+01    7.73781E-03    9.92292E-01
2.05000E+01    7.88670E-03    9.92144E-01
2.06000E+01    8.04582E-03    9.91986E-01
2.07000E+01    8.21607E-03    9.91818E-01
2.08000E+01    8.39797E-03    9.91637E-01
2.09000E+01    8.59207E-03    9.91445E-01
2.10000E+01    8.79877E-03    9.91240E-01
2.11000E+01    9.01816E-03    9.91022E-01
2.12000E+01    9.24917E-03    9.90793E-01
2.13000E+01    9.49194E-03    9.90553E-01
2.14000E+01    9.74456E-03    9.90303E-01
2.15000E+01    1.00046E-02    9.90045E-01
2.16000E+01    1.02688E-02    9.89784E-01
2.17000E+01    1.05322E-02    9.89523E-01
2.18000E+01    1.07887E-02    9.89269E-01
2.19000E+01    1.10305E-02    9.89030E-01
2.20000E+01    1.12485E-02    9.88815E-01
2.21000E+01    1.14321E-02    9.88633E-01
2.22000E+01    1.15692E-02    9.88497E-01
2.23000E+01    1.16372E-02    9.88430E-01
2.24000E+01    1.16417E-02    9.88426E-01
2.25000E+01    1.15988E-02    9.88468E-01
2.26000E+01    1.15184E-02    9.88548E-01
2.27000E+01    1.14095E-02    9.88655E-01
2.28000E+01    1.12804E-02    9.88783E-01
2.29000E+01    1.11385E-02    9.88923E-01
2.30000E+01    1.09893E-02    9.89071E-01
2.31000E+01    1.08382E-02    9.89220E-01
2.32000E+01    1.06892E-02    9.89368E-01
2.33000E+01    1.05448E-02    9.89511E-01
2.34000E+01    1.04080E-02    9.89646E-01
2.35000E+01    1.02806E-02    9.89772E-01
2.36000E+01    1.01643E-02    9.89887E-01
2.37000E+01    1.00651E-02    9.89985E-01
2.38000E+01    1.00194E-02    9.90031E-01
2.39000E+01    9.95931E-03    9.90090E-01
2.40000E+01    9.78901E-03    9.90259E-01
2.41000E+01    9.69564E-03    9.90351E-01
2.42000E+01    9.62179E-03    9.90424E-01
2.43000E+01    9.55910E-03    9.90486E-01
2.44000E+01    9.50537E-03    9.90540E-01
2.45000E+01    9.45954E-03    9.90585E-01
2.46000E+01    9.42070E-03    9.90624E-01
2.47000E+01    9.38830E-03    9.90656E-01
2.48000E+01    9.36207E-03    9.90682E-01
2.49000E+01    9.34115E-03    9.90702E-01
2.50000E+01    9.32568E-03    9.90718E-01
2.51000E+01    9.31521E-03    9.90728E-01
2.52000E+01    9.31113E-03    9.90732E-01
2.53000E+01    9.30931E-03    9.90734E-01
2.54000E+01    9.31511E-03    9.90728E-01
2.55000E+01    9.34570E-03    9.90698E-01
2.56000E+01    9.37997E-03    9.90664E-01
2.57000E+01    9.39036E-03    9.90654E-01
2.58000E+01    9.35924E-03    9.90684E-01
2.59000E+01    9.36524E-03    9.90678E-01
2.60000E+01    9.38029E-03    9.90664E-01
2.61000E+01    9.39959E-03    9.90644E-01
2.62000E+01    9.42194E-03    9.90622E-01
2.63000E+01    9.44716E-03    9.90597E-01
2.64000E+01    9.47477E-03    9.90570E-01
2.65000E+01    9.50405E-03    9.90541E-01
2.66000E+01    9.53560E-03    9.90510E-01
2.67000E+01    9.56917E-03    9.90476E-01
2.68000E+01    9.60397E-03    9.90442E-01
2.69000E+01    9.64058E-03    9.90406E-01
2.70000E+01    9.67903E-03    9.90368E-01
2.71000E+01    9.71908E-03    9.90328E-01
2.72000E+01    9.76073E-03    9.90287E-01
2.73000E+01    9.80401E-03    9.90244E-01
2.74000E+01    9.85071E-03    9.90198E-01
2.75000E+01    9.89772E-03    9.90151E-01
2.76000E+01    9.94275E-03    9.90107E-01
2.77000E+01    9.98994E-03    9.90060E-01
2.78000E+01    1.00424E-02    9.90008E-01
2.79000E+01    1.00967E-02    9.89954E-01
2.80000E+01    1.01427E-02    9.89909E-01
2.81000E+01    1.01940E-02    9.89858E-01
2.82000E+01    1.02479E-02    9.89804E-01
2.83000E+01    1.03033E-02    9.89750E-01
2.84000E+01    1.03603E-02    9.89693E-01
2.85000E+01    1.04190E-02    9.89635E-01
2.86000E+01    1.04800E-02    9.89575E-01
2.87000E+01    1.05446E-02    9.89511E-01
2.88000E+01    1.06184E-02    9.89438E-01
2.89000E+01    1.07369E-02    9.89321E-01
2.90000E+01    1.08302E-02    9.89228E-01
2.91000E+01    1.08131E-02    9.89245E-01
2.92000E+01    1.08621E-02    9.89197E-01
2.93000E+01    1.09227E-02    9.89137E-01
2.94000E+01    1.09880E-02    9.89072E-01
2.95000E+01    1.10567E-02    9.89004E-01
2.96000E+01    1.11289E-02    9.88933E-01
2.97000E+01    1.12056E-02    9.88857E-01
2.98000E+01    1.12911E-02    9.88772E-01
2.99000E+01    1.14000E-02    9.88665E-01
3.00000E+01    1.16203E-02    9.88447E-01
3.01000E+01    1.17525E-02    9.88316E-01
3.02000E+01    1.18290E-02    9.88241E-01
3.03000E+01    1.17065E-02    9.88362E-01
3.04000E+01    1.17569E-02    9.88312E-01
3.05000E+01    1.18991E-02    9.88171E-01
3.06000E+01    1.19076E-02    9.88163E-01
3.07000E+01    1.19555E-02    9.88116E-01
3.08000E+01    1.20256E-02    9.88046E-01
3.09000E+01    1.21028E-02    9.87970E-01
3.10000E+01    1.21817E-02    9.87892E-01
3.11000E+01    1.22631E-02    9.87812E-01
3.12000E+01    1.23465E-02    9.87729E-01
3.13000E+01    1.24313E-02    9.87646E-01
3.14000E+01    1.25174E-02    9.87561E-01
3.15000E+01    1.26049E-02    9.87474E-01
3.16000E+01    1.26936E-02    9.87387E-01
3.17000E+01    1.27835E-02    9.87298E-01
3.18000E+01    1.28747E-02    9.87208E-01
3.19000E+01    1.29672E-02    9.87116E-01
3.20000E+01    1.30611E-02    9.87024E-01
3.21000E+01    1.31619E-02    9.86924E-01
3.22000E+01    1.32521E-02    9.86835E-01
3.23000E+01    1.33490E-02    9.86740E-01
3.24000E+01    1.34471E-02    9.86643E-01
3.25000E+01    1.35468E-02    9.86545E-01
3.26000E+01    1.36479E-02    9.86445E-01
3.27000E+01    1.37509E-02    9.86343E-01
3.28000E+01    1.38544E-02    9.86241E-01
3.29000E+01    1.39586E-02    9.86138E-01
3.30000E+01    1.40646E-02    9.86034E-01
3.31000E+01    1.41721E-02    9.85928E-01
3.32000E+01    1.42813E-02    9.85820E-01
3.33000E+01    1.43912E-02    9.85712E-01
3.34000E+01    1.45025E-02    9.85602E-01
3.35000E+01    1.46165E-02    9.85490E-01
3.36000E+01    1.47317E-02    9.85376E-01
3.37000E+01    1.48467E-02    9.85263E-01
3.38000E+01    1.49641E-02    9.85147E-01
3.39000E+01    1.50827E-02    9.85030E-01
