t            Tb_tes       
0.000000e+00 -7.841847e-02 
3.200000e-02 -7.863783e-02 
6.400000e-02 -8.137985e-02 
9.600000e-02 -7.287961e-02 
1.280000e-01 -9.218337e-02 
1.600000e-01 -7.918624e-02 
1.920000e-01 -7.946044e-02 
2.240000e-01 -9.223821e-02 
2.560000e-01 -7.819911e-02 
2.880000e-01 -8.587675e-02 
3.200000e-01 -8.116049e-02 
3.520000e-01 -8.357346e-02 
3.840000e-01 -7.507322e-02 
4.160000e-01 -7.967980e-02 
4.480000e-01 -8.395734e-02 
4.800000e-01 -8.445090e-02 
5.120000e-01 -8.587675e-02 
5.440000e-01 -8.434122e-02 
5.760000e-01 -8.335410e-02 
6.080000e-01 -8.083144e-02 
6.400000e-01 -8.472510e-02 
6.720000e-01 -8.719291e-02 
7.040000e-01 -7.611518e-02 
7.360000e-01 -7.551194e-02 
7.680000e-01 -7.962496e-02 
8.000000e-01 -8.198309e-02 
8.320000e-01 -8.527350e-02 
8.640000e-01 -8.110565e-02 
8.960000e-01 -8.137985e-02 
9.280000e-01 -8.044756e-02 
9.600000e-01 -7.935076e-02 
9.920000e-01 -7.452482e-02 
1.024000e+00 -8.022820e-02 
1.056000e+00 -8.165405e-02 
1.088000e+00 -8.132501e-02 
1.120000e+00 -8.966072e-02 
1.152000e+00 -7.710231e-02 
1.184000e+00 -7.989916e-02 
1.216000e+00 -8.110565e-02 
1.248000e+00 -8.686387e-02 
1.280000e+00 -7.331833e-02 
1.312000e+00 -8.137985e-02 
1.344000e+00 -7.408609e-02 
1.376000e+00 -7.611518e-02 
1.408000e+00 -8.384766e-02 
1.440000e+00 -7.989916e-02 
1.472000e+00 -8.499930e-02 
1.504000e+00 -8.839940e-02 
1.536000e+00 -8.225729e-02 
1.568000e+00 -8.412186e-02 
1.600000e+00 -7.644423e-02 
1.632000e+00 -8.658967e-02 
1.664000e+00 -8.209277e-02 
1.696000e+00 -8.357346e-02 
1.728000e+00 -8.379282e-02 
1.760000e+00 -7.688295e-02 
1.792000e+00 -8.000884e-02 
1.824000e+00 -8.763163e-02 
1.856000e+00 -8.390250e-02 
1.888000e+00 -8.220245e-02 
1.920000e+00 -7.918624e-02 
1.952000e+00 -8.181857e-02 
1.984000e+00 -8.313473e-02 
2.016000e+00 -7.704747e-02 
2.048000e+00 -8.121533e-02 
2.080000e+00 -7.863783e-02 
2.112000e+00 -8.055724e-02 
2.144000e+00 -7.463450e-02 
2.176000e+00 -7.457966e-02 
2.208000e+00 -7.770555e-02 
2.240000e+00 -8.187341e-02 
2.272000e+00 -7.967980e-02 
2.304000e+00 -7.918624e-02 
2.336000e+00 -8.066692e-02 
2.368000e+00 -7.589582e-02 
2.400000e+00 -8.006368e-02 
2.432000e+00 -7.951528e-02 
2.464000e+00 -8.302505e-02 
2.496000e+00 -8.154437e-02 
2.528000e+00 -8.351862e-02 
2.560000e+00 -7.644423e-02 
2.592000e+00 -8.033788e-02 
2.624000e+00 -7.896688e-02 
2.656000e+00 -7.584098e-02 
2.688000e+00 -7.797975e-02 
2.720000e+00 -8.642515e-02 
2.752000e+00 -7.403125e-02 
2.784000e+00 -8.017336e-02 
2.816000e+00 -7.984432e-02 
2.848000e+00 -8.050240e-02 
2.880000e+00 -7.479902e-02 
2.912000e+00 -8.159921e-02 
2.944000e+00 -8.461542e-02 
2.976000e+00 -7.518290e-02 
3.008000e+00 -8.050240e-02 
3.040000e+00 -7.348285e-02 
3.072000e+00 -7.715715e-02 
3.104000e+00 -7.381189e-02 
3.136000e+00 -7.540226e-02 
3.168000e+00 -7.013760e-02 
