gain          Noise00      tau00        Noise01      tau01        Noise02      tau02        Noise03      tau03        Noise04      tau04        Noise05      tau05        Noise06      tau06        Noise07      tau07        
4.000000e+00 1.301028e-10 1.586469e-03 1.859628e-10 2.792140e-03 1.048104e-10 1.025944e-03 1.354564e-10 1.315758e-03 9.355880e-11 1.558367e-03 9.344653e-11 1.486457e-03 9.224165e-11 1.335371e-03 1.061299e-10 1.738928e-03 
5.000000e+00 1.267556e-10 1.112144e-03 1.962549e-10 2.678160e-03 1.153790e-10 9.551512e-04 1.379516e-10 1.119705e-03 8.900706e-11 1.003561e-03 8.572760e-11 9.744672e-04 9.014562e-11 1.017516e-03 9.175873e-11 9.857463e-04 
6.000000e+00 1.250861e-10 9.164800e-04 1.698208e-10 1.566715e-03 1.147725e-10 8.672010e-04 1.264555e-10 8.018355e-04 9.499652e-11 1.016192e-03 8.833958e-11 9.086122e-04 8.486972e-11 8.207736e-04 8.675419e-11 7.409133e-04 
7.000000e+00 1.317676e-10 8.267967e-04 1.873652e-10 1.594406e-03 1.037080e-10 5.786626e-04 1.315858e-10 7.354475e-04 9.097334e-11 7.974623e-04 8.687736e-11 7.356779e-04 8.601174e-11 6.799179e-04 8.575342e-11 6.579965e-04 
8.000000e+00 1.294628e-10 7.460340e-04 1.751412e-10 1.243249e-03 1.094340e-10 5.730225e-04 1.313562e-10 6.416057e-04 9.265342e-11 7.585043e-04 8.772845e-11 6.385442e-04 8.008344e-11 5.425733e-04 8.235652e-11 5.194795e-04 
9.000000e+00 1.219624e-10 5.456963e-04 1.793291e-10 1.200918e-03 1.092094e-10 5.007364e-04 1.371020e-10 5.934955e-04 8.638454e-11 5.830170e-04 8.388797e-11 5.347767e-04 8.429772e-11 5.397630e-04 8.097918e-11 4.285608e-04 
1.000000e+01 1.234740e-10 4.936488e-04 1.776321e-10 9.916033e-04 1.115276e-10 4.632181e-04 1.258761e-10 4.664052e-04 8.748821e-11 5.088704e-04 8.402092e-11 4.629531e-04 7.962308e-11 4.179431e-04 8.321476e-11 4.282473e-04 
2.000000e+01 1.274855e-10 2.513073e-04 1.840830e-10 5.248420e-04 1.106160e-10 1.911908e-04 1.238383e-10 2.035736e-04 8.699173e-11 2.274810e-04 8.888343e-11 2.330229e-04 8.028682e-11 1.777613e-04 8.170971e-11 1.669530e-04 
3.000000e+01 1.230076e-10 1.410520e-04 1.694660e-10 3.075207e-04 1.077494e-10 1.083653e-04 1.263310e-10 1.253577e-04 8.861784e-11 1.366717e-04 8.867958e-11 1.322797e-04 8.286930e-11 1.075873e-04 8.135098e-11 9.312769e-05 
4.000000e+01 1.222184e-10 8.825079e-05 1.695878e-10 2.076014e-04 1.082674e-10 6.639033e-05 1.255157e-10 7.833151e-05 8.567446e-11 8.108751e-05 8.899543e-11 8.530808e-05 8.141755e-11 6.271137e-05 8.108978e-11 5.400229e-05 
5.000000e+01 1.221032e-10 5.930300e-05 1.679480e-10 1.590252e-04 1.051769e-10 3.786438e-05 1.236265e-10 4.901082e-05 8.465788e-11 5.090865e-05 8.768502e-11 5.421462e-05 8.279116e-11 3.947809e-05 7.999908e-11 2.883481e-05 
6.000000e+01 1.226851e-10 3.946144e-05 1.664017e-10 1.197115e-04 1.075682e-10 2.087635e-05 1.240632e-10 2.959823e-05 8.591189e-11 3.367461e-05 8.547818e-11 3.171515e-05 8.369561e-11 2.208888e-05 8.074691e-11 9.456591e-06 
7.000000e+01 1.247753e-10 2.490298e-05 1.668019e-10 9.617573e-05 1.104136e-10 5.073398e-10 1.235058e-10 1.433542e-05 8.634050e-11 1.831464e-05 8.796912e-11 1.880553e-05 8.410146e-11 2.376391e-10 8.544194e-11 1.397671e-09 
8.000000e+01 1.265498e-10 1.181684e-05 1.649082e-10 7.595868e-05 1.221149e-10 4.160771e-09 1.307402e-10 4.038998e-10 8.810214e-11 8.931229e-09 8.890961e-11 7.553127e-09 8.978003e-11 1.418633e-09 6.419953e-11 5.235472e-10 
9.000000e+01 1.330153e-10 2.694467e-09 1.660126e-10 6.126825e-05 9.281736e-11 8.792343e-10 1.401535e-10 1.047161e-09 9.525805e-11 5.898914e-10 9.551197e-11 1.633148e-10 7.641064e-11 6.355924e-10 6.801155e-11 3.765096e-09 
1.000000e+02 1.484057e-10 1.673343e-09 1.658334e-10 4.983890e-05 9.296031e-11 1.517899e-09 9.996963e-11 1.241608e-10 1.045164e-10 7.683645e-10 1.085758e-10 4.803276e-10 7.414312e-11 3.694320e-09 9.161334e-11 1.042355e-09 
