f_model      sPtot_hiG    sPtot_hiPopt 
7.162094e+02 1.943931e-16 1.932953e-16 
7.500648e+02 1.901351e-16 1.891341e-16 
7.853508e+02 1.860424e-16 1.851309e-16 
8.223057e+02 1.820793e-16 1.812510e-16 
8.611679e+02 1.782173e-16 1.774662e-16 
9.016991e+02 1.744761e-16 1.737963e-16 
9.441376e+02 1.708295e-16 1.702153e-16 
9.887218e+02 1.672564e-16 1.667028e-16 
1.035213e+03 1.637752e-16 1.632769e-16 
1.084089e+03 1.603507e-16 1.599034e-16 
1.135111e+03 1.570020e-16 1.566011e-16 
1.188517e+03 1.537153e-16 1.533567e-16 
1.244545e+03 1.504807e-16 1.501607e-16 
1.303196e+03 1.473040e-16 1.470189e-16 
1.364708e+03 1.441787e-16 1.439254e-16 
1.428843e+03 1.411233e-16 1.408985e-16 
1.496315e+03 1.381115e-16 1.379125e-16 
1.566887e+03 1.351633e-16 1.349876e-16 
1.640558e+03 1.322863e-16 1.321313e-16 
1.718044e+03 1.294619e-16 1.293256e-16 
1.798868e+03 1.267169e-16 1.265972e-16 
1.883745e+03 1.240358e-16 1.239310e-16 
1.972437e+03 1.214355e-16 1.213438e-16 
2.065420e+03 1.189104e-16 1.188303e-16 
2.162695e+03 1.164690e-16 1.163993e-16 
2.264738e+03 1.141076e-16 1.140470e-16 
2.371311e+03 1.118387e-16 1.117861e-16 
2.483130e+03 1.096539e-16 1.096083e-16 
2.600193e+03 1.075596e-16 1.075202e-16 
2.722740e+03 1.055570e-16 1.055230e-16 
2.851009e+03 1.036467e-16 1.036175e-16 
2.985239e+03 1.018291e-16 1.018039e-16 
3.125906e+03 1.001010e-16 1.000794e-16 
3.273249e+03 9.846257e-17 9.844408e-17 
3.427505e+03 9.691337e-17 9.689756e-17 
3.589153e+03 9.545026e-17 9.543676e-17 
3.758192e+03 9.407412e-17 9.406260e-17 
3.935337e+03 9.277952e-17 9.276972e-17 
4.120827e+03 9.156498e-17 9.155664e-17 
4.315138e+03 9.042714e-17 9.042007e-17 
4.518509e+03 8.936396e-17 8.935796e-17 
4.731417e+03 8.837189e-17 8.836681e-17 
4.954338e+03 8.744749e-17 8.744320e-17 
5.187750e+03 8.658741e-17 8.658378e-17 
5.432367e+03 8.578761e-17 8.578455e-17 
5.688429e+03 8.504576e-17 8.504318e-17 
5.956411e+03 8.435863e-17 8.435646e-17 
6.237030e+03 8.372256e-17 8.372073e-17 
6.531000e+03 8.313419e-17 8.313265e-17 
6.838799e+03 8.259079e-17 8.258950e-17 
7.161140e+03 8.208933e-17 8.208824e-17 
7.498741e+03 8.162694e-17 8.162603e-17 
