fs           Pxxs         Pxxnos       
3.170967e+01 1.001646e-18 8.226348e-19 
3.194809e+01 1.050940e-18 8.561266e-19 
3.218651e+01 1.152042e-18 8.369334e-19 
3.242493e+01 9.712808e-19 8.958160e-19 
3.266335e+01 6.983555e-19 7.642433e-19 
3.290176e+01 9.288040e-19 7.339610e-19 
3.314018e+01 8.431167e-19 7.572254e-19 
3.337860e+01 8.332060e-19 6.162907e-19 
3.361702e+01 9.491341e-19 8.220063e-19 
3.385544e+01 8.918471e-19 9.128940e-19 
3.409386e+01 9.787089e-19 9.918258e-19 
3.433228e+01 9.088200e-19 9.424189e-19 
3.457069e+01 8.349934e-19 9.424798e-19 
3.480911e+01 7.775428e-19 9.069861e-19 
3.504753e+01 7.138214e-19 8.431219e-19 
3.528595e+01 1.083784e-18 8.083011e-19 
3.552437e+01 9.920522e-19 8.610654e-19 
3.576279e+01 8.510296e-19 8.778453e-19 
3.600121e+01 7.636968e-19 1.026090e-18 
3.623962e+01 7.533137e-19 6.565430e-19 
3.647804e+01 8.741829e-19 6.928938e-19 
3.671646e+01 7.328879e-19 7.650605e-19 
3.695488e+01 6.737214e-19 7.130383e-19 
3.719330e+01 6.893253e-19 6.736498e-19 
3.743172e+01 6.028431e-19 6.794970e-19 
3.767014e+01 6.435498e-19 1.168354e-18 
3.790855e+01 7.622498e-19 1.084374e-18 
3.814697e+01 7.187818e-19 9.566981e-19 
3.838539e+01 8.876611e-19 8.977248e-19 
3.862381e+01 7.627977e-19 6.587002e-19 
3.886223e+01 6.745907e-19 8.892756e-19 
3.910065e+01 7.517889e-19 7.462042e-19 
3.933907e+01 7.896346e-19 8.077198e-19 
3.957748e+01 8.648046e-19 7.337042e-19 
3.981590e+01 9.498834e-19 7.058606e-19 
4.005432e+01 8.198774e-19 6.495032e-19 
4.029274e+01 6.444868e-19 7.653215e-19 
4.053116e+01 7.690381e-19 6.568745e-19 
4.076958e+01 8.435369e-19 7.858143e-19 
4.100800e+01 8.667866e-19 7.439878e-19 
4.124641e+01 7.105218e-19 6.871658e-19 
4.148483e+01 8.332435e-19 7.966022e-19 
4.172325e+01 9.266871e-19 7.956002e-19 
4.196167e+01 7.311649e-19 6.626562e-19 
4.220009e+01 5.926528e-19 5.855818e-19 
4.243851e+01 6.920245e-19 5.729657e-19 
4.267693e+01 6.808705e-19 5.429586e-19 
4.291534e+01 6.368323e-19 5.425230e-19 
4.315376e+01 6.609097e-19 6.145747e-19 
4.339218e+01 7.441277e-19 6.367231e-19 
4.363060e+01 5.772754e-19 6.365598e-19 
4.386902e+01 6.130959e-19 6.280158e-19 
4.410744e+01 7.055341e-19 6.100123e-19 
4.434586e+01 8.671915e-19 6.609515e-19 
4.458427e+01 8.493297e-19 8.231144e-19 
4.482269e+01 5.965858e-19 6.484032e-19 
4.506111e+01 5.598089e-19 6.712658e-19 
4.529953e+01 5.776470e-19 7.961128e-19 
4.553795e+01 7.668696e-19 7.525893e-19 
4.577637e+01 7.260572e-19 7.643335e-19 
4.601479e+01 6.959801e-19 7.938877e-19 
4.625320e+01 5.520731e-19 6.942803e-19 
4.649162e+01 6.534987e-19 6.524139e-19 
4.673004e+01 7.642026e-19 5.986458e-19 
4.696846e+01 1.019459e-18 5.192130e-19 
4.720688e+01 8.562932e-19 5.653306e-19 
4.744530e+01 5.883177e-19 6.319620e-19 
4.768372e+01 6.257305e-19 6.893847e-19 
4.792213e+01 9.106094e-19 7.787520e-19 
4.816055e+01 7.849464e-19 7.558549e-19 
4.839897e+01 6.094915e-19 7.130490e-19 
4.863739e+01 5.149734e-19 5.817854e-19 
4.887581e+01 5.031226e-19 6.023944e-19 
4.911423e+01 5.839632e-19 5.492485e-19 
4.935265e+01 6.450447e-19 4.520003e-19 
4.959106e+01 4.863707e-19 7.105241e-19 
4.982948e+01 6.321693e-19 6.994961e-19 
5.006790e+01 8.116309e-19 6.725098e-19 
5.030632e+01 6.801403e-19 6.423455e-19 
5.054474e+01 6.971014e-19 6.882473e-19 
5.078316e+01 7.036506e-19 6.625199e-19 
5.102158e+01 6.824161e-19 6.188339e-19 
5.125999e+01 5.870976e-19 6.479869e-19 
5.149841e+01 5.858246e-19 5.752503e-19 
5.173683e+01 5.382448e-19 5.830868e-19 
