f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
2.384186e-01 9.607240e-17 2.456597e-16 2.078321e-16 2.307243e-16 5.216569e-16 4.765894e-16 3.444886e-16 3.438592e-16 5.892326e-28 1.329157e-27 9.475678e-28 1.003765e-27 1.933193e-27 1.499342e-27 9.828743e-28 8.968163e-28 
4.768372e-01 7.041686e-18 9.005927e-18 1.246789e-17 1.947004e-17 2.039429e-17 1.761609e-17 1.524994e-17 1.503605e-17 4.318817e-29 4.872713e-29 5.684478e-29 8.470433e-29 7.557861e-29 5.541991e-29 4.351023e-29 3.921539e-29 
7.152557e-01 3.184687e-18 3.289092e-18 2.709500e-18 5.268398e-18 4.750223e-18 2.309100e-18 3.799674e-18 3.397192e-18 1.953237e-29 1.779584e-29 1.235341e-29 2.292015e-29 1.760371e-29 7.264388e-30 1.084100e-29 8.860187e-30 
9.536743e-01 1.733654e-18 2.011862e-18 2.259217e-18 2.979155e-18 2.575077e-18 1.338701e-18 2.708578e-18 2.511875e-18 1.063287e-29 1.088531e-29 1.030044e-29 1.296080e-29 9.542901e-30 4.211530e-30 7.727953e-30 6.551200e-30 
1.192093e+00 1.268512e-18 2.302411e-18 2.368805e-18 2.946134e-18 2.753946e-18 1.712004e-18 1.920671e-18 2.491428e-18 7.780055e-30 1.245734e-29 1.080008e-29 1.281714e-29 1.020577e-29 5.385934e-30 5.479944e-30 6.497872e-30 
1.430511e+00 9.944288e-19 2.699987e-18 2.093418e-18 2.857517e-18 3.272642e-18 2.300818e-18 2.376997e-18 2.910579e-18 6.099045e-30 1.460845e-29 9.544507e-30 1.243162e-29 1.212799e-29 7.238334e-30 6.781907e-30 7.591055e-30 
1.668930e+00 8.600307e-19 1.896678e-18 1.928859e-18 1.739845e-18 3.071440e-18 1.470466e-18 1.746679e-18 2.408755e-18 5.274753e-30 1.026210e-29 8.794239e-30 7.569189e-30 1.138236e-29 4.626059e-30 4.983520e-30 6.282253e-30 
1.907349e+00 9.047643e-19 1.557722e-18 2.732648e-18 1.339640e-18 2.047098e-18 9.453251e-19 1.522703e-18 1.794209e-18 5.549113e-30 8.428152e-30 1.245895e-29 5.828097e-30 7.586278e-30 2.973976e-30 4.344486e-30 4.679461e-30 
2.145767e+00 7.670118e-19 1.427999e-18 1.834354e-18 1.269440e-18 1.825666e-18 8.583029e-19 2.023864e-18 1.579292e-18 4.704248e-30 7.726278e-30 8.363360e-30 5.522695e-30 6.765683e-30 2.700205e-30 5.774369e-30 4.118937e-30 
2.384186e+00 7.628230e-19 1.433064e-18 2.048315e-18 1.406512e-18 2.000856e-18 1.214730e-18 2.320691e-18 1.448508e-18 4.678557e-30 7.753684e-30 9.338872e-30 6.119024e-30 7.414914e-30 3.821517e-30 6.621257e-30 3.777841e-30 
2.622604e+00 6.713478e-19 1.246156e-18 2.320927e-18 1.122932e-18 2.116698e-18 9.743023e-19 1.763966e-18 1.704735e-18 4.117520e-30 6.742405e-30 1.058179e-29 4.885311e-30 7.844210e-30 3.065137e-30 5.032843e-30 4.446105e-30 
2.861023e+00 4.935110e-19 1.156653e-18 1.827279e-18 1.208045e-18 1.690485e-18 1.148298e-18 1.393076e-18 1.546502e-18 3.026809e-30 6.258144e-30 8.331105e-30 5.255595e-30 6.264718e-30 3.612525e-30 3.974643e-30 4.033418e-30 
3.099442e+00 7.292672e-19 1.082331e-18 9.110410e-19 1.486987e-18 1.774325e-18 1.150287e-18 1.278069e-18 1.471343e-18 4.472752e-30 5.856022e-30 4.153704e-30 6.469129e-30 6.575419e-30 3.618782e-30 3.646510e-30 3.837398e-30 
3.337860e+00 7.755403e-19 1.037267e-18 1.034318e-18 1.119970e-18 1.390578e-18 1.122710e-18 1.350080e-18 1.444307e-18 4.756555e-30 5.612199e-30 4.715759e-30 4.872424e-30 5.153303e-30 3.532026e-30 3.851969e-30 3.766884e-30 
3.576279e+00 5.873854e-19 9.381676e-19 1.002622e-18 1.008074e-18 1.693390e-18 9.157134e-19 1.346819e-18 1.571008e-18 3.602560e-30 5.076015e-30 4.571247e-30 4.385622e-30 6.275483e-30 2.880818e-30 3.842665e-30 4.097332e-30 
3.814697e+00 7.810715e-19 1.106439e-18 9.356460e-19 1.117731e-18 1.805808e-18 1.014886e-18 1.403570e-18 1.744512e-18 4.790479e-30 5.986459e-30 4.265886e-30 4.862684e-30 6.692090e-30 3.192812e-30 4.004582e-30 4.549847e-30 
4.053116e+00 6.819414e-19 1.081847e-18 1.188276e-18 1.309459e-18 1.810799e-18 1.035374e-18 1.431948e-18 1.580723e-18 4.182493e-30 5.853400e-30 5.417702e-30 5.696795e-30 6.710587e-30 3.257267e-30 4.085550e-30 4.122671e-30 
4.291534e+00 6.077733e-19 1.026700e-18 1.579702e-18 1.238779e-18 1.349600e-18 9.595575e-19 1.381095e-18 1.427008e-18 3.727604e-30 5.555025e-30 7.202329e-30 5.389303e-30 5.001442e-30 3.018751e-30 3.940458e-30 3.721768e-30 
4.529953e+00 5.413415e-19 9.561995e-19 1.666714e-18 1.076085e-18 1.958304e-18 1.111554e-18 1.470385e-18 1.508913e-18 3.320163e-30 5.173577e-30 7.599039e-30 4.681504e-30 7.257220e-30 3.496928e-30 4.195214e-30 3.935384e-30 
