Loop         R0           prn          alpha        beta         Lcrit        teff         
4.026325e-03 3.333914e-03 1.000000e+00 5.929591e-02 0.000000e+00 3.635650e+01 1.156036e+01 
5.342728e-03 3.325130e-03 9.973652e-01 1.226380e-01 0.000000e+00 3.552734e+01 1.154748e+01 
8.991118e-03 3.307775e-03 9.921596e-01 3.651102e-01 0.000000e+00 3.376404e+01 1.151196e+01 
1.880687e-02 3.295690e-03 9.885350e-01 1.095974e+00 0.000000e+00 3.081164e+01 1.141746e+01 
9.622980e-01 2.784381e-03 8.351690e-01 7.489317e+01 2.008170e-01 8.265519e+00 6.942177e+00 
1.229453e+00 2.704401e-03 8.111791e-01 1.032045e+02 2.523227e-01 7.250625e+00 6.373081e+00 
1.951418e+00 2.178047e-03 6.533002e-01 1.497333e+02 6.582822e-01 6.261884e+00 5.914022e+00 
2.943946e+00 2.141786e-03 6.424240e-01 2.494300e+02 7.488694e-01 4.878171e+00 4.883287e+00 
3.265729e+00 2.036695e-03 6.109020e-01 2.985076e+02 8.220439e-01 4.550153e+00 4.729201e+00 
4.818410e+00 1.540819e-03 4.621653e-01 4.494199e+02 1.679822e+00 4.325399e+00 4.841035e+00 
7.961316e+00 1.128291e-03 3.384284e-01 7.759842e+02 4.014612e+00 4.743941e+00 5.377060e+00 
1.538558e+01 7.619955e-04 2.285589e-01 1.583455e+03 9.212736e+00 4.434109e+00 5.960418e+00 
3.242012e+01 3.574896e-04 1.072282e-01 3.181277e+03 3.170690e+01 4.180503e+00 9.314994e+00 
