fwhm_over    teffb        teff6        teff10       teff20       
1.098010e+00 5.137548e-03 3.270665e-03 1.962399e-03 9.811994e-04 
1.157180e+00 5.391691e-03 3.432457e-03 2.059474e-03 1.029737e-03 
1.219310e+00 5.658406e-03 3.602253e-03 2.161352e-03 1.080676e-03 
1.284520e+00 5.938314e-03 3.780448e-03 2.268269e-03 1.134135e-03 
1.352970e+00 6.232070e-03 3.967459e-03 2.380475e-03 1.190238e-03 
1.424780e+00 6.540356e-03 4.163720e-03 2.498232e-03 1.249116e-03 
1.500130e+00 6.863893e-03 4.369690e-03 2.621814e-03 1.310907e-03 
1.579180e+00 7.203434e-03 4.585849e-03 2.751509e-03 1.375755e-03 
1.662080e+00 7.559772e-03 4.812700e-03 2.887620e-03 1.443810e-03 
1.749030e+00 7.933737e-03 5.050774e-03 3.030464e-03 1.515232e-03 
1.840210e+00 8.326201e-03 5.300624e-03 3.180375e-03 1.590187e-03 
1.935820e+00 8.738079e-03 5.562834e-03 3.337700e-03 1.668850e-03 
2.036070e+00 9.170333e-03 5.838015e-03 3.502809e-03 1.751405e-03 
2.141190e+00 9.623968e-03 6.126809e-03 3.676085e-03 1.838043e-03 
2.251380e+00 1.010004e-02 6.429888e-03 3.857933e-03 1.928966e-03 
2.366910e+00 1.059967e-02 6.747960e-03 4.048776e-03 2.024388e-03 
2.488030e+00 1.112401e-02 7.081767e-03 4.249060e-03 2.124530e-03 
2.615000e+00 1.167429e-02 7.432086e-03 4.459251e-03 2.229626e-03 
2.748100e+00 1.225179e-02 7.799734e-03 4.679841e-03 2.339920e-03 
2.887630e+00 1.285786e-02 8.185570e-03 4.911342e-03 2.455671e-03 
3.033920e+00 1.349391e-02 8.590492e-03 5.154295e-03 2.577147e-03 
3.187260e+00 1.416143e-02 9.015444e-03 5.409266e-03 2.704633e-03 
3.348020e+00 1.486196e-02 9.461418e-03 5.676851e-03 2.838425e-03 
3.516540e+00 1.559715e-02 9.929453e-03 5.957672e-03 2.978836e-03 
