Popt         G            n            Tc           Gerr         nerr         Tcerr
0.000000e+00 7.015486e+00 3.451816e+00 1.190411e+03 1.392576e-01 2.239723e-01 9.612030e-01
1.000000e+01 7.036070e+00 3.451816e+00 1.191835e+03 1.411198e-01 2.239723e-01 9.881054e-01
2.000000e+01 7.056630e+00 3.451816e+00 1.193254e+03 1.429812e-01 2.239724e-01 1.015274e+00
3.000000e+01 7.077165e+00 3.451816e+00 1.194669e+03 1.448417e-01 2.239724e-01 1.042702e+00
4.000000e+01 7.097676e+00 3.451816e+00 1.196080e+03 1.467012e-01 2.239724e-01 1.070384e+00
5.000000e+01 7.118163e+00 3.451816e+00 1.197487e+03 1.485598e-01 2.239724e-01 1.098314e+00
6.000000e+01 7.138625e+00 3.451816e+00 1.198889e+03 1.504175e-01 2.239724e-01 1.126487e+00
7.000000e+01 7.159064e+00 3.451816e+00 1.200288e+03 1.522741e-01 2.239724e-01 1.154897e+00
8.000000e+01 7.179479e+00 3.451816e+00 1.201683e+03 1.541298e-01 2.239724e-01 1.183540e+00
9.000000e+01 7.199870e+00 3.451816e+00 1.203074e+03 1.559845e-01 2.239724e-01 1.212410e+00
1.000000e+02 7.220238e+00 3.451816e+00 1.204461e+03 1.578381e-01 2.239724e-01 1.241503e+00
1.100000e+02 7.240583e+00 3.451816e+00 1.205844e+03 1.596907e-01 2.239724e-01 1.270815e+00
1.200000e+02 7.260904e+00 3.451816e+00 1.207223e+03 1.615423e-01 2.239724e-01 1.300341e+00
1.300000e+02 7.281202e+00 3.451816e+00 1.208599e+03 1.633928e-01 2.239724e-01 1.330077e+00
1.400000e+02 7.301477e+00 3.451816e+00 1.209970e+03 1.652422e-01 2.239724e-01 1.360019e+00
1.500000e+02 7.321729e+00 3.451816e+00 1.211338e+03 1.670906e-01 2.239724e-01 1.390163e+00
1.600000e+02 7.341958e+00 3.451816e+00 1.212702e+03 1.689378e-01 2.239724e-01 1.420507e+00
1.700000e+02 7.362164e+00 3.451816e+00 1.214062e+03 1.707840e-01 2.239725e-01 1.451045e+00
1.800000e+02 7.382348e+00 3.451816e+00 1.215418e+03 1.726291e-01 2.239725e-01 1.481775e+00
1.900000e+02 7.402510e+00 3.451816e+00 1.216771e+03 1.744731e-01 2.239725e-01 1.512693e+00
2.000000e+02 7.422649e+00 3.451816e+00 1.218120e+03 1.763160e-01 2.239725e-01 1.543796e+00
2.100000e+02 7.442765e+00 3.451816e+00 1.219465e+03 1.781578e-01 2.239725e-01 1.575080e+00
2.200000e+02 7.462860e+00 3.451816e+00 1.220807e+03 1.799985e-01 2.239725e-01 1.606536e+00
2.300000e+02 7.482933e+00 3.451816e+00 1.222145e+03 1.818381e-01 2.239725e-01 1.638174e+00
2.400000e+02 7.502983e+00 3.451816e+00 1.223480e+03 1.836765e-01 2.239725e-01 1.669984e+00
2.500000e+02 7.523012e+00 3.451816e+00 1.224811e+03 1.855138e-01 2.239725e-01 1.701964e+00
2.600000e+02 7.543019e+00 3.451816e+00 1.226138e+03 1.873500e-01 2.239725e-01 1.734111e+00
2.700000e+02 7.563005e+00 3.451816e+00 1.227462e+03 1.891850e-01 2.239725e-01 1.766421e+00
2.800000e+02 7.582968e+00 3.451816e+00 1.228783e+03 1.910190e-01 2.239725e-01 1.798894e+00
2.900000e+02 7.602911e+00 3.451816e+00 1.230100e+03 1.928518e-01 2.239725e-01 1.831525e+00
3.000000e+02 7.622832e+00 3.451816e+00 1.231414e+03 1.946834e-01 2.239725e-01 1.864313e+00
