f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
2.384186e-01 9.801653e-09 1.567354e-08 1.441638e-08 1.518961e-08 2.283981e-08 2.183093e-08 1.856040e-08 1.854344e-08 2.429347e-14 3.648385e-14 3.080907e-14 3.170876e-14 4.401405e-14 3.867520e-14 3.138426e-14 2.998318e-14 
4.768372e-01 2.653618e-09 3.000988e-09 3.530990e-09 4.412487e-09 4.516004e-09 4.197153e-09 3.905118e-09 3.877634e-09 6.577010e-15 6.985507e-15 7.546033e-15 9.211195e-15 8.702684e-15 7.435586e-15 6.603263e-15 6.269807e-15 
7.152557e-01 1.784569e-09 1.813585e-09 1.646056e-09 2.295299e-09 2.179501e-09 1.519572e-09 1.949275e-09 1.843147e-09 4.423067e-15 4.221548e-15 3.517765e-15 4.791504e-15 4.200063e-15 2.692042e-15 3.296079e-15 2.980213e-15 
9.536743e-01 1.316683e-09 1.418401e-09 1.503069e-09 1.726023e-09 1.604705e-09 1.157023e-09 1.645776e-09 1.584890e-09 3.263408e-15 3.301664e-15 3.212190e-15 3.603123e-15 3.092388e-15 2.049756e-15 2.782884e-15 2.562633e-15 
1.192093e+00 1.126282e-09 1.517370e-09 1.539092e-09 1.716431e-09 1.659502e-09 1.308436e-09 1.385883e-09 1.578426e-09 2.791499e-15 3.532036e-15 3.289174e-15 3.583099e-15 3.197986e-15 2.317997e-15 2.343424e-15 2.552181e-15 
1.430511e+00 9.972105e-10 1.643164e-09 1.446865e-09 1.690419e-09 1.809044e-09 1.516845e-09 1.541751e-09 1.706042e-09 2.471593e-15 3.824851e-15 3.092076e-15 3.528800e-15 3.486166e-15 2.687210e-15 2.606987e-15 2.758526e-15 
1.668930e+00 9.273784e-10 1.377199e-09 1.388834e-09 1.319032e-09 1.752553e-09 1.212628e-09 1.321620e-09 1.552016e-09 2.298514e-15 3.205756e-15 2.968059e-15 2.753518e-15 3.377302e-15 2.148265e-15 2.234760e-15 2.509479e-15 
1.907349e+00 9.511910e-10 1.248087e-09 1.653072e-09 1.157428e-09 1.430768e-09 9.722783e-10 1.233979e-09 1.339481e-09 2.357534e-15 2.905218e-15 3.532760e-15 2.416165e-15 2.757199e-15 1.722467e-15 2.086566e-15 2.165827e-15 
2.145767e+00 8.757921e-10 1.194989e-09 1.354383e-09 1.126694e-09 1.351172e-09 9.264464e-10 1.422626e-09 1.256699e-09 2.170657e-15 2.781619e-15 2.894435e-15 2.352008e-15 2.603812e-15 1.641273e-15 2.405554e-15 2.031976e-15 
2.384186e+00 8.733974e-10 1.197107e-09 1.431194e-09 1.185965e-09 1.414516e-09 1.102148e-09 1.523381e-09 1.203540e-09 2.164722e-15 2.786548e-15 3.058585e-15 2.475736e-15 2.725880e-15 1.952541e-15 2.575924e-15 1.946022e-15 
2.622604e+00 8.193581e-10 1.116313e-09 1.523459e-09 1.059685e-09 1.454888e-09 9.870675e-10 1.328144e-09 1.305655e-09 2.030785e-15 2.598483e-15 3.255764e-15 2.212123e-15 2.803679e-15 1.748668e-15 2.245792e-15 2.111134e-15 
2.861023e+00 7.025034e-10 1.075478e-09 1.351769e-09 1.099111e-09 1.300187e-09 1.071587e-09 1.180287e-09 1.243584e-09 1.741160e-15 2.503429e-15 2.888848e-15 2.294427e-15 2.505558e-15 1.898400e-15 1.995777e-15 2.010771e-15 
