f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
5.722046e+00 4.515008e-10 4.893647e-10 5.436036e-10 5.776136e-10 6.342017e-10 7.122031e-10 7.222966e-10 7.978653e-10 1.115799e-15 1.115022e-15 1.114070e-15 1.113202e-15 1.113315e-15 1.114424e-15 1.113449e-15 1.114164e-15 
5.960464e+00 4.511189e-10 4.889998e-10 5.432657e-10 5.772722e-10 6.338874e-10 7.119653e-10 7.220059e-10 7.976219e-10 1.114855e-15 1.114191e-15 1.113377e-15 1.112544e-15 1.112763e-15 1.114052e-15 1.113001e-15 1.113824e-15 
6.437302e+00 4.503118e-10 4.882282e-10 5.425506e-10 5.765496e-10 6.332221e-10 7.114615e-10 7.213902e-10 7.971060e-10 1.112861e-15 1.112433e-15 1.111912e-15 1.111152e-15 1.111595e-15 1.113264e-15 1.112052e-15 1.113103e-15 
6.675720e+00 4.498869e-10 4.878217e-10 5.421737e-10 5.761687e-10 6.328711e-10 7.111956e-10 7.210652e-10 7.968336e-10 1.111811e-15 1.111507e-15 1.111139e-15 1.110417e-15 1.110979e-15 1.112847e-15 1.111551e-15 1.112723e-15 
6.914139e+00 4.494479e-10 4.874016e-10 5.417839e-10 5.757747e-10 6.325080e-10 7.109203e-10 7.207288e-10 7.965515e-10 1.110726e-15 1.110550e-15 1.110341e-15 1.109658e-15 1.110341e-15 1.112417e-15 1.111033e-15 1.112329e-15 
7.152557e+00 4.489949e-10 4.869680e-10 5.413814e-10 5.753677e-10 6.321328e-10 7.106356e-10 7.203812e-10 7.962599e-10 1.109606e-15 1.109562e-15 1.109516e-15 1.108874e-15 1.109683e-15 1.111971e-15 1.110497e-15 1.111922e-15 
7.629395e+00 4.480478e-10 4.860607e-10 5.405386e-10 5.745154e-10 6.313465e-10 7.100385e-10 7.196523e-10 7.956481e-10 1.107266e-15 1.107494e-15 1.107788e-15 1.107231e-15 1.108302e-15 1.111037e-15 1.109373e-15 1.111068e-15 
7.867813e+00 4.475539e-10 4.855873e-10 5.400984e-10 5.740702e-10 6.309355e-10 7.097262e-10 7.192711e-10 7.953280e-10 1.106045e-15 1.106416e-15 1.106886e-15 1.106373e-15 1.107581e-15 1.110548e-15 1.108785e-15 1.110621e-15 
8.344650e+00 4.465263e-10 4.846016e-10 5.391811e-10 5.731421e-10 6.300783e-10 7.090740e-10 7.184755e-10 7.946594e-10 1.103506e-15 1.104170e-15 1.105006e-15 1.104585e-15 1.106076e-15 1.109528e-15 1.107559e-15 1.109687e-15 
8.821487e+00 4.454466e-10 4.835649e-10 5.382152e-10 5.721645e-10 6.291745e-10 7.083854e-10 7.176360e-10 7.939534e-10 1.100837e-15 1.101808e-15 1.103027e-15 1.102700e-15 1.104490e-15 1.108450e-15 1.106265e-15 1.108701e-15 
9.059906e+00 4.448876e-10 4.830278e-10 5.377143e-10 5.716574e-10 6.287054e-10 7.080276e-10 7.172000e-10 7.935865e-10 1.099456e-15 1.100584e-15 1.102000e-15 1.101723e-15 1.103666e-15 1.107890e-15 1.105593e-15 1.108189e-15 
9.536743e+00 4.437322e-10 4.819167e-10 5.366771e-10 5.706071e-10 6.277331e-10 7.072851e-10 7.162956e-10 7.928248e-10 1.096601e-15 1.098052e-15 1.099875e-15 1.099699e-15 1.101959e-15 1.106729e-15 1.104199e-15 1.107125e-15 
1.001358e+01 4.425281e-10 4.807575e-10 5.355936e-10 5.695095e-10 6.267160e-10 7.065072e-10 7.153486e-10 7.920265e-10 1.093625e-15 1.095411e-15 1.097654e-15 1.097584e-15 1.100174e-15 1.105511e-15 1.102739e-15 1.106010e-15 
1.049042e+01 4.412766e-10 4.795515e-10 5.344646e-10 5.683653e-10 6.256547e-10 7.056941e-10 7.143595e-10 7.911919e-10 1.090532e-15 1.092663e-15 1.095340e-15 1.095379e-15 1.098311e-15 1.104239e-15 1.101214e-15 1.104845e-15 
1.096725e+01 4.399793e-10 4.782997e-10 5.332911e-10 5.671756e-10 6.245499e-10 7.048462e-10 7.133289e-10 7.903213e-10 1.087326e-15 1.089811e-15 1.092935e-15 1.093086e-15 1.096371e-15 1.102912e-15 1.099625e-15 1.103629e-15 
1.144409e+01 4.386375e-10 4.770036e-10 5.320742e-10 5.659413e-10 6.234024e-10 7.039641e-10 7.122573e-10 7.894151e-10 1.084010e-15 1.086857e-15 1.090441e-15 1.090707e-15 1.094357e-15 1.101532e-15 1.097973e-15 1.102364e-15 
1.192093e+01 4.372528e-10 4.756643e-10 5.308148e-10 5.646633e-10 6.222131e-10 7.030480e-10 7.111453e-10 7.884738e-10 1.080588e-15 1.083806e-15 1.087860e-15 1.088244e-15 1.092269e-15 1.100099e-15 1.096259e-15 1.101049e-15 
1.263618e+01 4.350986e-10 4.735774e-10 5.288485e-10 5.626668e-10 6.203522e-10 7.016112e-10 7.094030e-10 7.869966e-10 1.075264e-15 1.079051e-15 1.083830e-15 1.084396e-15 1.089002e-15 1.097850e-15 1.093573e-15 1.098986e-15 
1.311302e+01 4.336132e-10 4.721361e-10 5.274876e-10 5.612841e-10 6.190615e-10 7.006122e-10 7.081928e-10 7.859690e-10 1.071593e-15 1.075767e-15 1.081041e-15 1.081731e-15 1.086737e-15 1.096287e-15 1.091708e-15 1.097551e-15 
1.382828e+01 4.313152e-10 4.699025e-10 5.253740e-10 5.591355e-10 6.170525e-10 6.990531e-10 7.063061e-10 7.843644e-10 1.065914e-15 1.070678e-15 1.076710e-15 1.077590e-15 1.083210e-15 1.093847e-15 1.088799e-15 1.095311e-15 
1.430511e+01 4.297388e-10 4.683676e-10 5.239184e-10 5.576547e-10 6.156658e-10 6.979740e-10 7.050017e-10 7.832532e-10 1.062018e-15 1.067180e-15 1.073727e-15 1.074737e-15 1.080776e-15 1.092159e-15 1.086789e-15 1.093759e-15 
1.502037e+01 4.273115e-10 4.660000e-10 5.216679e-10 5.553639e-10 6.135167e-10 6.962970e-10 7.029769e-10 7.815253e-10 1.056020e-15 1.061786e-15 1.069114e-15 1.070322e-15 1.077003e-15 1.089535e-15 1.083667e-15 1.091346e-15 
1.573563e+01 4.248137e-10 4.635582e-10 5.193404e-10 5.529926e-10 6.112876e-10 6.945515e-10 7.008723e-10 7.797256e-10 1.049847e-15 1.056222e-15 1.064344e-15 1.065752e-15 1.073090e-15 1.086804e-15 1.080423e-15 1.088833e-15 
1.645088e+01 4.222505e-10 4.610469e-10 5.169396e-10 5.505447e-10 6.089814e-10 6.927391e-10 6.986904e-10 7.778556e-10 1.043512e-15 1.050500e-15 1.059424e-15 1.061034e-15 1.069041e-15 1.083968e-15 1.077060e-15 1.086222e-15 
1.716614e+01 4.196270e-10 4.584707e-10 5.144695e-10 5.480239e-10 6.066013e-10 6.908618e-10 6.964335e-10 7.759170e-10 1.037029e-15 1.044630e-15 1.054362e-15 1.056176e-15 1.064863e-15 1.081030e-15 1.073580e-15 1.083514e-15 
1.811981e+01 4.160442e-10 4.549427e-10 5.110748e-10 5.445559e-10 6.033181e-10 6.882605e-10 6.933121e-10 7.732284e-10 1.028175e-15 1.036592e-15 1.047405e-15 1.049492e-15 1.059100e-15 1.076960e-15 1.068769e-15 1.079760e-15 
1.883507e+01 4.132998e-10 4.522328e-10 5.084578e-10 5.418796e-10 6.007774e-10 6.862383e-10 6.908902e-10 7.711363e-10 1.021392e-15 1.030417e-15 1.042041e-15 1.044334e-15 1.054640e-15 1.073795e-15 1.065035e-15 1.076839e-15 
1.978874e+01 4.095734e-10 4.485429e-10 5.048812e-10 5.382179e-10 5.972915e-10 6.834506e-10 6.875578e-10 7.682494e-10 1.012183e-15 1.022010e-15 1.034712e-15 1.037277e-15 1.048520e-15 1.069433e-15 1.059898e-15 1.072807e-15 
2.074242e+01 4.057803e-10 4.447747e-10 5.012130e-10 5.344576e-10 5.937001e-10 6.805625e-10 6.841134e-10 7.652551e-10 1.002810e-15 1.013424e-15 1.027194e-15 1.030030e-15 1.042216e-15 1.064914e-15 1.054588e-15 1.068626e-15 
2.169609e+01 4.019312e-10 4.409381e-10 4.974621e-10 5.306074e-10 5.900105e-10 6.775784e-10 6.805629e-10 7.621577e-10 9.932973e-16 1.004682e-15 1.019507e-15 1.022610e-15 1.035739e-15 1.060245e-15 1.049115e-15 1.064301e-15 
2.264977e+01 3.980362e-10 4.370429e-10 4.936368e-10 5.266759e-10 5.862300e-10 6.745031e-10 6.769124e-10 7.589615e-10 9.836715e-16 9.958066e-16 1.011667e-15 1.015033e-15 1.029102e-15 1.055433e-15 1.043488e-15 1.059837e-15 
2.384186e+01 3.931175e-10 4.321053e-10 4.887636e-10 5.216596e-10 5.813877e-10 6.705374e-10 6.722182e-10 7.548340e-10 9.715157e-16 9.845563e-16 1.001680e-15 1.005365e-15 1.020602e-15 1.049227e-15 1.036252e-15 1.054074e-15 
2.479553e+01 3.891534e-10 4.281110e-10 4.848016e-10 5.175749e-10 5.774292e-10 6.672732e-10 6.683654e-10 7.514317e-10 9.617193e-16 9.754554e-16 9.935599e-16 9.974930e-16 1.013653e-15 1.044120e-15 1.030312e-15 1.049322e-15 
2.598763e+01 3.841758e-10 4.230766e-10 4.797822e-10 5.123923e-10 5.723864e-10 6.630859e-10 6.634372e-10 7.470607e-10 9.494181e-16 9.639843e-16 9.832732e-16 9.875048e-16 1.004800e-15 1.037568e-15 1.022715e-15 1.043219e-15 
2.717972e+01 3.791872e-10 4.180098e-10 4.747021e-10 5.071378e-10 5.672508e-10 6.587880e-10 6.583952e-10 7.425665e-10 9.370897e-16 9.524397e-16 9.728619e-16 9.773781e-16 9.957851e-16 1.030842e-15 1.014943e-15 1.036943e-15 
2.861023e+01 3.732056e-10 4.119069e-10 4.685448e-10 5.007570e-10 5.609835e-10 6.534966e-10 6.522105e-10 7.370229e-10 9.223073e-16 9.385340e-16 9.602431e-16 9.650807e-16 9.847831e-16 1.022563e-15 1.005409e-15 1.029201e-15 
2.980232e+01 3.682394e-10 4.068169e-10 4.633778e-10 4.953920e-10 5.556877e-10 6.489857e-10 6.469576e-10 7.322877e-10 9.100342e-16 9.269364e-16 9.496537e-16 9.547411e-16 9.754865e-16 1.015504e-15 9.973113e-16 1.022589e-15 
3.123283e+01 3.623183e-10 4.007212e-10 4.571516e-10 4.889150e-10 5.492623e-10 6.434634e-10 6.405510e-10 7.264794e-10 8.954014e-16 9.130474e-16 9.368937e-16 9.422584e-16 9.642070e-16 1.006863e-15 9.874353e-16 1.014478e-15 
3.266335e+01 3.564547e-10 3.946558e-10 4.509152e-10 4.824137e-10 5.427778e-10 6.378354e-10 6.340486e-10 7.205469e-10 8.809106e-16 8.992273e-16 9.241126e-16 9.297287e-16 9.528238e-16 9.980568e-16 9.774116e-16 1.006194e-15 
3.433228e+01 3.497054e-10 3.876386e-10 4.436488e-10 4.748216e-10 5.351612e-10 6.311540e-10 6.263638e-10 7.134870e-10 8.642309e-16 8.832385e-16 9.092207e-16 9.150969e-16 9.394532e-16 9.876020e-16 9.655652e-16 9.963353e-16 
3.600121e+01 3.430724e-10 3.807055e-10 4.364154e-10 4.672459e-10 5.275137e-10 6.243681e-10 6.185966e-10 7.062978e-10 8.478387e-16 8.674414e-16 8.943966e-16 9.004968e-16 9.260283e-16 9.769837e-16 9.535917e-16 9.862961e-16 
3.767014e+01 3.365711e-10 3.738747e-10 4.292363e-10 4.597091e-10 5.198587e-10 6.174974e-10 6.107704e-10 6.989996e-10 8.317720e-16 8.518773e-16 8.796836e-16 8.859716e-16 9.125902e-16 9.662327e-16 9.415273e-16 9.761047e-16 
3.933907e+01 3.302136e-10 3.671612e-10 4.221296e-10 4.522310e-10 5.122173e-10 6.105606e-10 6.029070e-10 6.916117e-10 8.160605e-16 8.365805e-16 8.651191e-16 8.715594e-16 8.991760e-16 9.553783e-16 9.294055e-16 9.657879e-16 
4.124641e+01 3.231356e-10 3.596478e-10 4.141165e-10 4.437783e-10 5.035251e-10 6.025743e-10 5.939003e-10 6.830817e-10 7.985686e-16 8.194612e-16 8.486969e-16 8.552689e-16 8.839172e-16 9.428817e-16 9.155214e-16 9.538765e-16 
4.315376e+01 3.162672e-10 3.523178e-10 4.062381e-10 4.354463e-10 4.949001e-10 5.945487e-10 5.848984e-10 6.744840e-10 7.815948e-16 8.027596e-16 8.325509e-16 8.392111e-16 8.687765e-16 9.303236e-16 9.016445e-16 9.418702e-16 
4.529953e+01 3.087988e-10 3.443035e-10 3.975557e-10 4.262393e-10 4.853042e-10 5.855008e-10 5.748072e-10 6.647598e-10 7.631380e-16 7.844991e-16 8.147568e-16 8.214670e-16 8.519313e-16 9.161658e-16 8.860885e-16 9.282911e-16 
4.720688e+01 3.023936e-10 3.373940e-10 3.900123e-10 4.182194e-10 4.768899e-10 5.774634e-10 5.658930e-10 6.560943e-10 7.473087e-16 7.687557e-16 7.992973e-16 8.060107e-16 8.371603e-16 9.035893e-16 8.723469e-16 9.161904e-16 
4.959106e+01 2.946970e-10 3.290473e-10 3.808286e-10 4.084294e-10 4.665485e-10 5.674523e-10 5.548537e-10 6.452649e-10 7.282882e-16 7.497377e-16 7.804761e-16 7.871430e-16 8.190064e-16 8.879243e-16 8.553294e-16 9.010679e-16 
5.197525e+01 2.873423e-10 3.210264e-10 3.719295e-10 3.989155e-10 4.564255e-10 5.575099e-10 5.439586e-10 6.344707e-10 7.101122e-16 7.314618e-16 7.622382e-16 7.688073e-16 8.012359e-16 8.723669e-16 8.385342e-16 8.859945e-16 
5.435944e+01 2.803231e-10 3.133304e-10 3.633230e-10 3.896885e-10 4.465393e-10 5.476634e-10 5.332338e-10 6.237423e-10 6.927658e-16 7.139266e-16 7.445998e-16 7.510248e-16 7.838811e-16 8.569595e-16 8.220015e-16 8.710131e-16 
5.698204e+01 2.729792e-10 3.052355e-10 3.541981e-10 3.798782e-10 4.359542e-10 5.369706e-10 5.216587e-10 6.120491e-10 6.746167e-16 6.954823e-16 7.258992e-16 7.321178e-16 7.652994e-16 8.402280e-16 8.041580e-16 8.546843e-16 
5.960464e+01 2.660167e-10 2.975204e-10 3.454320e-10 3.704266e-10 4.256848e-10 5.264479e-10 5.103381e-10 6.004985e-10 6.574100e-16 6.779032e-16 7.079339e-16 7.139024e-16 7.472718e-16 8.237625e-16 7.867068e-16 8.385547e-16 
