Loop         R0           prn          alpha        beta         Lcrit        teff         
4.637090e-03 3.488849e-03 1.000000e+00 6.483785e-02 0.000000e+00 3.555084e+01 1.125263e+01 
6.764428e-03 3.518586e-03 1.008524e+00 1.490411e-01 0.000000e+00 3.475966e+01 1.123098e+01 
1.546730e-02 3.458859e-03 9.914040e-01 5.956074e-01 0.000000e+00 3.126975e+01 1.114367e+01 
5.072533e-02 2.225751e-03 6.379613e-01 1.813872e+00 0.000000e+00 1.690169e+01 1.082814e+01 
3.350071e+00 3.108510e-03 8.909844e-01 2.156779e+02 3.166471e-01 3.847825e+00 3.412812e+00 
5.182155e+00 2.832086e-03 8.117538e-01 3.337377e+02 3.685200e-01 2.585120e+00 2.560858e+00 
4.851684e+00 2.551855e-03 7.314317e-01 3.105564e+02 5.286457e-01 2.922193e+00 2.941823e+00 
5.390257e+00 2.315087e-03 6.635676e-01 3.470198e+02 7.394423e-01 2.938857e+00 3.007310e+00 
6.447163e+00 2.099055e-03 6.016468e-01 4.195560e+02 1.071449e+00 2.945907e+00 3.009043e+00 
6.173941e+00 1.677009e-03 4.806768e-01 3.604439e+02 1.184544e+00 2.686616e+00 3.294470e+00 
9.985149e+00 1.649779e-03 4.728721e-01 6.474932e+02 2.372336e+00 3.136015e+00 3.156511e+00 
1.345523e+01 1.446032e-03 4.144726e-01 8.711168e+02 3.722604e+00 3.317247e+00 3.269627e+00 
1.845570e+01 1.248031e-03 3.577200e-01 1.185563e+03 5.829498e+00 3.482749e+00 3.432869e+00 
2.589223e+01 1.054194e-03 3.021610e-01 1.632604e+03 9.042632e+00 3.515148e+00 3.608291e+00 
3.936482e+01 8.988366e-04 2.576313e-01 2.489152e+03 1.417879e+01 3.371726e+00 3.667725e+00 
4.943628e+01 7.457562e-04 2.137542e-01 3.095997e+03 1.822649e+01 3.012787e+00 3.809243e+00 
5.606508e+01 5.227985e-04 1.498484e-01 3.000973e+03 2.527216e+01 2.726950e+00 4.654310e+00 
5.257222e+01 3.738659e-04 1.071602e-01 2.509514e+03 3.326773e+01 2.817272e+00 6.171633e+00 
3.172811e+01 2.630863e-04 7.540776e-02 1.368927e+03 2.409262e+01 2.297363e+00 7.834525e+00 
2.062961e+01 1.510962e-04 4.330833e-02 6.924828e+02 2.662269e+01 2.246160e+00 1.233128e+01 
