Loop         R0           prn          alpha        beta         Lcrit        teff         
3.565683e-03 3.558418e-03 1.000000e+00 5.349045e-02 0.000000e+00 4.156413e+01 1.265888e+01 
4.366795e-03 3.576610e-03 1.005112e+00 1.028777e-01 0.000000e+00 4.120518e+01 1.264966e+01 
-4.779769e-03 3.448536e-03 9.691205e-01 -1.930532e-01 0.000000e+00 4.523692e+01 1.275537e+01 
-3.534253e-03 3.383378e-03 9.508095e-01 -2.016899e-01 0.000000e+00 4.459160e+01 1.274082e+01 
9.748636e-03 3.325909e-03 9.346595e-01 8.545653e-01 0.000000e+00 3.590766e+01 1.258894e+01 
4.236103e-02 3.306199e-03 9.291206e-01 4.090267e+00 0.000000e+00 2.875978e+01 1.223138e+01 
3.938999e-01 2.678153e-03 7.526247e-01 3.436569e+01 3.382657e-01 1.598199e+01 1.004836e+01 
1.864107e+00 2.963251e-03 8.327438e-01 2.016249e+02 1.700908e-01 5.767728e+00 5.215041e+00 
1.567135e+00 3.543960e-03 9.959370e-01 2.286544e+02 1.135161e-01 7.201020e+00 5.552223e+00 
3.207368e+00 3.390176e-03 9.527201e-01 5.094488e+02 5.406497e-01 6.316150e+00 4.350805e+00 
4.305392e+00 2.121674e-03 5.962409e-01 4.926674e+02 7.520274e-01 3.875741e+00 4.008270e+00 
4.451350e+00 2.276530e-03 6.397591e-01 6.335454e+02 7.857559e-01 4.126834e+00 3.943570e+00 
5.536253e+00 2.472384e-03 6.947986e-01 1.003762e+03 6.393075e-01 3.284982e+00 3.153958e+00 
7.244152e+00 2.404592e-03 6.757473e-01 1.520487e+03 8.453386e-01 3.004412e+00 2.807817e+00 
1.057640e+01 4.297748e-03 1.207769e+00 4.787008e+03 6.002710e-02 1.576798e+00 1.238385e+00 
9.783320e+01 1.067688e-03 3.000456e-01 1.373216e+04 5.048889e+01 7.994021e+00 4.884587e+00 
9.999987e+01 8.272288e-04 2.324709e-01 1.382264e+04 6.040658e+01 7.380808e+00 5.527367e+00 
3.869748e+01 5.441242e-04 1.529118e-01 4.640824e+03 2.466431e+01 4.512260e+00 6.238338e+00 
9.635189e+01 4.204067e-04 1.181443e-01 1.225429e+04 9.074957e+01 6.039337e+00 7.776971e+00 
6.276193e+01 2.575058e-04 7.236525e-02 7.205770e+03 7.992721e+01 4.864510e+00 9.970856e+00 
2.295554e+01 1.009847e-04 2.837909e-02 1.767404e+03 8.346916e+01 4.905212e+00 1.532636e+01 
