xbinc        data         
-1.130000e+01 -1.513952e+02 
-1.120000e+01 -1.535964e+02 
-1.110000e+01 -1.542783e+02 
-1.100000e+01 -1.512841e+02 
-1.090000e+01 -1.564668e+02 
-1.080000e+01 -1.571026e+02 
-1.070000e+01 -1.620414e+02 
-1.060000e+01 -1.566317e+02 
-1.050000e+01 -1.582090e+02 
-1.040000e+01 -1.591002e+02 
-1.030000e+01 -1.571933e+02 
-1.020000e+01 -1.581138e+02 
-1.010000e+01 -1.584898e+02 
-1.000000e+01 -1.568176e+02 
-9.900000e+00 -1.550883e+02 
-9.800000e+00 -1.578494e+02 
-9.700000e+00 -1.559711e+02 
-9.600000e+00 -1.537520e+02 
-9.500000e+00 -1.562030e+02 
-9.400000e+00 -1.591315e+02 
-9.300000e+00 -1.568769e+02 
-9.200000e+00 -1.467738e+02 
-9.100000e+00 -1.460767e+02 
-9.000000e+00 -1.553515e+02 
-8.900000e+00 -1.487269e+02 
-8.800000e+00 -1.513859e+02 
-8.700000e+00 -1.443710e+02 
-8.600000e+00 -1.437015e+02 
-8.500000e+00 -1.428568e+02 
-8.400000e+00 -1.377175e+02 
-8.300000e+00 -1.394241e+02 
-8.200000e+00 -1.385921e+02 
-8.100000e+00 -1.331042e+02 
-8.000000e+00 -1.318571e+02 
-7.900000e+00 -1.306393e+02 
-7.800000e+00 -1.281251e+02 
-7.700000e+00 -1.196784e+02 
-7.600000e+00 -1.070483e+02 
-7.500000e+00 -1.053146e+02 
-7.400000e+00 -1.029331e+02 
-7.300000e+00 -1.022351e+02 
-7.200000e+00 -8.605770e+01 
-7.100000e+00 -8.653504e+01 
-7.000000e+00 -8.158991e+01 
-6.900000e+00 -7.547446e+01 
-6.800000e+00 -7.174554e+01 
-6.700000e+00 -7.529179e+01 
-6.600000e+00 -6.165789e+01 
-6.500000e+00 -5.686092e+01 
-6.400000e+00 -5.886564e+01 
-6.300000e+00 -5.387699e+01 
-6.200000e+00 -5.894249e+01 
-6.100000e+00 -5.558675e+01 
-6.000000e+00 -5.372848e+01 
-5.900000e+00 -5.468474e+01 
-5.800000e+00 -5.376506e+01 
-5.700000e+00 -4.739425e+01 
-5.600000e+00 -4.753419e+01 
-5.500000e+00 -4.660491e+01 
-5.400000e+00 -4.521148e+01 
-5.300000e+00 -4.443197e+01 
-5.200000e+00 -4.393773e+01 
-5.100000e+00 -4.184432e+01 
-5.000000e+00 -4.098507e+01 
-4.900000e+00 -4.018778e+01 
-4.800000e+00 -3.892812e+01 
-4.700000e+00 -3.934399e+01 
-4.600000e+00 -3.768127e+01 
-4.500000e+00 -3.855458e+01 
-4.400000e+00 -3.790880e+01 
-4.300000e+00 -3.874433e+01 
-4.200000e+00 -3.693640e+01 
-4.100000e+00 -4.021825e+01 
-4.000000e+00 -4.095089e+01 
-3.900000e+00 -3.687711e+01 
-3.800000e+00 -3.700195e+01 
-3.700000e+00 -3.645802e+01 
-3.600000e+00 -3.661015e+01 
-3.500000e+00 -3.638630e+01 
-3.400000e+00 -3.656339e+01 
-3.300000e+00 -3.810613e+01 
-3.200000e+00 -3.788769e+01 
-3.100000e+00 -3.560799e+01 
-3.000000e+00 -3.546849e+01 
