R C totP 
1 1 2.313980e+01 
1 5 2.084259e+01 
1 6 2.533365e+01 
1 7 2.667898e+01 
2 1 2.527094e+01 
2 2 1.705529e+01 
2 3 3.144564e+01 
2 5 2.061866e+01 
2 6 2.044714e+01 
2 7 5.137450e+01 
3 1 1.665830e+01 
3 2 1.568030e+01 
3 3 1.918921e+01 
3 4 1.938911e+01 
3 5 2.004517e+01 
3 7 4.684477e+01 
3 8 3.835421e+01 
4 1 1.823734e+01 
4 2 1.746126e+01 
4 3 2.065455e+01 
4 4 8.054436e+01 
4 6 1.915334e+01 
4 7 3.089142e+01 
4 8 3.780801e+01 
5 1 1.727541e+01 
5 2 1.647942e+01 
5 4 3.604628e+01 
5 6 2.158172e+01 
5 7 6.236583e+01 
5 8 6.846007e+01 
6 1 1.749908e+01 
6 2 1.566546e+01 
6 3 1.930959e+01 
6 4 1.607487e+01 
6 6 1.913454e+01 
6 8 3.419746e+01 
7 1 1.774444e+01 
7 2 1.893826e+01 
7 3 5.741942e+01 
7 4 2.384016e+01 
7 7 3.575234e+01 
8 1 2.082709e+01 
8 2 1.604369e+01 
8 3 2.005728e+01 
8 4 2.038618e+01 
8 5 4.082373e+01 
8 6 1.972309e+01 
8 7 2.304879e+01 
9 1 1.848816e+01 
9 2 1.732406e+01 
9 3 1.861058e+01 
9 4 1.915296e+01 
9 6 1.799464e+01 
9 7 2.054150e+01 
9 8 8.268289e+01 
10 1 1.916729e+01 
10 3 2.661521e+01 
10 7 2.268509e+01 
10 8 2.326006e+01 
11 1 1.848497e+01 
11 2 2.030530e+01 
11 3 1.534531e+01 
11 4 2.052078e+01 
11 5 1.971508e+01 
11 7 2.311745e+01 
11 8 2.463198e+01 
12 1 1.677046e+01 
12 2 1.583774e+01 
12 3 2.305203e+01 
12 5 2.070667e+01 
12 8 2.262243e+01 
13 1 1.992310e+01 
13 2 1.602853e+01 
13 3 1.953138e+01 
13 4 1.978480e+01 
13 5 2.351867e+01 
13 6 2.010441e+01 
13 7 2.118599e+01 
13 8 2.344078e+01 
14 1 2.134161e+01 
14 2 1.687522e+01 
14 3 2.452248e+01 
14 4 1.925415e+01 
14 5 2.031970e+01 
14 6 2.034111e+01 
14 7 2.004296e+01 
14 8 2.315809e+01 
15 1 2.154399e+01 
15 2 1.862847e+01 
15 3 1.931645e+01 
15 4 2.025840e+01 
15 6 2.485157e+01 
15 7 2.232811e+01 
15 8 2.186181e+01 
16 1 2.152506e+01 
16 2 1.848209e+01 
16 3 2.064532e+01 
16 5 1.768762e+01 
16 7 1.970084e+01 
16 8 7.767918e+01 
17 1 2.090353e+01 
17 2 1.911961e+01 
17 3 2.088462e+01 
17 4 2.674656e+01 
17 5 1.630110e+01 
17 6 2.104952e+01 
17 7 2.007043e+01 
17 8 1.895922e+01 
18 1 3.378280e+01 
18 3 2.278395e+01 
18 5 2.234667e+01 
18 6 2.013853e+01 
18 8 2.162093e+01 
19 1 1.957095e+01 
19 2 1.923956e+01 
19 3 2.123929e+01 
19 4 2.058832e+01 
19 5 3.092210e+01 
19 6 2.214847e+01 
19 7 2.258031e+01 
19 8 2.215123e+01 
20 1 2.071750e+01 
20 3 2.405772e+01 
20 5 2.012432e+01 
20 6 2.110137e+01 
20 7 2.038715e+01 
20 8 2.167611e+01 
21 1 2.092979e+01 
21 2 2.089883e+01 
21 3 2.372831e+01 
21 4 2.034047e+01 
21 5 1.993503e+01 
21 6 2.020700e+01 
21 7 2.064759e+01 
21 8 2.437976e+01 
22 1 1.990571e+01 
22 2 2.124136e+01 
22 4 2.158386e+01 
22 5 2.186849e+01 
22 6 2.162313e+01 
23 1 1.803565e+01 
23 2 2.617084e+01 
23 3 2.084150e+01 
23 4 2.137360e+01 
23 5 2.074986e+01 
23 6 2.088413e+01 
23 8 2.224686e+01 
24 2 2.289201e+01 
24 4 2.154416e+01 
24 6 1.908028e+01 
24 7 2.319700e+01 
24 8 2.182803e+01 
25 1 1.885403e+01 
25 2 2.071276e+01 
25 3 2.412185e+01 
25 4 5.753037e+01 
25 5 2.049109e+01 
25 6 1.751513e+01 
25 7 2.189904e+01 
25 8 2.314592e+01 
26 1 1.836904e+01 
26 2 2.476434e+01 
26 3 3.318926e+01 
26 4 5.989661e+01 
26 6 2.082613e+01 
26 7 2.224683e+01 
26 8 4.457431e+01 
27 1 2.560228e+01 
27 2 1.798365e+01 
27 3 2.043862e+01 
27 4 2.210721e+01 
27 5 1.904290e+01 
27 6 1.919577e+01 
27 7 2.297758e+01 
28 1 1.801141e+01 
28 2 1.896429e+01 
28 3 2.197823e+01 
28 4 2.860734e+01 
28 5 4.063196e+01 
28 6 1.984065e+01 
28 7 2.393323e+01 
29 1 1.747029e+01 
29 2 1.990956e+01 
29 3 2.756273e+01 
29 4 2.524831e+01 
29 5 1.799643e+01 
29 6 2.187825e+01 
29 7 4.757974e+01 
30 1 3.333305e+01 
30 3 1.958787e+01 
30 4 NaN 
30 5 2.703546e+01 
30 6 2.523451e+01 
30 8 NaN 
31 1 1.806453e+01 
31 2 2.340259e+01 
31 4 2.363646e+01 
31 5 2.050948e+01 
31 6 2.130643e+01 
31 7 2.063344e+01 
31 8 2.242365e+01 
32 1 2.164972e+01 
32 2 1.922442e+01 
32 3 2.258970e+01 
32 7 2.260051e+01 
