x0           y0           sigmax       sigmay       theta        rel_amp      
6.782926e+00 -4.992110e+00 7.186940e-01 4.626985e-01 1.194830e+00 9.084355e-01 
1.014859e+01 -4.960932e+00 5.845919e-01 5.334041e-01 5.630687e-01 8.337275e-01 
1.714381e+00 -3.393567e+00 6.676194e-01 4.957837e-01 8.683078e-01 1.051147e+00 
5.076226e+00 -3.301219e+00 6.814854e-01 4.790772e-01 8.871594e-01 9.686225e-01 
8.491935e+00 -3.271905e+00 6.434185e-01 5.225640e-01 7.729058e-01 9.494946e-01 
1.180215e+01 -3.214560e+00 7.521359e-01 4.610730e-01 1.010045e+00 8.894259e-01 
3.400603e+00 -1.683071e+00 7.014052e-01 4.542755e-01 1.009291e+00 1.005938e+00 
6.736898e+00 -1.594163e+00 6.281588e-01 4.933639e-01 9.510015e-01 9.917222e-01 
1.009617e+01 -1.559995e+00 5.480111e-01 5.560392e-01 7.130057e-01 9.569834e-01 
-1.706052e+00 -3.279091e-02 6.419461e-01 5.038875e-01 8.367796e-01 9.944244e-01 
1.692343e+00 4.732505e-02 6.740991e-01 5.007272e-01 1.039924e+00 9.897182e-01 
5.084871e+00 5.349387e-02 6.113235e-01 5.737802e-01 6.745247e-01 9.306368e-01 
8.441043e+00 5.656520e-02 6.485935e-01 4.869127e-01 9.245321e-01 1.011265e+00 
1.178779e+01 1.855091e-01 6.572801e-01 4.646389e-01 1.004285e+00 9.215329e-01 
3.336473e+00 1.689852e+00 6.249791e-01 4.816436e-01 8.519941e-01 1.051965e+00 
1.008400e+01 1.878813e+00 6.533050e-01 4.976190e-01 9.036317e-01 9.886891e-01 
-5.149408e+00 3.333902e+00 6.312435e-01 4.544405e-01 9.206333e-01 1.191423e+00 
-1.760500e+00 3.342729e+00 7.689566e-01 4.516685e-01 1.118253e+00 9.321463e-01 
1.648739e+00 3.410073e+00 6.229801e-01 5.074491e-01 7.694878e-01 9.989767e-01 
4.980340e+00 3.391216e+00 6.768503e-01 4.993449e-01 1.010765e+00 1.001507e+00 
8.345731e+00 3.514856e+00 6.795265e-01 4.671869e-01 9.493092e-01 9.495215e-01 
-3.464956e+00 5.044408e+00 7.158189e-01 4.689167e-01 9.622361e-01 9.638506e-01 
1.016849e+01 -9.964437e+00 8.181571e-01 4.805176e-01 1.255999e+00 8.771197e-01 
8.542920e+00 -8.319018e+00 7.354117e-01 4.827397e-01 1.098367e+00 1.035365e+00 
1.187255e+01 -8.249454e+00 6.226339e-01 6.708544e-01 5.309104e-01 8.745883e-01 
6.828329e+00 -6.658368e+00 6.081768e-01 7.131522e-01 4.369585e-01 8.732688e-01 
1.022019e+01 -6.615559e+00 6.529685e-01 5.243980e-01 7.082380e-01 1.005962e+00 
5.096778e+00 -4.978694e+00 6.370931e-01 5.173839e-01 9.485906e-01 1.006443e+00 
8.516866e+00 -4.916035e+00 6.740227e-01 5.365164e-01 1.059604e+00 9.273258e-01 
3.392017e+00 -3.345038e+00 6.478291e-01 5.377505e-01 7.856247e-01 1.055802e+00 
1.013884e+01 -3.239107e+00 7.135863e-01 5.522154e-01 1.067971e+00 8.840312e-01 
1.687624e+00 -1.662259e+00 6.305485e-01 5.716212e-01 7.194480e-01 8.867437e-01 
5.088252e+00 -1.622069e+00 5.951368e-01 5.553878e-01 6.314531e-01 9.722156e-01 
1.184076e+01 -1.453697e+00 6.790237e-01 6.094926e-01 5.972984e-01 8.567144e-01 
-0.000000e+00 -0.000000e+00 7.117842e-01 5.003779e-01 1.011756e+00 1.000000e+00 
3.384077e+00 6.516831e-02 6.631783e-01 5.222602e-01 8.517543e-01 8.878375e-01 
1.011720e+01 1.762531e-01 6.639057e-01 5.582342e-01 7.619594e-01 8.381190e-01 
-1.700616e+00 1.629573e+00 6.744237e-01 5.078138e-01 9.529536e-01 9.460751e-01 
1.666940e+00 1.697119e+00 6.975860e-01 5.038603e-01 1.065093e+00 1.079334e+00 
5.039689e+00 1.761685e+00 7.392637e-01 4.641246e-01 1.208332e+00 9.344011e-01 
8.425713e+00 1.826378e+00 6.903657e-01 4.834463e-01 1.047577e+00 1.024585e+00 
1.181119e+01 1.841854e+00 7.021378e-01 4.626228e-01 1.073077e+00 9.805870e-01 
-3.443547e+00 3.368118e+00 7.161598e-01 5.061812e-01 9.811865e-01 9.387332e-01 
-3.213754e-02 3.414537e+00 6.045714e-01 6.073291e-01 6.015931e-01 1.013222e+00 
3.315759e+00 3.413110e+00 6.948092e-01 4.703682e-01 1.095880e+00 1.052436e+00 
6.719587e+00 3.471028e+00 6.355580e-01 5.319808e-01 6.645249e-01 9.889551e-01 
1.004438e+01 3.509011e+00 6.307304e-01 4.865643e-01 1.022745e+00 9.694226e-01 
-6.841787e+00 1.610639e+00 8.107315e-01 5.112146e-01 8.809274e-01 7.634605e-01 
-6.888663e+00 5.090709e+00 7.539147e-01 4.244750e-01 9.466331e-01 9.711812e-01 
-5.036286e+00 -1.198087e+01 7.932263e-01 5.978969e-01 9.064773e-01 7.511599e-01 
-3.313643e+00 -1.189506e+01 7.547452e-01 5.477669e-01 9.497819e-01 8.126808e-01 
