f            Pxx          
1.383464e+02 2.915634e-20 
1.390862e+02 3.643144e-20 
1.398260e+02 3.398070e-20 
1.405658e+02 3.785237e-20 
1.413056e+02 4.317077e-20 
1.420455e+02 4.573061e-20 
1.427853e+02 5.247801e-20 
1.435251e+02 4.654359e-20 
1.442649e+02 3.941188e-20 
1.450047e+02 4.055950e-20 
1.457446e+02 3.266192e-20 
1.464844e+02 4.151086e-20 
1.472242e+02 4.535545e-20 
1.479640e+02 4.334850e-20 
1.487038e+02 3.261920e-20 
1.494437e+02 3.313265e-20 
1.501835e+02 5.074104e-20 
1.509233e+02 4.142625e-20 
1.516631e+02 3.812701e-20 
1.524029e+02 3.411070e-20 
1.531428e+02 3.478717e-20 
1.538826e+02 3.145564e-20 
1.546224e+02 2.762347e-20 
1.553622e+02 4.078759e-20 
1.561020e+02 4.049216e-20 
1.568419e+02 4.221509e-20 
1.575817e+02 4.884152e-20 
1.583215e+02 3.654623e-20 
1.590613e+02 3.153501e-20 
1.598011e+02 3.750643e-20 
1.605410e+02 3.443234e-20 
1.612808e+02 3.199506e-20 
1.620206e+02 3.411678e-20 
1.627604e+02 3.205221e-20 
1.635002e+02 3.497907e-20 
1.642401e+02 3.637832e-20 
1.649799e+02 3.235127e-20 
1.657197e+02 3.881667e-20 
1.664595e+02 4.608837e-20 
1.671993e+02 3.428283e-20 
1.679392e+02 3.249540e-20 
1.686790e+02 4.349317e-20 
1.694188e+02 4.121061e-20 
1.701586e+02 3.472890e-20 
1.708984e+02 3.180918e-20 
1.716383e+02 2.806847e-20 
1.723781e+02 2.462118e-20 
1.731179e+02 3.854025e-20 
1.738577e+02 3.768312e-20 
1.745975e+02 3.633350e-20 
1.753374e+02 3.056305e-20 
1.760772e+02 2.590191e-20 
1.768170e+02 3.702053e-20 
1.775568e+02 3.213094e-20 
1.782966e+02 3.220938e-20 
1.790365e+02 3.999011e-20 
1.797763e+02 5.240433e-20 
1.805161e+02 4.132873e-20 
1.812559e+02 3.026456e-20 
1.819957e+02 2.879034e-20 
1.827356e+02 2.925347e-20 
1.834754e+02 3.424041e-20 
1.842152e+02 3.119860e-20 
1.849550e+02 3.001911e-20 
1.856948e+02 2.429652e-20 
1.864347e+02 2.459527e-20 
1.871745e+02 2.659194e-20 
1.879143e+02 2.264362e-20 
1.886541e+02 3.226873e-20 
1.893939e+02 2.968549e-20 
1.901338e+02 2.958380e-20 
1.908736e+02 2.933655e-20 
1.916134e+02 2.846100e-20 
1.923532e+02 2.535613e-20 
1.930930e+02 2.324338e-20 
1.938329e+02 2.428589e-20 
1.945727e+02 3.050271e-20 
1.953125e+02 3.102959e-20 
1.960523e+02 2.387449e-20 
1.967921e+02 2.349932e-20 
1.975320e+02 2.563142e-20 
1.982718e+02 2.190164e-20 
1.990116e+02 2.595780e-20 
1.997514e+02 3.424749e-20 
2.004912e+02 3.131427e-20 
2.012311e+02 2.210434e-20 
2.019709e+02 2.324314e-20 
2.027107e+02 2.556089e-20 
2.034505e+02 2.882773e-20 
2.041903e+02 2.641162e-20 
2.049302e+02 1.974072e-20 
2.056700e+02 2.459453e-20 
2.064098e+02 2.851906e-20 
2.071496e+02 3.446957e-20 
2.078894e+02 3.591641e-20 
2.086293e+02 2.698667e-20 
2.093691e+02 3.352312e-20 
2.101089e+02 3.335548e-20 
2.108487e+02 3.162176e-20 
2.115885e+02 3.488182e-20 
2.123284e+02 2.796179e-20 
2.130682e+02 1.833496e-20 
2.138080e+02 2.007680e-20 
2.145478e+02 2.403339e-20 
2.152876e+02 2.467667e-20 
2.160275e+02 2.136571e-20 
2.167673e+02 2.815331e-20 
2.175071e+02 3.326160e-20 
2.182469e+02 3.023285e-20 
2.189867e+02 3.041379e-20 
2.197266e+02 2.508531e-20 
2.204664e+02 2.307257e-20 
2.212062e+02 2.636908e-20 
2.219460e+02 2.387569e-20 
2.226858e+02 2.424605e-20 
2.234257e+02 2.627573e-20 
2.241655e+02 3.048706e-20 
2.249053e+02 2.855522e-20 
2.256451e+02 2.978339e-20 
2.263849e+02 2.476963e-20 
2.271248e+02 2.356778e-20 
2.278646e+02 3.063400e-20 
2.286044e+02 3.687077e-20 
2.293442e+02 2.910558e-20 
2.300840e+02 2.160187e-20 
2.308239e+02 2.385237e-20 
2.315637e+02 1.982462e-20 
2.323035e+02 2.031745e-20 
2.330433e+02 2.241299e-20 
2.337831e+02 2.673550e-20 
2.345230e+02 2.352417e-20 
2.352628e+02 2.137570e-20 
2.360026e+02 1.918830e-20 
