f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
4.768372e-01 3.605787e-10 3.899023e-10 4.318631e-10 4.583949e-10 5.024134e-10 5.628100e-10 5.712269e-10 6.300677e-10 8.911023e-16 8.883964e-16 8.850671e-16 8.834387e-16 8.819658e-16 8.806603e-16 8.805694e-16 8.798461e-16 
7.152557e-01 3.605481e-10 3.898730e-10 4.318360e-10 4.583674e-10 5.023881e-10 5.627909e-10 5.712035e-10 6.300481e-10 8.910265e-16 8.883297e-16 8.850115e-16 8.833856e-16 8.819212e-16 8.806304e-16 8.805333e-16 8.798187e-16 
9.536743e-01 3.605052e-10 3.898321e-10 4.317980e-10 4.583288e-10 5.023526e-10 5.627642e-10 5.711706e-10 6.300207e-10 8.909206e-16 8.882364e-16 8.849336e-16 8.833113e-16 8.818589e-16 8.805887e-16 8.804826e-16 8.797803e-16 
1.192093e+00 3.604501e-10 3.897795e-10 4.317492e-10 4.582792e-10 5.023069e-10 5.627299e-10 5.711284e-10 6.299854e-10 8.907844e-16 8.881165e-16 8.848336e-16 8.832158e-16 8.817788e-16 8.805349e-16 8.804175e-16 8.797310e-16 
1.430511e+00 3.603827e-10 3.897152e-10 4.316895e-10 4.582187e-10 5.022512e-10 5.626880e-10 5.710768e-10 6.299422e-10 8.906180e-16 8.879701e-16 8.847113e-16 8.830990e-16 8.816809e-16 8.804693e-16 8.803380e-16 8.796708e-16 
1.668930e+00 3.603032e-10 3.896393e-10 4.316191e-10 4.581471e-10 5.021853e-10 5.626384e-10 5.710158e-10 6.298913e-10 8.904215e-16 8.877971e-16 8.845669e-16 8.829612e-16 8.815653e-16 8.803918e-16 8.802440e-16 8.795996e-16 
1.907349e+00 3.602116e-10 3.895518e-10 4.315378e-10 4.580646e-10 5.021093e-10 5.625813e-10 5.709455e-10 6.298325e-10 8.901950e-16 8.875976e-16 8.844004e-16 8.828022e-16 8.814319e-16 8.803023e-16 8.801356e-16 8.795175e-16 
2.145767e+00 3.601078e-10 3.894526e-10 4.314458e-10 4.579712e-10 5.020233e-10 5.625165e-10 5.708658e-10 6.297659e-10 8.899385e-16 8.873718e-16 8.842118e-16 8.826221e-16 8.812809e-16 8.802010e-16 8.800128e-16 8.794245e-16 
2.384186e+00 3.599919e-10 3.893419e-10 4.313430e-10 4.578668e-10 5.019272e-10 5.624441e-10 5.707769e-10 6.296914e-10 8.896522e-16 8.871196e-16 8.840011e-16 8.824209e-16 8.811121e-16 8.800878e-16 8.798756e-16 8.793206e-16 
2.622604e+00 3.598640e-10 3.892197e-10 4.312295e-10 4.577515e-10 5.018210e-10 5.623642e-10 5.706786e-10 6.296092e-10 8.893360e-16 8.868411e-16 8.837685e-16 8.821988e-16 8.809257e-16 8.799627e-16 8.797241e-16 8.792058e-16 
