Popt         G            n            Tc           Gerr         nerr         Tcerr
0.000000e+00 7.015486e+00 3.451816e+00 1.190411e+03 1.368951e-01 2.201727e-01 9.448963e-01
1.000000e+01 7.036070e+00 3.451816e+00 1.191835e+03 1.387257e-01 2.201727e-01 9.713423e-01
2.000000e+01 7.056630e+00 3.451816e+00 1.193254e+03 1.405555e-01 2.201727e-01 9.980499e-01
3.000000e+01 7.077165e+00 3.451816e+00 1.194669e+03 1.423844e-01 2.201727e-01 1.025013e+00
4.000000e+01 7.097676e+00 3.451816e+00 1.196080e+03 1.442125e-01 2.201727e-01 1.052225e+00
5.000000e+01 7.118163e+00 3.451816e+00 1.197487e+03 1.460395e-01 2.201727e-01 1.079682e+00
6.000000e+01 7.138625e+00 3.451816e+00 1.198889e+03 1.478657e-01 2.201727e-01 1.107376e+00
7.000000e+01 7.159064e+00 3.451816e+00 1.200288e+03 1.496908e-01 2.201727e-01 1.135305e+00
8.000000e+01 7.179479e+00 3.451816e+00 1.201683e+03 1.515150e-01 2.201727e-01 1.163461e+00
9.000000e+01 7.199870e+00 3.451816e+00 1.203074e+03 1.533382e-01 2.201727e-01 1.191841e+00
1.000000e+02 7.220238e+00 3.451816e+00 1.204461e+03 1.551604e-01 2.201727e-01 1.220441e+00
1.100000e+02 7.240583e+00 3.451816e+00 1.205844e+03 1.569816e-01 2.201727e-01 1.249255e+00
1.200000e+02 7.260904e+00 3.451816e+00 1.207223e+03 1.588017e-01 2.201728e-01 1.278280e+00
1.300000e+02 7.281202e+00 3.451816e+00 1.208599e+03 1.606208e-01 2.201728e-01 1.307512e+00
1.400000e+02 7.301477e+00 3.451816e+00 1.209970e+03 1.624389e-01 2.201728e-01 1.336946e+00
1.500000e+02 7.321729e+00 3.451816e+00 1.211338e+03 1.642559e-01 2.201728e-01 1.366580e+00
1.600000e+02 7.341958e+00 3.451816e+00 1.212702e+03 1.660718e-01 2.201728e-01 1.396408e+00
1.700000e+02 7.362164e+00 3.451816e+00 1.214062e+03 1.678867e-01 2.201728e-01 1.426428e+00
1.800000e+02 7.382348e+00 3.451816e+00 1.215418e+03 1.697005e-01 2.201728e-01 1.456637e+00
1.900000e+02 7.402510e+00 3.451816e+00 1.216771e+03 1.715132e-01 2.201728e-01 1.487030e+00
2.000000e+02 7.422649e+00 3.451816e+00 1.218120e+03 1.733248e-01 2.201728e-01 1.517605e+00
2.100000e+02 7.442765e+00 3.451816e+00 1.219465e+03 1.751353e-01 2.201728e-01 1.548359e+00
2.200000e+02 7.462860e+00 3.451816e+00 1.220807e+03 1.769449e-01 2.201728e-01 1.579281e+00
2.300000e+02 7.482933e+00 3.451816e+00 1.222145e+03 1.787532e-01 2.201728e-01 1.610382e+00
2.400000e+02 7.502983e+00 3.451816e+00 1.223480e+03 1.805604e-01 2.201728e-01 1.641653e+00
2.500000e+02 7.523012e+00 3.451816e+00 1.224811e+03 1.823666e-01 2.201728e-01 1.673090e+00
2.600000e+02 7.543019e+00 3.451816e+00 1.226138e+03 1.841716e-01 2.201728e-01 1.704692e+00
2.700000e+02 7.563005e+00 3.451816e+00 1.227462e+03 1.859755e-01 2.201728e-01 1.736454e+00
2.800000e+02 7.582968e+00 3.451816e+00 1.228783e+03 1.877784e-01 2.201728e-01 1.768376e+00
2.900000e+02 7.602911e+00 3.451816e+00 1.230100e+03 1.895801e-01 2.201728e-01 1.800453e+00
3.000000e+02 7.622832e+00 3.451816e+00 1.231414e+03 1.913807e-01 2.201728e-01 1.832685e+00
