theta        pow          
1.071431e+01 4.926864e-01 
1.077161e+01 4.888817e-01 
1.082890e+01 4.850848e-01 
1.088620e+01 4.812958e-01 
1.094349e+01 4.775150e-01 
1.100079e+01 4.737427e-01 
1.105809e+01 4.699791e-01 
1.111538e+01 4.662245e-01 
1.117268e+01 4.624790e-01 
1.122997e+01 4.587430e-01 
1.128727e+01 4.550167e-01 
1.134456e+01 4.513004e-01 
1.140186e+01 4.475941e-01 
1.145916e+01 4.438983e-01 
1.151645e+01 4.402130e-01 
1.157375e+01 4.365386e-01 
1.163104e+01 4.328752e-01 
1.168834e+01 4.292231e-01 
1.174563e+01 4.255825e-01 
1.180293e+01 4.219536e-01 
1.186023e+01 4.183366e-01 
1.191752e+01 4.147317e-01 
1.197482e+01 4.111392e-01 
1.203211e+01 4.075591e-01 
1.208941e+01 4.039918e-01 
1.214671e+01 4.004374e-01 
1.220400e+01 3.968962e-01 
1.226130e+01 3.933682e-01 
1.231859e+01 3.898537e-01 
1.237589e+01 3.863529e-01 
1.243318e+01 3.828659e-01 
1.249048e+01 3.793930e-01 
1.254778e+01 3.759343e-01 
1.260507e+01 3.724900e-01 
1.266237e+01 3.690603e-01 
1.271966e+01 3.656452e-01 
1.277696e+01 3.622451e-01 
1.283425e+01 3.588600e-01 
1.289155e+01 3.554901e-01 
1.294885e+01 3.521355e-01 
1.300614e+01 3.487965e-01 
1.306344e+01 3.454732e-01 
1.312073e+01 3.421656e-01 
1.317803e+01 3.388740e-01 
1.323533e+01 3.355985e-01 
1.329262e+01 3.323392e-01 
1.334992e+01 3.290963e-01 
1.340721e+01 3.258699e-01 
1.346451e+01 3.226602e-01 
1.352180e+01 3.194671e-01 
1.357910e+01 3.162910e-01 
1.363640e+01 3.131318e-01 
1.369369e+01 3.099897e-01 
1.375099e+01 3.068649e-01 
1.380828e+01 3.037574e-01 
1.386558e+01 3.006674e-01 
1.392287e+01 2.975948e-01 
1.398017e+01 2.945400e-01 
1.403747e+01 2.915029e-01 
1.409476e+01 2.884836e-01 
1.415206e+01 2.854823e-01 
1.420935e+01 2.824989e-01 
1.426665e+01 2.795338e-01 
1.432394e+01 2.765868e-01 
1.438124e+01 2.736580e-01 
1.443854e+01 2.707477e-01 
1.449583e+01 2.678558e-01 
1.455313e+01 2.649823e-01 
1.461042e+01 2.621275e-01 
1.466772e+01 2.592913e-01 
1.472502e+01 2.564738e-01 
1.478231e+01 2.536751e-01 
1.483961e+01 2.508952e-01 
1.489690e+01 2.481342e-01 
1.495420e+01 2.453921e-01 
1.501149e+01 2.426690e-01 
1.506879e+01 2.399650e-01 
1.512609e+01 2.372800e-01 
1.518338e+01 2.346142e-01 
1.524068e+01 2.319675e-01 
1.529797e+01 2.293400e-01 
1.535527e+01 2.267318e-01 
1.541256e+01 2.241428e-01 
1.546986e+01 2.215731e-01 
1.552716e+01 2.190227e-01 
1.558445e+01 2.164917e-01 
1.564175e+01 2.139800e-01 
1.569904e+01 2.114877e-01 
1.575634e+01 2.090149e-01 
1.581364e+01 2.065614e-01 
1.587093e+01 2.041273e-01 
1.592823e+01 2.017127e-01 
1.598552e+01 1.993175e-01 
1.604282e+01 1.969418e-01 
1.610011e+01 1.945855e-01 
1.615741e+01 1.922486e-01 
1.621471e+01 1.899312e-01 
1.627200e+01 1.876332e-01 
1.632930e+01 1.853547e-01 
1.638659e+01 1.830955e-01 
1.644389e+01 1.808558e-01 
1.650118e+01 1.786354e-01 
1.655848e+01 1.764344e-01 
1.661578e+01 1.742527e-01 
1.667307e+01 1.720904e-01 
1.673037e+01 1.699473e-01 
1.678766e+01 1.678235e-01 
1.684496e+01 1.657190e-01 
1.690225e+01 1.636337e-01 
1.695955e+01 1.615675e-01 
1.701685e+01 1.595206e-01 
1.707414e+01 1.574927e-01 
1.713144e+01 1.554838e-01 
1.718873e+01 1.534941e-01 
1.724603e+01 1.515233e-01 
1.730333e+01 1.495714e-01 
1.736062e+01 1.476384e-01 
1.741792e+01 1.457243e-01 
1.747521e+01 1.438290e-01 
1.753251e+01 1.419524e-01 
1.758980e+01 1.400945e-01 
1.764710e+01 1.382552e-01 
1.770440e+01 1.364345e-01 
1.776169e+01 1.346323e-01 
1.781899e+01 1.328485e-01 
1.787628e+01 1.310832e-01 
1.793358e+01 1.293362e-01 
1.799087e+01 1.276074e-01 
1.804817e+01 1.258968e-01 
1.810547e+01 1.242044e-01 
