f            Pxx          
9.012222e+01 8.411850e-10 
9.059906e+01 8.629833e-10 
9.107590e+01 9.161559e-10 
9.155273e+01 8.910705e-10 
9.202957e+01 8.688357e-10 
9.250641e+01 8.170676e-10 
9.298325e+01 8.011464e-10 
9.346008e+01 8.175456e-10 
9.393692e+01 8.457500e-10 
9.441376e+01 8.377184e-10 
9.489059e+01 7.792571e-10 
9.536743e+01 8.326208e-10 
9.584427e+01 8.231105e-10 
9.632111e+01 8.063865e-10 
9.679794e+01 8.787148e-10 
9.727478e+01 9.356585e-10 
9.775162e+01 9.203625e-10 
9.822845e+01 8.796052e-10 
9.870529e+01 8.266099e-10 
9.918213e+01 9.369509e-10 
9.965897e+01 9.610847e-10 
1.001358e+02 8.192392e-10 
1.006126e+02 8.181101e-10 
1.010895e+02 8.526571e-10 
1.015663e+02 7.514231e-10 
1.020432e+02 7.780308e-10 
1.025200e+02 8.378734e-10 
1.029968e+02 8.405468e-10 
1.034737e+02 7.978305e-10 
1.039505e+02 7.954976e-10 
1.044273e+02 8.810523e-10 
1.049042e+02 8.675290e-10 
1.053810e+02 7.918267e-10 
1.058578e+02 8.283782e-10 
1.063347e+02 8.859657e-10 
1.068115e+02 8.137226e-10 
1.072884e+02 9.135643e-10 
1.077652e+02 8.308046e-10 
1.082420e+02 8.444217e-10 
1.087189e+02 8.019375e-10 
1.091957e+02 8.689641e-10 
1.096725e+02 8.858418e-10 
1.101494e+02 7.257375e-10 
1.106262e+02 8.036378e-10 
1.111031e+02 7.439464e-10 
1.115799e+02 8.182765e-10 
1.120567e+02 7.862494e-10 
1.125336e+02 7.982873e-10 
1.130104e+02 8.507099e-10 
1.134872e+02 8.140228e-10 
1.139641e+02 8.045545e-10 
1.144409e+02 7.470879e-10 
1.149178e+02 7.491625e-10 
1.153946e+02 8.369822e-10 
1.158714e+02 8.399275e-10 
1.163483e+02 8.105629e-10 
1.168251e+02 7.715926e-10 
1.173019e+02 7.183466e-10 
1.177788e+02 7.680788e-10 
1.182556e+02 7.875523e-10 
1.187325e+02 7.375538e-10 
1.192093e+02 7.319808e-10 
1.196861e+02 7.810204e-10 
1.201630e+02 7.142249e-10 
1.206398e+02 7.469877e-10 
1.211166e+02 8.297584e-10 
1.215935e+02 7.665785e-10 
1.220703e+02 7.779492e-10 
1.225471e+02 8.611711e-10 
1.230240e+02 7.927644e-10 
1.235008e+02 7.579422e-10 
1.239777e+02 7.642784e-10 
1.244545e+02 7.552244e-10 
1.249313e+02 7.756093e-10 
1.254082e+02 7.613250e-10 
1.258850e+02 8.536598e-10 
1.263618e+02 7.833192e-10 
1.268387e+02 6.909604e-10 
1.273155e+02 7.603117e-10 
1.277924e+02 8.108249e-10 
1.282692e+02 7.485331e-10 
1.287460e+02 8.590632e-10 
1.292229e+02 8.723798e-10 
1.296997e+02 8.579222e-10 
1.301765e+02 7.906826e-10 
1.306534e+02 7.494220e-10 
1.311302e+02 7.196500e-10 
1.316071e+02 7.862607e-10 
1.320839e+02 8.497322e-10 
1.325607e+02 8.962352e-10 
1.330376e+02 8.393369e-10 
1.335144e+02 7.882786e-10 
1.339912e+02 7.992272e-10 
1.344681e+02 8.485166e-10 
1.349449e+02 7.965657e-10 
1.354218e+02 8.012726e-10 
1.358986e+02 7.533951e-10 
1.363754e+02 7.321306e-10 
1.368523e+02 7.097279e-10 
1.373291e+02 7.295744e-10 
1.378059e+02 8.117427e-10 
1.382828e+02 8.667430e-10 
1.387596e+02 7.529000e-10 
1.392365e+02 6.883540e-10 
1.397133e+02 7.325419e-10 
1.401901e+02 6.951952e-10 
1.406670e+02 7.841650e-10 
1.411438e+02 7.765128e-10 
1.416206e+02 7.584375e-10 
1.420975e+02 8.266986e-10 
1.425743e+02 8.004960e-10 
1.430511e+02 8.035393e-10 
1.435280e+02 7.525965e-10 
1.440048e+02 7.407193e-10 
1.444817e+02 8.433923e-10 
1.449585e+02 7.760514e-10 
1.454353e+02 7.138379e-10 
1.459122e+02 6.837103e-10 
1.463890e+02 7.110799e-10 
1.468658e+02 7.562517e-10 
1.473427e+02 7.400363e-10 
1.478195e+02 7.550169e-10 
1.482964e+02 7.120805e-10 
1.487732e+02 6.562834e-10 
1.492500e+02 7.383990e-10 
1.497269e+02 8.701357e-10 
1.502037e+02 7.768436e-10 
1.506805e+02 7.210499e-10 
1.511574e+02 7.216175e-10 
1.516342e+02 7.178763e-10 
1.521111e+02 6.719500e-10 
1.525879e+02 7.226878e-10 
1.530647e+02 7.714231e-10 
1.535416e+02 7.680883e-10 
1.540184e+02 6.768511e-10 
1.544952e+02 7.217865e-10 
1.549721e+02 7.066918e-10 
1.554489e+02 7.199654e-10 
1.559258e+02 8.180855e-10 
1.564026e+02 6.741942e-10 
1.568794e+02 6.694985e-10 
1.573563e+02 7.056175e-10 
1.578331e+02 6.895525e-10 
1.583099e+02 7.023276e-10 
1.587868e+02 7.432696e-10 
1.592636e+02 7.669623e-10 
1.597404e+02 7.546534e-10 
1.602173e+02 7.629982e-10 
1.606941e+02 7.060403e-10 
1.611710e+02 6.819132e-10 
1.616478e+02 7.275809e-10 
1.621246e+02 8.150179e-10 
1.626015e+02 7.909709e-10 
1.630783e+02 7.148334e-10 
1.635551e+02 7.813836e-10 
1.640320e+02 7.305260e-10 
1.645088e+02 7.273591e-10 
1.649857e+02 7.462414e-10 
1.654625e+02 7.214036e-10 
1.659393e+02 6.624695e-10 
1.664162e+02 7.279628e-10 
1.668930e+02 7.190068e-10 
1.673698e+02 7.092738e-10 
1.678467e+02 6.820011e-10 
1.683235e+02 7.254652e-10 
1.688004e+02 7.889512e-10 
1.692772e+02 7.672017e-10 
1.697540e+02 7.410519e-10 
1.702309e+02 6.857636e-10 
1.707077e+02 6.493032e-10 
1.711845e+02 7.016966e-10 
1.716614e+02 7.500887e-10 
1.721382e+02 7.775914e-10 
