f            Pxx32k       Pxx31k       Pxx30k       Pxx29k       Pxx28k       Pxx27k       Pxx26k       Pxx25k       Pxx_pow32k   Pxx_pow31k   Pxx_pow30k   Pxx_pow29k   Pxx_pow28k   Pxx_pow27k   Pxx_pow26k   Pxx_pow25k   
2.384186e-01 6.188868e-17 2.450901e-16 9.481500e-17 1.084898e-16 8.021114e-17 4.698854e-17 1.157382e-16 5.833681e-16 3.778961e-28 1.272136e-27 3.981277e-28 4.028122e-28 2.470812e-28 1.150117e-28 2.749023e-28 1.136997e-27 
4.768372e-01 7.424365e-18 1.678290e-17 8.624444e-17 2.909290e-17 2.731888e-17 1.150082e-17 1.165936e-17 5.863129e-17 4.533363e-29 8.711135e-29 3.621399e-28 1.080191e-28 8.415269e-29 2.815005e-29 2.769341e-29 1.142736e-28 
7.152557e-01 2.429127e-18 7.288655e-18 4.032359e-17 1.975156e-17 2.346444e-17 4.313681e-18 9.309413e-18 1.536615e-17 1.483240e-29 3.783164e-29 1.693185e-28 7.333562e-29 7.227950e-29 1.055840e-29 2.211180e-29 2.994895e-29 
9.536743e-01 1.030037e-18 6.133347e-18 2.856979e-17 1.388979e-17 1.526330e-17 3.126827e-18 7.265267e-18 1.556341e-17 6.289469e-30 3.183503e-29 1.199644e-28 5.157145e-29 4.701684e-29 7.653394e-30 1.725653e-29 3.033341e-29 
1.192093e+00 1.890857e-18 4.716047e-18 2.559157e-17 9.569715e-18 1.295161e-17 3.254867e-18 6.468931e-18 9.340151e-18 1.154569e-29 2.447857e-29 1.074589e-28 3.553143e-29 3.989594e-29 7.966792e-30 1.536506e-29 1.820415e-29 
1.430511e+00 3.297009e-18 5.119410e-18 1.395932e-17 9.238061e-18 1.363645e-17 6.256141e-18 1.146467e-17 1.189419e-17 2.013174e-29 2.657221e-29 5.861511e-29 3.430003e-29 4.200551e-29 1.531287e-29 2.723099e-29 2.318202e-29 
1.668930e+00 2.424828e-18 3.031685e-18 2.028989e-17 5.091522e-18 1.215113e-17 2.989618e-18 7.043841e-18 6.069161e-18 1.480615e-29 1.573591e-29 8.519713e-29 1.890433e-29 3.743017e-29 7.317555e-30 1.673059e-29 1.182892e-29 
1.907349e+00 2.604492e-18 2.480250e-18 7.956050e-18 7.239995e-18 9.753478e-18 2.427716e-18 4.290560e-18 5.794471e-18 1.590319e-29 1.287370e-29 3.340742e-29 2.688140e-29 3.004447e-29 5.942212e-30 1.019098e-29 1.129354e-29 
2.145767e+00 6.061182e-17 6.598508e-17 8.490037e-17 1.144776e-16 1.119357e-16 1.192381e-16 1.637702e-16 1.716811e-16 3.700995e-28 3.424944e-28 3.564962e-28 4.250441e-28 3.448051e-28 2.918537e-28 3.889884e-28 3.346100e-28 
2.384186e+00 1.859356e-16 1.921035e-16 2.289589e-16 3.299134e-16 3.188159e-16 3.651674e-16 4.937994e-16 5.117232e-16 1.135334e-27 9.971101e-28 9.613973e-28 1.224937e-27 9.820759e-28 8.938039e-28 1.172877e-27 9.973592e-28 
2.622604e+00 1.888127e-17 2.352153e-17 2.254810e-17 3.572003e-17 3.407616e-17 3.753820e-17 4.880051e-17 4.820995e-17 1.152902e-28 1.220881e-28 9.467934e-29 1.326250e-28 1.049677e-28 9.188056e-29 1.159114e-28 9.396220e-29 
2.861023e+00 8.216534e-19 1.969907e-18 4.963648e-18 5.348818e-18 6.046808e-18 2.895223e-18 6.023756e-18 4.720319e-18 5.017066e-30 1.022477e-29 2.084233e-29 1.985965e-29 1.862650e-29 7.086508e-30 1.430768e-29 9.199999e-30 
3.099442e+00 1.398886e-18 1.715750e-18 4.351103e-18 4.906549e-18 5.320634e-18 2.388824e-18 5.623333e-18 3.757823e-18 8.541685e-30 8.905571e-30 1.827026e-29 1.821754e-29 1.638960e-29 5.847017e-30 1.335659e-29 7.324075e-30 
3.337860e+00 1.467682e-18 1.522796e-18 3.318953e-18 4.194268e-18 6.377858e-18 2.406115e-18 5.002368e-18 4.095586e-18 8.961756e-30 7.904048e-30 1.393627e-29 1.557291e-29 1.964626e-29 5.889341e-30 1.188167e-29 7.982383e-30 
3.576279e+00 9.050731e-19 1.418555e-18 3.218205e-18 3.735871e-18 5.987984e-18 2.156611e-18 4.791891e-18 3.377795e-18 5.526432e-30 7.362984e-30 1.351323e-29 1.387093e-29 1.844530e-29 5.278639e-30 1.138174e-29 6.583393e-30 
3.814697e+00 8.502175e-19 1.488064e-18 3.486503e-18 3.590571e-18 4.766762e-18 1.700926e-18 5.087302e-18 3.142931e-18 5.191480e-30 7.723770e-30 1.463981e-29 1.333144e-29 1.468346e-29 4.163281e-30 1.208340e-29 6.125638e-30 
4.053116e+00 7.121087e-19 1.990925e-18 4.228746e-18 6.147386e-18 5.783662e-18 1.643643e-18 5.901847e-18 3.361585e-18 4.348179e-30 1.033386e-29 1.775648e-29 2.282465e-29 1.781591e-29 4.023071e-30 1.401812e-29 6.551799e-30 
4.291534e+00 1.832220e-18 2.543352e-18 5.283810e-18 6.279268e-18 7.755043e-18 3.097561e-18 4.913534e-18 5.493759e-18 1.118764e-29 1.320123e-29 2.218669e-29 2.331431e-29 2.388852e-29 7.581761e-30 1.167067e-29 1.070745e-29 
4.529953e+00 4.542315e-17 4.973672e-17 6.586464e-17 7.664951e-17 9.502386e-17 9.716369e-17 1.309183e-16 1.372239e-16 2.773565e-28 2.581576e-28 2.765653e-28 2.845922e-28 2.927101e-28 2.378232e-28 3.109584e-28 2.674523e-28 
4.768372e+00 7.475688e-17 8.133006e-17 1.072668e-16 1.310913e-16 1.549022e-16 1.620510e-16 2.234315e-16 2.273767e-16 4.564701e-28 4.221423e-28 4.504127e-28 4.867293e-28 4.771586e-28 3.966449e-28 5.306965e-28 4.431620e-28 
5.006790e+00 3.815964e-18 5.936915e-18 1.037711e-17 1.110754e-17 1.518922e-17 8.965979e-18 1.012246e-17 1.427743e-17 2.330051e-29 3.081546e-29 4.357343e-29 4.124122e-29 4.678863e-29 2.194562e-29 2.404296e-29 2.782701e-29 
5.245209e+00 2.685471e-18 2.822125e-18 6.707542e-18 8.230650e-18 1.102133e-17 2.836511e-18 4.841311e-18 2.873233e-18 1.639765e-29 1.464819e-29 2.816493e-29 3.055961e-29 3.394994e-29 6.942802e-30 1.149912e-29 5.599991e-30 
5.483627e+00 2.533907e-18 2.781366e-18 8.007628e-18 7.289592e-18 1.150157e-17 2.215598e-18 3.776588e-18 2.875667e-18 1.547219e-29 1.443663e-29 3.362399e-29 2.706555e-29 3.542927e-29 5.423020e-30 8.970184e-30 5.604735e-30 
5.722046e+00 1.861843e-18 2.504420e-18 6.789974e-18 5.659975e-18 9.653144e-18 1.730036e-18 3.558337e-18 2.594650e-18 1.136852e-29 1.299915e-29 2.851107e-29 2.101494e-29 2.973540e-29 4.234530e-30 8.451794e-30 5.057027e-30 
5.960464e+00 1.946000e-18 2.707662e-18 4.535747e-18 6.881202e-18 1.054934e-17 1.729197e-18 3.684695e-18 2.198597e-18 1.188239e-29 1.405407e-29 1.904558e-29 2.554924e-29 3.249602e-29 4.232478e-30 8.751920e-30 4.285112e-30 
6.198883e+00 2.038118e-18 3.117795e-18 5.030563e-18 5.769533e-18 9.163371e-18 1.723981e-18 2.978878e-18 2.057891e-18 1.244487e-29 1.618287e-29 2.112331e-29 2.142172e-29 2.822671e-29 4.219711e-30 7.075458e-30 4.010871e-30 
6.437302e+00 1.934419e-18 2.693245e-18 4.662878e-18 6.840662e-18 9.460973e-18 1.609022e-18 2.826442e-18 2.602487e-18 1.181168e-29 1.397924e-29 1.957940e-29 2.539872e-29 2.914344e-29 3.938330e-30 6.713390e-30 5.072301e-30 
6.675720e+00 1.136236e-18 2.509207e-18 5.561280e-18 5.250869e-18 8.783959e-18 1.679233e-18 4.788275e-18 3.837399e-18 6.937927e-30 1.302400e-29 2.335179e-29 1.949597e-29 2.705798e-29 4.110183e-30 1.137315e-29 7.479171e-30 
6.914139e+00 1.503785e-17 1.622615e-17 2.033461e-17 2.481997e-17 2.769396e-17 3.087630e-17 4.313548e-17 3.686364e-17 9.182201e-29 8.422155e-29 8.538493e-29 9.215416e-29 8.530807e-29 7.557453e-29 1.024558e-28 7.184800e-29 
7.152557e+00 1.477903e-17 1.581350e-17 1.791777e-17 2.409757e-17 2.645503e-17 2.999472e-17 4.155796e-17 3.555326e-17 9.024165e-29 8.207973e-29 7.523664e-29 8.947194e-29 8.149168e-29 7.341673e-29 9.870884e-29 6.929404e-29 
7.390976e+00 1.352308e-18 2.129705e-18 4.125094e-18 2.864639e-18 7.070796e-18 1.814868e-18 4.313833e-18 3.716872e-18 8.257273e-30 1.105420e-29 1.732125e-29 1.063613e-29 2.178077e-29 4.442171e-30 1.024625e-29 7.244261e-30 
7.629395e+00 1.412745e-18 1.449951e-18 3.945606e-18 2.251080e-18 5.632803e-18 1.308290e-18 3.255922e-18 2.697274e-18 8.626309e-30 7.525946e-30 1.656758e-29 8.358042e-30 1.735120e-29 3.202242e-30 7.733496e-30 5.257044e-30 
7.867813e+00 1.081750e-18 1.346736e-18 2.685631e-18 2.951092e-18 4.847662e-18 1.725906e-18 1.874068e-18 2.827457e-18 6.605231e-30 6.990212e-30 1.127695e-29 1.095712e-29 1.493267e-29 4.224423e-30 4.451302e-30 5.510772e-30 
8.106232e+00 9.030257e-19 1.303757e-18 2.070884e-18 2.875095e-18 4.597229e-18 1.911869e-18 3.180425e-18 3.026949e-18 5.513930e-30 6.767131e-30 8.695633e-30 1.067495e-29 1.416124e-29 4.679595e-30 7.554174e-30 5.899586e-30 
8.344650e+00 1.080541e-18 1.107891e-18 2.554191e-18 2.601827e-18 3.481494e-18 1.871558e-18 2.639305e-18 2.546044e-18 6.597847e-30 5.750489e-30 1.072504e-29 9.660332e-30 1.072434e-29 4.580929e-30 6.268900e-30 4.962293e-30 
8.583069e+00 1.039677e-18 1.148479e-18 2.942748e-18 2.845945e-18 4.663440e-18 1.735139e-18 2.512393e-18 2.838901e-18 6.348329e-30 5.961162e-30 1.235658e-29 1.056672e-29 1.436519e-29 4.247022e-30 5.967457e-30 5.533076e-30 
8.821487e+00 9.740856e-19 8.463231e-19 2.123014e-18 3.493056e-18 3.749123e-18 1.629682e-18 2.138294e-18 2.919356e-18 5.947826e-30 4.392826e-30 8.914524e-30 1.296938e-29 1.154874e-29 3.988900e-30 5.078894e-30 5.689886e-30 
9.059906e+00 8.376156e-19 1.045207e-18 1.709346e-18 2.173047e-18 2.578647e-18 1.475345e-18 2.152653e-18 2.400439e-18 5.114532e-30 5.425127e-30 7.177537e-30 8.068315e-30 7.943227e-30 3.611135e-30 5.113001e-30 4.678505e-30 
9.298325e+00 7.306265e-19 1.110832e-18 2.156991e-18 3.062519e-18 2.779252e-18 1.402560e-18 2.455247e-18 2.319137e-18 4.461250e-30 5.765753e-30 9.057194e-30 1.137084e-29 8.561167e-30 3.432982e-30 5.831725e-30 4.520047e-30 
9.536743e+00 7.418097e-19 1.177554e-18 2.102315e-18 4.404320e-18 3.282516e-18 1.810268e-18 2.069854e-18 2.083906e-18 4.529536e-30 6.112076e-30 8.827612e-30 1.635282e-29 1.011141e-29 4.430912e-30 4.916335e-30 4.061576e-30 
9.775162e+00 8.476094e-19 1.036413e-18 2.365810e-18 2.506060e-18 2.807880e-18 1.854299e-18 2.032502e-18 2.354829e-18 5.175554e-30 5.379484e-30 9.934024e-30 9.304759e-30 8.649351e-30 4.538685e-30 4.827616e-30 4.589611e-30 
1.001358e+01 8.694781e-19 1.134768e-18 2.650030e-18 2.435852e-18 2.954170e-18 2.307444e-18 2.295589e-18 2.753023e-18 5.309086e-30 5.889995e-30 1.112746e-29 9.044082e-30 9.099982e-30 5.647827e-30 5.452503e-30 5.365699e-30 
1.025200e+01 7.276048e-19 1.431110e-18 3.407700e-18 2.891027e-18 3.988316e-18 2.117725e-18 2.168607e-18 2.944985e-18 4.442799e-30 7.428151e-30 1.430892e-29 1.073410e-29 1.228555e-29 5.183460e-30 5.150895e-30 5.739838e-30 
1.049042e+01 5.702207e-19 1.329929e-18 3.047819e-18 2.971174e-18 3.718797e-18 1.408676e-18 2.064644e-18 2.975974e-18 3.481802e-30 6.902975e-30 1.279778e-29 1.103168e-29 1.145533e-29 3.447954e-30 4.903961e-30 5.800236e-30 
1.072884e+01 1.040814e-18 1.072627e-18 2.487317e-18 2.290219e-18 3.431224e-18 1.622428e-18 2.515934e-18 1.922748e-18 6.355277e-30 5.567453e-30 1.044423e-29 8.503362e-30 1.056949e-29 3.971144e-30 5.975869e-30 3.747475e-30 
