R C totP 
1 1 3.592433e+01
1 5 3.295101e+01
1 6 4.497864e+01
1 7 4.089315e+01
2 1 4.344546e+01
2 2 2.842302e+01
2 3 5.915176e+01
2 5 3.272643e+01
2 6 3.065010e+01
3 1 2.691371e+01
3 2 2.615730e+01
3 3 2.925623e+01
3 4 3.221344e+01
3 5 3.380923e+01
3 7 5.423261e+01
3 8 5.763272e+01
4 1 3.197309e+01
4 2 3.056074e+01
4 3 3.490308e+01
4 4 2.103257e+02
4 6 2.929526e+01
4 7 4.351418e+01
4 8 5.165066e+01
5 1 3.282537e+01
5 2 2.827200e+01
5 4 7.929735e+01
5 6 4.256094e+01
5 7 4.189258e+01
5 8 1.760405e+02
6 1 2.814962e+01
6 2 2.506644e+01
6 3 2.995641e+01
6 4 2.493992e+01
6 6 2.863343e+01
6 8 5.526962e+01
7 1 2.775911e+01
7 2 3.314138e+01
7 3 1.121678e+02
7 7 4.918985e+01
8 1 3.446591e+01
8 2 2.513480e+01
8 3 3.162603e+01
8 4 3.266067e+01
8 5 1.925127e+02
8 6 3.377783e+01
8 7 3.683586e+01
9 1 2.912119e+01
9 2 2.877621e+01
9 3 2.891052e+01
9 4 3.058277e+01
9 6 2.809828e+01
9 7 3.035942e+01
9 8 1.975647e+02
10 1 3.160571e+01
10 3 4.225254e+01
10 8 4.371152e+01
11 1 3.185315e+01
11 2 3.668180e+01
11 3 2.417887e+01
11 4 3.248106e+01
11 5 3.151828e+01
11 7 3.638615e+01
11 8 4.664611e+01
12 1 2.605793e+01
12 2 2.472959e+01
12 3 3.836789e+01
12 5 3.099405e+01
12 8 4.151740e+01
13 1 3.143282e+01
13 2 2.477871e+01
13 3 3.234920e+01
13 4 3.054774e+01
13 5 4.099588e+01
13 6 3.481760e+01
13 7 3.058106e+01
13 8 3.970812e+01
14 1 3.348806e+01
14 2 2.629762e+01
14 3 4.410102e+01
14 4 3.026489e+01
14 5 3.368542e+01
14 6 3.190639e+01
14 7 2.994955e+01
14 8 4.208948e+01
15 1 3.414258e+01
15 2 2.927932e+01
15 3 3.067860e+01
15 4 3.158773e+01
15 6 4.100415e+01
15 7 3.570250e+01
15 8 3.946794e+01
16 1 3.354733e+01
16 2 2.995252e+01
16 3 3.341448e+01
16 5 2.811679e+01
16 6 2.456027e+01
16 7 3.053221e+01
16 8 2.012053e+02
17 1 3.445338e+01
17 2 3.145439e+01
17 3 3.165823e+01
17 4 4.912385e+01
17 5 2.605011e+01
17 6 3.825116e+01
17 7 3.043416e+01
17 8 3.558825e+01
18 1 7.103834e+01
18 3 3.445675e+01
18 5 3.825595e+01
18 6 3.129253e+01
18 8 3.971323e+01
19 1 3.071982e+01
19 2 3.137835e+01
19 3 3.225107e+01
19 4 3.163415e+01
19 5 5.789650e+01
19 6 3.880635e+01
19 7 4.018963e+01
19 8 4.020195e+01
20 1 3.861764e+01
20 3 3.840186e+01
20 5 3.179375e+01
20 6 3.296111e+01
20 7 2.883428e+01
20 8 3.794403e+01
21 1 3.492072e+01
21 2 3.266398e+01
21 3 4.076351e+01
21 4 3.289590e+01
21 5 3.157392e+01
21 6 3.462280e+01
21 7 3.105051e+01
21 8 4.304172e+01
22 1 3.170887e+01
22 2 3.442479e+01
22 4 3.315777e+01
22 5 3.732524e+01
22 6 3.283548e+01
23 1 2.995494e+01
23 2 4.844116e+01
23 3 3.168817e+01
23 4 3.375030e+01
23 5 3.386835e+01
23 6 3.300724e+01
23 8 4.259091e+01
24 2 4.151603e+01
24 4 3.446131e+01
24 6 3.210534e+01
24 7 3.796155e+01
24 8 3.802542e+01
25 1 3.338390e+01
25 2 3.397568e+01
25 3 3.906365e+01
25 4 9.381158e+01
25 5 3.287686e+01
25 6 2.525784e+01
25 7 3.252292e+01
25 8 4.624864e+01
26 1 2.994947e+01
26 2 4.030210e+01
26 3 5.296011e+01
26 4 1.126610e+02
26 5 3.656749e+01
26 6 3.485146e+01
26 7 3.529605e+01
26 8 1.589236e+02
27 1 4.762913e+01
27 2 2.826207e+01
27 3 3.135517e+01
27 4 3.491187e+01
27 5 3.057886e+01
27 6 3.227880e+01
27 7 4.157608e+01
28 1 2.885437e+01
28 2 2.982177e+01
28 3 3.435777e+01
28 4 4.096413e+01
28 5 8.743976e+01
28 6 2.960318e+01
28 7 5.573507e+01
29 1 2.712272e+01
29 2 3.241348e+01
29 3 4.387503e+01
29 4 3.908347e+01
29 5 2.866452e+01
29 6 3.937739e+01
29 7 1.002742e+02
30 1 4.348648e+01
30 3 3.173210e+01
30 4 NaN
30 5 5.285541e+01
30 6 4.545188e+01
30 8 NaN
31 1 2.815319e+01
31 2 4.427640e+01
31 4 3.948551e+01
31 5 3.293295e+01
31 6 3.917740e+01
31 7 3.065025e+01
31 8 4.645071e+01
32 1 3.888033e+01
32 2 3.149751e+01
32 3 3.450779e+01
32 7 3.601448e+01
